speaker,transcript,global_timestamp_sec,time_s,burst_id,in_valid_burst,timestamp,idea_id,is_expansion,is_proposer
Smadar Naoz,about objects closer to the other star because it will move faster. So because it also depends on the on the star. This is this comes from a from a work that we showed that you can understand the volatiles that have been found on um on white dwarfs. So white dwarf pollution. I'll put the paper on.,604.0,604.0,1,True,604.0,1,True,False
Edwin Kite,ancient now frozen subsurface ocean. And uh specific places on series that have done this excavation for you are um the cryo uh volcanic mountain of Una Mons and um there are also uh what looks like cryo lava planes at uh crater. And then you just need to excavate below the meteoritic gardening and radiation processed layer which is maybe a couple of feet down as for Europa.,604.0,604.6666666666666,1,True,604.6666666666666,1,False,False
Jaeyun Sung,"Um so that's kind of more on the clinical and translational side. On the more basic science side, we do uh uh bioinformatics studies um of uh microbial genomes to identify what chemicals, natural products they could be producing and how those uh chemicals could influence uh uh host disease um in the context of autoimmunity.",605.0,605.0,1,True,605.0,1,True,False
Carolina Tropini,Hello.,605.0,605.5,1,True,605.5,1,False,False
Alexandra Dickinson,"41, yeah.",624.0,624.0,2,True,624.0,2,False,False
Kezia Manlove,"Yeah, and I think that's a place where you know, like contact in particular, I think fundamentally diverges in some sense from what Guillaume was saying about, you know, depending on how resources defined, I suppose, but as as movement is being fundamentally responsive to resources, which is true if you're thinking maybe about densities, but maybe not true if you're thinking about direct interaction, which is perhaps more um more dependent upon social forces or you know, yeah, interspecific interactions. So I wonder if it's possible that um that you know, just just the the mechanisms that underpin specific kinds of interactions that are say or specific times of kinds of movement that are salient to disease should be it might be useful to focus more on those as opposed to like movement writ large, you know, because I'm not sure if we need all of movement to understand the salient portions for disease. We might but I but I don't know.",624.0,624.5,2,True,624.5,2,True,False
Amanda Stockton,Right.,626.0,626.0,2,True,626.0,2,False,False
Ulugbek Kamilov,So.,626.0,626.3333333333334,2,True,626.3333333333334,2,False,False
Benjamin Bartelle,"Okay, how about that? Yeah. How about something like that? How do we use large data sets? Nobody says big data, right? That's that's gosh now, right?",636.0,636.0,3,True,636.0,3,False,False
Jin Zhang,"Potentially, there are some molecules that could be tracked by itself, right? Or or or or identified by itself based on some unique property, then that will still give the molecular identity and the um kind of label free metabolites, you know, as Ellen mentioned a little bit and some of the sugar molecules. Uh so label free could be for some molecules with molecular identity.",636.0,636.3333333333334,3,True,636.3333333333334,3,False,False
Liliana Salvador,Go go on.,636.0,636.6666666666666,3,True,636.6666666666666,3,False,False
