session,burst_id,center_time_sec,idea_win_start,idea_win_end,soln_win_start,soln_win_end,idea_n_utts,idea_unique_speakers,idea_decision_per_1000,idea_assign_hits,idea_agree_hits,soln_n_utts,soln_unique_speakers,soln_decision_per_1000,soln_assign_hits,soln_agree_hits,idea_text,solution_text,solution_summary,solution_keywords,near_decision_hits,near_assign_hits,near_agree_hits
2021_04_22_MND_S1,2021_04_22_MND_S1_B1,251.0,-60,-10,0,30,5,4,200.0,0,0,7,4,0.0,1,0,"Now, I don't know whether really the mechanism is um the microbiome or not, but that's probably where I would start. And I wouldn't care about, you know, these people don't have any diagnosis, so you avoid all that complexity of 100 year discussion what depression really is, but you can assess their acute mood changes. Yeah, could could you add that to point one? Um, the idea being start with germ free mice, add microbiota and do metabolomics. [low confidence] [low confidence] Um, so for example, you know, when um Bob was today talking about short fatty acids. So that's a biomarker. So let's say if we have uh we can build the sensors uh to monitor the level of those uh not in vivo yet, at least at the moment, but definitely in in vitro models. We can also monitor um we can build sensors that they can monitor the permeation of let's say uh uh BBB, the blood brain blood barrier. If there are models, we can build sensors that can be integrated or embedded in that model.","Um and we also have Richard and Angela from our CSA here. So thanks for joining. And the reference databases, which we still have to develop. So. So. So so I know the eventual goal of this discussion is writing a proposal. Do you think uh the team right now is willing to go after any of these things as a proposal? Um for I think everybody is aware that we are in the metabolites, metal ions and small molecules um discussion group and we have some probing questions and so this actually might be a good time to choose a facilitator because we're going to uh download the slide deck. It could be in vitro or in vivo, like in mouse model. So whatever that design is, then we have to have some path to be able to at least that is um one of one of the things that we discussed is in real time monitor level of those small molecules or those biomarkers in real time without the need to kill them or uh slice the tissue or things like that which is really totally different.",,"um, things, time, uh, small molecules, real time, proposal, think, discussion, like, molecules, small",0,0,0
2021_04_22_MND_S2,2021_04_22_MND_S2_B1,599.0,-60,-10,0,30,0,0,0.0,0,0,1,1,0.0,0,0,,"So basically, we've just our software um modifies the existing implantable.",,"ve just, ve, um modifies, um, software um, software, modifies existing, modifies, just software, just, implantable, existing implantable",0,0,0
2021_04_22_MND_S3,2021_04_22_MND_S3_B1,259.0,-60,-10,0,30,1,1,0.0,0,0,3,3,0.0,0,0,"that we're just as a field in the process of benchmarking in terms of like figuring out what subtype that we see in vitro corresponds to what subtype in vivo. On the brain though, we have all of these different methods to generate different kinds of cortical neurons, interneurons, like regional different regional identities and um really I don't know what would be the best model to start with when thinking about what receives the primary input from the vagus nerve.","Oh yeah well talking about like if we had a model system uh but like you have like an vivo bacterial community of you know hundreds of species and then you've got you know one that you're interested in you know maybe instead of the baseline being zero versus adding in one. I I can add to this a little bit on for the neuropods, I I think um although they're kind of a minority of the um of the interactions from the gut side, I think people um say that it's glutamatergic signaling. So that you would add either glutamate or um what I was trying to get at is if you could skip the transmitter and just mimic the electrical stimulation, just go in and stimulate um somehow that that might make things really easy um or easier. I think I mean, for all of these it depends on what your question is, right? Every single model that you that we've talked about has a caveat associated with it. And every single model has a strength associated with it. Whether or not it's communication across tissues or the bulk of the metabolites or the bulk of the community.",,"um, know, like, think, model, single model, single, just, community, bulk, add, ve",0,1,0
2021_04_22_MND_S4,2021_04_22_MND_S4_B1,861.0,-60,-10,0,30,11,5,0.0,3,0,12,7,166.66666666666666,0,2,"Yeah. I know you're busy taking notes but you can also comment and you know what when we get to 2 o'clock will work together to help you summarize and report out like it's not all going to be on you. I think we report out. I I part of the reason I asked the question is we've done some work with uh that's good information. But uh some of you already know. You can start thinking about it. So that not necessarily this group will be like a final research group, but you know, think about who you met here today and you can reach out to whose research, you know, sounds like it might mesh with some of your ideas and then you'll be able to reach out to one another to form these teams. Over connected. That's a very interesting point. You can take notes as you go along and put them in there or you can take notes on another screen and then transfer the important points in at the end whatever is convenient for you to do. And it's not just the the BBB in of itself, you know, there's been the recent discovery of the lymphatic system and how, you know, the lymphatic system acts as a conduit for a lot of these peripheral immune factors. Um, you know, as you know, you know, usually we think about the brain and microglia as intrinsic, you know, macrophage of the brain, but we also know that peripheral macrophages, uh, and T cells are also able to cross the BBB. Um, we don't really have the sensitivity to image the BBB except to say like, you know, if I had a giant gleoblastoma, we can tell you that it's ostensibly pretty leaky at that point. I guess. And um these restricted diets the thing that I keep coming back to of very low levels of uh endogenous short chain fatty acid production like Dr. Brian was just talking about comes up in these types of conversations. And as it turns out is what allows to undergo snap meaning. It could be in vitro or in vivo like mouse model. So whatever that design is, then we have to have some path to be able to at least that is um one of what one of the things that we discussed is in real time monitor level of those small molecules or those biomarkers in real time without the need to kill them or slice the tissue things like that which is really totally different. Of course those approaches are needed as a standard to compare with. But if we want to see in real time what is going on then those sensors can be integrated or embedded in that in vitro or in vivo model. Of course it needs to make sure for being more complex but there are in my opinion that's what I think you have to have access to all those genomics metabolomics all the omics.","Yeah, there are definitely established for those who haven't contributed as much. All right. Okay. There there's some panels at the bottom of my screen. Oh these these might be observers. So it seems like exist or can be developed but you'd have to know what you're trying to do that first step. Um so that seems like that's kind of one bottleneck is dealing with all of the unknown Yeah, I think trying to see within the group if there is some some correlation around the topic that we can think of. I totally agree that a bigger group is also. I'm wondering. Oh, I'm thinking about like a global. Anyone else? I I'm wondering, you know, there's been a lot of work done I was just just doing a pub med search on on organ on a chip, right? I'm wondering like do we should we reduce it, right? If we really want to understand the the role of reproductive microbiome, like should we make like a you know, reproductive system on a chip, you know, an ovary, a fallopian tube and the and understand the bacterial organ communication. I don't know, maybe I'm those I know we have my colleague who's on here, he's in lab. I don't know much about details, so yeah. Those those folks are just observing the conversations you guys can get going on. Okay great. So my expertise we work on developing sensors and diagnostics to for example let's say if we know or we have some hypothesis and then we can work on building a sensor or a platform to monitor in real time.",,"know, like, right, yeah, just, work, wondering, don, think, okay, oh, trying",0,0,1
2021_04_22_MND_S5,2021_04_22_MND_S5_B1,857.0,-60,-10,0,30,13,8,76.92307692307692,0,1,5,5,0.0,1,1,"So, you have a question about that. How, you know, how leaky is the blood brain barrier? I mean, I you know, I've been taught that it's very, you know, unpenetrable, but obviously small molecules and pharmaceutical drugs can leak in, right? Thank you. And thank you Joe for taking the notes and presenting. Yes. Anybody study the super chiasmatic nucleus here? Oh! Is this device small enough that uh one can carry it around with them? Yeah. Yeah, so basically we've just our software um modifies the existing implantable controller for the Metronic RC2 devices. So it's a little battery pack that sits on the chest, you know, wires run under the skin that connect to the implanted um electrode. It's called what? Thanks. Uh, crowd sourced resources. Thank you. Or resources, crowd parenthesis crowd source. You're welcome. I I was a little concerned it was not in depth enough. I was not sure what the audience was going to be like and I hope it wasn't too simplistic, but so I just decided on one theme. If you can see the impact of the gut on the brain then","All right, who who needs to go next? I can go. Uh, sorry I missed a few introductions there. My wifi was cutting out. Um, hopefully that doesn't continue to happen. Um, I'm Sarah. I'm a developmental pediatrician in training. Um, I was recently offered a clinician scientist position at the University of Calgary. Um, start date getting started out. Um, but my research focuses on precision medicine for developmental pediatrics. So, um, using precision medicine approaches like machine learning to better understand neurodevelopmental conditions, um, in children with neurodevelopmental conditions, essentially um applied to big data. Um, so this would include children with autism, intellectual disability, that sort of thing. Um, I think I'm here because my PhD, which is well before all my clinical training was in the neuroscience of the gut and the enteric nervous system and so, um, I have this I have this fantasy to combine this very basic science work I did in my early 20s with what I do now seeing patients with neurodevelopmental conditions and seeing if some of the strategies um that are coming out of science these days might be able to help my patients with some of their conditions. So, yeah, I'm I'm excited to be here. So, let me throw out another question. Um you know, cells in our body have intrinsic biological clocks. Do bacteria? meant of the Silog program at large. So um uh they are actually recording the sessions. This is something I'll just say while we're waiting for everyone to be back in the room. One of the things we do is is a study of how new collaborations form and what happens at the meetings that help to lead that so that we can adjust the nature of the meeting. So we actually look at who's assigned in whose rooms and how you interact with one another and then track that over time to see who chooses to write proposals whether those proposals are funded and who ultimately publishes papers together. Um and so we have data now 10 years running on the way that Silog functions to generate new collaborations among people. I think another point what since we're talking about the blood brain barrier is also to recognize that from the gut to the brain can also be a neural pathway with peripheral nerves like the Vegas. So it doesn't have to be through the blood.",,"um, conditions, neurodevelopmental, neurodevelopmental conditions, help, new, new collaborations, blood, brain, patients, uh, doesn",0,0,0
2021_04_22_MND_S5,2021_04_22_MND_S5_B2,1197.0,-60,-10,0,30,0,0,0.0,0,0,1,1,0.0,0,0,,I would imagine anything that we're thinking might be humoral.,,"thinking humoral, thinking, imagine thinking, imagine, humoral",0,0,0
2021_04_22_MND_S6,2021_04_22_MND_S6_B1,818.0,-60,-10,0,30,1,1,0.0,0,0,10,4,200.0,0,1,Uh so I'm waiting right now on the data to see whether or not it does make it that far. Uh we've sampled all along the gut. We've been giving exosomes either from host or OMVs coming from bacteria.,"that we expand on that topic of restoration. is a very important point which I've been struggling with. Sorry, Dave, go ahead. In mice? in rats. Yeah, I know. I appreciate it very much. I didn't know where to start so I thought I'd summarize. Yep. So I I can tell you that they affect the phenotype of the hosts. Um but we're now looking at that question that you just raised is how is it how are they affecting the biome? No. Um if if anyone feels that we missed something, do we we we will have the host microbiome interactions, right? Yeah, my thought was just getting back to the um something that was brought up earlier in this regard is are we really at the point yet where we can say this species needs to be restored? Uh there's so much functional redundancy between many of the members is it going to be more fruitful to go after restoring species or do we first understand uh the let's say the molecules that they're produced that the community is producing as a whole and go at go at it from that type of angle. Um rather than uh putting back one or two members. Um and is it a is it a efficacious way to to to manipulate the biome. Uh and in what regions of the gut because that's the other thing is where along the gut are we actually doing this at. Um yeah, we're giving it by gavage but how far does that make it? Can add a little bit more here to the early life.",,"um, uh, yeah, members, point, species, gut, thought, just, know, biome, say",0,0,1
2021_04_22_MND_S7,2021_04_22_MND_S7_B1,875.0,-60,-10,0,30,6,5,333.3333333333333,1,0,15,5,66.66666666666667,1,0,"Maybe then to to like keep drilling down on that to get even more granularity, like could we for the just the purpose of um uh brainstorming assume it's a bacterial metabolite then? It sounds like we're not going to know exactly right now what the target is and what disease it's going to be, but let's assume it's a bacterial like byproduct. Um how do we what what are different strategies or effective ways of um modulating production of that metabolite? Does that sound like a reasonable place to try and go? to just bring in for a minute here to to give people sense of where we are time wise. We probably have about 10 or 15 more minutes for discussion and then we should kind of this help uh Lawrence decide what we want to present when we go back to report out. And it's not always good to eat vegetables. Like it depends on the disease and the stage of the disease. Yeah, no really like in the even in the case of of high fiber diet if if you're thinking about cancer patients in what time or what I don't know how advanced their disease is if you want to recommend it. It's good for prevention, but once you have established cancer you don't want it anymore. So it it depends on on the stage as well. And it's possible that we would need to to use a combination. I think another thing to following up on that is to consider the timeline of an intervention that would modulate the microbiome. For example, supplementing with metabolites and what's the permanence of that versus So for example, like I think a lot of early probiotic data at least suggests that even like the bacteria and yogurt, for example, that will only transiently colonize your gut for a couple days and then pass through. So if you're thinking about effective strategies for modulating the microbiome, what kind of time scale are we talking about? This is more of a long-term question, like if you were thinking of a clinical intervention or something, but would this come in the form of a supplement that you would have to administer like multiple Well, there are many other ways to reconstruct ecological network. You don't have to always rely on the genome scale metabolic uh uh network. So, um so typically this is a system identification problem or network reconstruction problem. If you have very high quality temporal data and suppose you have abundance, then there are bunch of methods available so that you can infer the the interspecies interactions. If you have uh if you don't have the very high quality temporal data, if you but you have high quality statistics samples, then there are there are also some methods available so that you can infer the interspecies interactions.","Sorry, I have to to either to to both stimulate and inhibit at once. So it's not either or I think. Yeah, and I'm also sorry. Congratulations. Congratulations. Thank you. Yeah. And just Yeah. And just maybe that reminded me of then something else that came up which was sort of the potential need to maybe not just modulate microbiome but think about the host as well. So maybe that's a unique challenge of this problem is thinking about yeah, thinking about how do you what sort of manipulation will potentially have effects on on multiple ways. Yeah, I think that underscores the point the requirement for sort of personalized interventions in this case because there's just so much diversity. I don't think there's going to be a one size fits all approach for any of these. So maybe to to try and like summarize then and and I'm already I'll confess thinking ahead Emily. So let's it sounds like what we've talked about is that let's assume that you know there's a hopefully a small number of metabolites that are um associated with disease. The approaches that I guess I've heard so far include things like um if you're lucky and some of these are specific enough to be associated with known genes or pathways for production, you can um potentially introduce those genes if you wanted to make more of it or I guess um maybe if you knew what um metabolized or or degraded those metabolites, maybe you'd have genes that go in that actually sort of hopefully like lower their abundance. Other ideas are if you could introduce like probiotic organisms that um might also be associated with levels of those metabolites. The one that comes to mind for me is like a a dietary to link if any of them are sort of associated with breakdown of known nutrients or dietary nutrients. Um and then there are also I guess pharmacological interventions if some of them are known to be um at the very least even like uh or as Deborah mentioned like antibiotics at the very least to just show that there's like bacterial manipulation of those things. Thank you. Yeah, either production or administration. I guess production given that at least the thought experiment here is to modulate. To modulate.",,"like, um, maybe, yeah, just, sort, guess, associated, think, production, thinking, metabolites",0,0,0
2021_04_22_MND_S8,2021_04_22_MND_S8_B1,769.0,-60,-10,0,30,0,0,0.0,0,0,3,3,0.0,1,0,,"I got it. I was going to say, I'll build on that. So one major branch of my research is biomarkers. I develop new diagnostics for lung infections. And I would argue that a biomarker doesn't necessarily have to be directly causally related to the disease that you're studying. It needs to be correlationally related. So it may be difficult to directly measure something like a particular short chain fatty acid, either because it's short lived, like it's produced and then it's taken up and biotransformed and so it's hard to measure certain things in real time. But if you can find another marker, it could be a phenotype, it could be a small molecule, it could be a gene that is directly correlated with that thing that's biologically important, that can be used to help you monitor disease, screen for it, detect it, or as a proxy to measure treatment efficacy, that sort of thing. I would almost argue though the opposite, which is that really what you want to get the strongest signal are the people who have no genetic predisposition. But uh regardless of that, end up actually getting Alzheimer's, which would suggest that they have a stronger actually environmental or microbial component. And the people who are have genetically predisposed would actually have a weaker signal for non-genetic biomarkers.",,"directly, actually, measure, disease, thing, signal, people, short, biomarkers, genetic, like, argue",0,0,0
2021_04_22_MND_S8,2021_04_22_MND_S8_B2,927.0,-60,-10,0,30,0,0,0.0,0,0,2,2,0.0,0,0,,Yeah. And we don't truly need to restrict ourselves. So the way I talk about this when I teach classes about biomarkers,,"yeah don, restrict way, classes, classes biomarkers, don, don truly, need, need restrict, restrict, talk, yeah, talk teach",0,0,0
