m_cut,role,count,share
2,agreer,225,0.07406188281764318
2,assigner,283,0.09315339038841343
2,elaborator,680,0.2238314680710994
2,explainer,259,0.08525345622119816
2,ideator,645,0.21231073074391046
2,other,870,0.28637261356155364
2,summarizer,76,0.025016458196181698
3,agreer,225,0.07406188281764318
3,assigner,283,0.09315339038841343
3,elaborator,680,0.2238314680710994
3,explainer,259,0.08525345622119816
3,ideator,645,0.21231073074391046
3,other,870,0.28637261356155364
3,summarizer,76,0.025016458196181698
4,agreer,225,0.07406188281764318
4,assigner,283,0.09315339038841343
4,elaborator,680,0.2238314680710994
4,explainer,259,0.08525345622119816
4,ideator,645,0.21231073074391046
4,other,870,0.28637261356155364
4,summarizer,76,0.025016458196181698
5,agreer,222,0.07341269841269842
5,assigner,283,0.09358465608465609
5,elaborator,677,0.22387566137566137
5,explainer,259,0.08564814814814815
5,ideator,645,0.21329365079365079
5,other,862,0.28505291005291006
5,summarizer,76,0.02513227513227513
6,agreer,173,0.07244556113902847
6,assigner,220,0.09212730318257957
6,elaborator,496,0.20770519262981574
6,explainer,223,0.09338358458961474
6,ideator,531,0.22236180904522612
6,other,669,0.28015075376884424
6,summarizer,76,0.031825795644891124
7,agreer,143,0.0749475890985325
7,assigner,201,0.10534591194968554
7,elaborator,467,0.24475890985324947
7,explainer,194,0.10167714884696016
7,ideator,415,0.21750524109014674
7,other,412,0.21593291404612158
7,summarizer,76,0.039832285115303984
