track,m_cut,rows_written,decision_hits,centers,sessions,decisions_per_1000
ABI,2,519,139,26,24,267.82
ABI,3,517,138,25,24,266.92
ABI,4,514,136,24,23,264.59
ABI,5,491,131,21,22,266.8
ABI,6,454,126,18,19,277.53
ABI,7,413,114,15,16,276.03
MND,2,393,127,27,23,323.16
MND,3,389,125,25,21,321.34
MND,4,373,122,21,19,327.08
MND,5,358,118,18,17,329.61
MND,6,304,105,14,14,345.39
MND,7,160,36,7,7,225.0
MZT,2,263,64,20,14,243.35
MZT,3,257,62,17,13,241.25
MZT,4,248,60,16,12,241.94
MZT,5,227,57,13,11,251.1
MZT,6,175,45,9,9,257.14
MZT,7,126,31,5,5,246.03
SLU,2,441,89,23,20,201.81
SLU,3,441,89,23,20,201.81
SLU,4,427,86,21,20,201.41
SLU,5,418,83,20,19,198.56
SLU,6,408,82,19,18,200.98
SLU,7,304,60,14,13,197.37
