burst_id,session,center_time_sec,speaker,sentence,delta_to_center,_note
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Shawn Domagal,"I'm I'm just going to go down the list I see here. actually, you know what we could do? We could do the popcorn thing. People want to do that, but you got to pay attention to who's talking. You want to do that?",-7.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Shawn Domagal,"I've got Betul, Paula and France.",-6.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Shawn Domagal,Do do people want a minute to think about that or do you do do do folks kind of have thoughts on that ready to go.,-3.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Nathaniel Gabor,We have time to give people a moment to think if they want it.,-3.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Betül Kaçar,"Nathaniel, how would you define bio signatures at the ecosystem level?",-1.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Betül Kaçar,"Okay, so I'm missing anyone. Oh, hi, hi. Uh, I am Betul, uh, Kacar. Uh, I'm an assistant professor at the University of Arizona, um, and between the cell biology, astronomy and Lunar and Planetary Labs. Um, so it's pretty astrobiology by by design, really. And um, so we we do a lot of different things. We're interested in understanding the origin of life, but also early Earth, very earliest really evolution uh of of life. And uh, and and relevant to this meeting, we're interested in understanding early life biosignatures. So we use different tools. My background is in biochemistry and evolutionary systems biology and a lot of synthetic biology. So we design artificial systems to understand the possibilities or what what life could have been that wasn't um, and uh I think really what we're trying to get at eventually is to understand the early Earth biosignatures to answer this question of how do we increase our confidence in uh that that we have detected life. So that goes back to uh what also Tim was talking about, the sort of interpretive context of once we detect these signals, how do we know that we found life uh and and then where do we uh in sort of knowing when to stop, we want to know how far we can go in connecting it to life. I'm also uh leading one of the newly selected NASA I cars, uh that's that's called Muse. It's we will be looking at the natural selection of elements over geologic time. Uh, so there's a lot of biology, geology, astronomy, physics involved and I'm really excited uh to to you know, see where where this can go and find uh new ways of collaborating with this amazing community. Thanks.",0.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Timothy W Lyons,"Yeah, I think well",1.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Betül Kaçar,What's what's the popcorn?,2.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Timothy W Lyons,Okay.,3.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Shawn Domagal,What's the popcorn?,3.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Timothy W Lyons,"So this is really the pragmatic, right? What would you love to be able to find and that something that could be found.",3.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Nathaniel Gabor,"Well, I mean that there's I don't think there's not any that you would call specifically um a bio signature other than how it correlates to other things. So for instance like um if I saw that there were uh there was some particular way that climate was being altered.",3.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Shawn Domagal,"Popcorn is like you all decide who you call on the next person to to talk. Oh, that's nice. Until everyone's spoken. So G, you you pick who goes next.",4.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Maggie Osburn,"Yeah, I I mean, I think I think we're what it what it comes down to is my brain is making the assumption that biology does a fundamental level of organization and alteration of space when it's doing its biological things. You know, biological organisms they can just sit there and crank, but that's going to have an effect on the environment and on anything else they're interfacing with. And so there's sort of a natural tendency towards clumping. Um, and so that's sort of the premise behind these biovermiculations where it's like even if you just let microbes be on a rock, they're going to sort of aggregate and you're going to have different zones that are doing different things. Um, and so I think I think that is a tendency that is scalable, you know, when we think about different landscapes and different sort of plant ecosystems and different kind of animal ecosystems, you know, there is patchiness in a way to all of it um that may be decidedly less structured than what you might get abiotically. But I know far less about the abiotic end member and so I'm getting a little out there I guess, but I was told I was supposed to. So there you go. But these funny little wrinkly structures that look like",4.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Shawn Domagal,"Maggie, I notice your hand's up and we haven't heard your your voice yet in this part of the discussion. So do you want to go next?",6.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
2021_06_10_SLU_S7_B1,2021_06_10_SLU_S7,817.0,Shawn Domagal,"Amanda, you're raising your your your non virtual hand, your real hand.",10.0,"speakers=8, dec/1k=235.3, kws=uh, um, think, different, know, life, really, like, sort, hand, biology, lot"
