conference,global_session,speaker,global_minute,transcript,has_new_idea,is_explanation,is_self_intro
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,"Uh in order of importance. Um, what do you use to rank the pathways?",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,"So when you say break them down to uh principal components. Yeah. By analysis in that area doesn't tell you what the components are. It just says that there's components, right?",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,"I I part of the reason I asked the question is we've done some work with uh metabolon. That's some good information. But uh some of you already know, it's almost overwhelming. Right, right. So uh I I don't know, you know, there are people that have been contributing more. Uh I'm typically one who likes to talk. So I'm usually one but those who haven't contribute as much, uh Stephanie, is there anything perhaps um uh Michael, Sarah, uh anyone else? And and and you know, this is the place to be crazy. Have you ever been afraid to ask a question because you thought it might be stupid? Well, I learned the best way to learn is ask stupid questions.",False,False,True
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,I I I don't think you are.,False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,"Um I I I do agree that uh one of the things that we often have to do is is reduce our focus. Uh you know, and we've only touched on the many different organ and tissue systems in the body.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,"Zong Q, is am I saying that right?",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,Okay.,False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,David Bryman,,Like did add anything?,False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Jeff Levenson,,"knowledge to find the top three that could actually be linked to phenotype. And then that's when you start talking with biologists and then begging them to um to do like experimental validations for us. Um, also something uh JP, you would know this. Like if since you're in radiology, um, you know, looking at brain images. I mean, brain images of like maybe possibly areas where depending on a microbiome, what areas light up in a particular patient. I I I don't I'm very ignorant about how brain imaging works, but I know people have started, you know, some of the recent Alzheimer's papers that I've just, you know, just reading just out of pure interest. I mean, they do FM yeah, uh FMRI imaging, see what areas light up and does that have any statistical correlates with um, you know, gut microbiome features or other features in the blood. Um, so.",False,False,True
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Jeff Levenson,,"Yeah, I run into that. Oh, sorry.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Jeff Levenson,,"Let me ask Jay, I wanted to ask you a question. You were talking about ranking these pathways.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Jeff Levenson,,"Oh, there is there is many ways to um uh well, for example, uh there's many statistical ways to do this. I'll take an example of um, you know, gut microbiome data that we've been recently looking into. So there are ways to um some type of a permutation analysis, an Nova analysis. Um, there there's various statistical ways to kind of see what variance in particular microbial, you know, groups contributes most to uh the the clinical endpoint you have in mind. So let's say you have uh I I'll just go back to my point earlier. Let's say you have like a thousand microbes. Yeah, you can kind of bin them down to particular principle components. Um, I'm sure many in the audience are um familiar with that. And then see which principle component um correlates the most with um uh with the clinical phenotype that you have um there's various statistical ways to do to do that.",False,False,True
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Jeff Levenson,,"Right, right.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Jill Sarah MacEachern,10.733333333333333,"If I can make a small plug, I I wrote a cute little tutorial uh mini review last year on machine learning for precision medicine, which is like um an easy digestible kind of review. I could put it in the resource folder if that might be helpful to you.",True,True,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Yeah, I I I would echo that um sort of specific talking about targeted versus untargeted approach of metabolomics in the context of um gut microbiome research uh especially you know, studying neuroinflammatory diseases. Um so we we have done work with um uh using a panel, targeted panel um selected by um our colleague at University of Hawaii and uh focusing on metabolites that are produced or co-produced by the by by the gut bacteria. Um so so that way we have well accomplished two things. One is it's uh it it greatly reduced the testing burden so that just you know, we have a panel of say 90 90 in this case small molecules. Uh but the second the second part of is we know what these molecules are. Uh so obviously short chain fatty acids, um bio acids among many other things and then also give us concentration as a as opposed to um just some spectral value.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Yeah, I could definitely comment about the um um unannotated peaks uh unannotated uh features that Stephanie was alluding to. Um we use a a vendor called Metabolon um to do untargeted um metabolomics on um on plasma or serum samples from from our patients. And um basically we get about about like almost 8,000 features. Um and each of them um pertain to specific peaks in the mass spectra. Only about 10 only about a thousand of those are annotated. And definitely when we do when we run the statistics, it's like, okay, like there is a lot majority of the peaks that are found to be significant in in the context of a particular, you know, case control study are unannotated. I mean, we know these are, you know, some of them may be junk or like, you know, adducts and stuff, but um these are like really important stuff and no one knows how to annotate them and as Stephanie was mentioning to, like it takes a long time. It's a bottleneck to actually know what the structure is and and know and validate these uh molecules. It's like almost a whole PhD project.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Per molecule per molecule, yeah, yeah.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Yeah, yeah. I I follow Peter Peter's work. Very similar.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Um one thing I I'd like to uh kind of get back to the original point of this discussion. Um one thing uh some more note taking for Joel uh is um let's also not forget how um, you know, serotonin, dopamine, um, you know, those are all, you know, produced by, you know, the cell linings of the gut, which are stimulated by um, which can be stimulated for production by the gut microbiome. Um, and also uh, you know, the the hunger hormones from the gut uh like leptin and grelin. You know, those are kind of uh, you know, produced in the gut as well, but also can be stimulated for production by the gut microbiome. So kind of like not how not the how the gut microbiome directly, you know, makes chemicals to impact the brain, but also it affects the uh those these hormone secreting cells in in the epithelium of our gut to make um, you know, these hormones like uh you know, grelin leptin um serotonin dopamine to affect kind of behavioral, you know, neural behavior and decision making.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"I think that's an area that has been relatively understudied. Like whether the brain secretes, you know, every organ secretes their own, you know, kind of chemical signature into the blood. Um, how that would and it's it's kind of tricky because then you're you're you're thinking the brain has to secrete, you know, some uncharacterized or yet to be characterized, you know, molecule into the blood, into the circulatory system, that has to cross the epithelial of the gut lining, which doesn't really happen that much. And then cross the then somehow navigate around the mucosa and then hit the um hit the bugs. That's kind of hard, but you know, biology is complex and mysterious. I won't be surprised if somebody, you know, finds it finds that path.",False,True,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Yeah, there there's a a pretty strong evidence from um autism spectrum disorder uh uh patients who often experienced uh profound GI symptoms and and thought to have this sort of um uh gut to uh sorry, brain to gut interaction.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Yep, but is it direct micro, you know, targeting though? I mean, my understand.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"On the gut, yes, yes.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,Yeah.,False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Right. Then then yeah, totally.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Liang Song,,"Especially as um as Leah as you were mentioned, you know, the the you know, the stress hormones, cortisol does affect, you know, gut motility and that probably, you know, somehow kind of restructures, you know, what microbes you have, you know, um or you know.",False,False,False
2021_04_22_MND_S5,2021_04_22_MND_S5_MND,Stephanie Rosener,,"I I'm wondering, you know, there's been a lot of work done. I was just just doing a PubMed search on on organ on a chip, right? I'm wondering going back to our original question about the systems, right? Do we need all the organs, right? Or is there specific, you know, microbiome organ communication. I'm wondering like do we should we reduce it, right? If we really want to understand the re the role of reproductive microbiome, like should we make like a, you know, reproductive system on a chip, you know, an ovary, a fallopian tube and the and understand the bacterial organ communication. I don't know, maybe I'm way on another planet than everyone else. I'm just",True,False,True
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Alexandra Bedford,,"Hi, I'm Alexandra. I'm a guest. So I'm sitting in and uh eager to hear your discussion.",False,True,True
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Hi. How are you? We were we were waiting for you.,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,I'm sorry.,False,False,True
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"Now, uh I was told that we uh need to get a recorded reporter and I'm looking for a volunteer and what that person needs to uh record the conversations and and uh it would be willing to uh report the outcome of our breakout in the plenary session.",False,False,True
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Who is gonna volunteer?,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"Please some of you be volunteers. Yeah, nobody gonna do me a favor. I have to pick up someone. Okay, Lisa, are you willing to do it?",False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Because the reason I pick you up because my daughter was thinking of Oberlin or um,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,I didn't go to Oberlin.,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"Yes, I will. I will do that.",False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"For Nandita, did you said that you are gonna volunteer? Yeah. I appreciate it.",False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Now the next order of business that uh we go around the room and introduce ourselves. I can start with myself. I'm Ali Keshavarziyan. I think I you heard my uh that I introduced myself earlier.,False,False,True
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Uh my uh I'm a clinician scientist see patients and for the last 10 years I see uh patient with Parkinson disease because of my um research.,False,False,True
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"People started uh calling me to see them. Uh but my research is um impact of the environmental factor on uh gut milieu and micro host interaction in GI disease and uh chronic inflammatory systemic disease from liver disease, obesity.",False,False,True
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"Lisa, do you want to introduce yourself?",False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Thank you.,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Nandita?,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Rosa?,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Thank you.,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,Cesar?,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"Thank you, Pamela.",False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,You work with Jean Chang or you don't work with Jean?,False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"Oh, go ahead.",False,False,False
2021_04_22_MND_S6,2021_04_22_MND_S6_MND,Ali Keshavarzan,,"I think the next Linnea, go ahead.",False,False,False
2021_04_23_MND_S10,2021_04_23_MND_S10_MND,Sarah MacEachern,,"Yeah, sorry. I apologize. I've had to do two days, you know what it's like, you know, patients come first every day. Um Um yeah, I'm I'm a developmental fellow um who's just offered an assistant professor position at the University of Calgary. So I'm sort of like in the very, very early stages. Um my plan is to use precision medicine approaches to approach neurodevelopmental conditions to try to understand them better, but my PhD work was in the neuroscience of the gut, which has sort of brought me back around to this question of um, you know, sort of microbiome and neurodevelopmental conditions. I have to be honest with you for most other sessions I've felt I've been able to follow and it's probably because I came a little late, but um sort of the level of the scientific discussion has been a bit above me, which is in part why I haven't jumped in yet. So it's been part of what I've really enjoyed about the is that I truly have learned so much and like my day-to-day I think looks very different from a lot of you. So um I don't have anything to add quite yet other than to say like you guys are so smart.",False,False,True
2021_04_23_MND_S10,2021_04_23_MND_S10_MND,Sarah MacEachern,,"I know that's something I've been wondering about for a while, totally. And worst case I'll just be your guys's hype girl, be like, you know, what's up?",False,False,False
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Ashley Harris,,"So something that might be awesome. Oh, sorry.",False,False,False
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Ashley Harris,,"Also important to I mean the technique that you choose depends on the question you're answering. So like you're asking because like mass spec is great for getting, you know, a big picture look at all the different molecules there in the tissue. Where's like I'm a sensors person. So I'm like really good at measuring one or two things but really fast temporal resolution in live tissue. So it depends on the the question you're trying to I guess ask. So I mean, and I think both are important. Um, so I guess when you're defining the messengers, it's like do you want to look at it like a snapshot in time of like all the different messengers that are um present?",False,True,True
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Ashley Harris,,"Or is it important to look at dynamics of how they're signaling? Because that that can dictate what technology you choose. So I mean, and I think both are important. Um, so I guess when you're defining the messengers, it's like do you want to look at it like a snapshot in time of like all the different messengers that are um present?",False,False,False
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Ashley Harris,,"Yeah, I know there's also, you know, transient responses um across the gut, which obviously wouldn't concentrate over time, which would be hard to to measure with things like mass spec, but yeah.",False,False,False
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Jeff Errington,,"So if I'm oriented correctly, we are our prompts or our questions are on slide 50. Is that right?",False,False,True
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Jeff Errington,,"50, okay.",False,False,False
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Jeff Errington,,"What is the diversity of messages that pass back and forth between the gut microbiome and the brain? Well, I know I I uh use a a figure from a I believe a John Cryan review that talks about all the different, you know, conduits or or mechanisms of communication between the gut and the brain, which include immune, neuronal, small molecule, hormonal, um uh bacterial derived versus host derived and and uh you know, so we know that there's certainly a number of different mechanisms of communication. I think all have been to some degree, you know, studied, right? Uh I don't know if there are other thoughts or um or what is, you know, are there specific types of communication that may in particular context be more important than others and and to what degree do we understand, you know, which mechanism is at play in a particular context. I don't know if people have thoughts on on, you know, you know, just the level of understanding we have so far.",False,False,False
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Jeff Errington,,"So so your comment is is to define what is maybe if you think specifically on on, you know, small molecules produced by by gut bacteria and or maybe um host induction of small molecules by the microbiome, right? So so you know, the comment it just understand correctly is is to define that repertoire as an initial step so that we know at least what the players are and then that can inform potential responses, right? Now I know people are doing that um and people have been doing that for for some time. I think that there's always more to learn. Um, I think some of this literature goes back even a decade or more. Um, and I think a lot of this is based on small molecule detection, right? Um, but people like Jeremy Nicholson even more than a decade ago were measuring molecular outputs from the microbiome in mouse and rat models and and some human systems as well. My understanding and and you know, Kai and I think others may know more is, you know, that one of the bottlenecks um is detection, right? And identification of small molecules. We generally, you know, I know mass spec technology and other technologies are improving quite rapidly.",False,False,False
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Jeff Errington,,"It it it would be it would be really I think important and and enabling to potentially also ask structure function questions. So in addition, I'm not even sure off the top of my head other than the way an experiment set up I'm not sure how this would happen, but you know, define the chemical repertoire but somehow binning them in in a way where there's at least some initial insight as to what molecules may be bioactive, right? Because you know, microbiome is producing has a metabolic capacity of the liver, right? It produces just so many molecules, not all of them are going to be relevant in a particular context. So again maybe it's the way you set up your experiment that you already have a an output of interest in one group of humans or one group of mice and not another and so you can do sort of combinatorial or use combinatorial approaches, but there were improved ways of saying, you know, in addition measuring molecules, like I believe these molecules are the ones that are most bioactive. Then at least it constrains that that chemical space, right? And and allows you to, you know, potentially get at the the ones that are that are mediating an effect. and I I just don't know how off top of my head I just don't know what those systems would look like.",False,False,True
2021_04_23_MND_S14,2021_04_23_MND_S14_MND,Marie Claire,,"I I wanted to add to this um thought about function and also um what Kai was mentioning about, you know, um response, responses if that's part of it as well. Because when I first read this question, I thought about, oh, what is the diversity of messages and we've been talking about molecular messages or molecular messengers. But I was also thinking at a higher level, what is the diversity of kind of physiological and functional messages that are passing back and forth between the brain um between the gut and the brain. And I feel like I don't know off hand, but I wonder if there may be a discrete number of of those rather than it being like a continuous um spectrum.",True,False,False
