speaker,global_session,conference,total_utterances,total_explanations,total_decisions,total_new_ideas,total_self_intros,total_minutes_spoken,first_minute,last_minute
Laura Schaefer,2021_06_11_SLU_S10_SLU,2021_06_11_SLU_S10,38,3,0,6,6,650.0,10.0,19.716666666666665
Nathaniel Gabor,2021_06_11_SLU_S1_SLU,2021_06_11_SLU_S1,26,3,0,5,4,620.0,10.0,19.316666666666663
Justin Bahl,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,13,1,0,5,6,588.0,11.333333333333334,17.816666666666666
Kezia Manlove,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,21,1,0,5,10,575.0,9.816666666666666,17.583333333333332
Harris Wang,2021_04_22_MND_S7_MND,2021_04_22_MND_S7,11,2,0,5,1,573.0,9.983333333333333,18.616666666666667
Lisa Kaltenegger,2021_06_11_SLU_S9_SLU,2021_06_11_SLU_S9,92,6,0,4,3,1142.0,10.066666666666666,19.783333333333335
Timothy W Lyons,2021_06_11_SLU_S3_SLU,2021_06_11_SLU_S3,71,6,0,4,8,1142.0,9.533333333333331,18.983333333333334
Lisa Kaltenegger,2021_06_10_SLU_S3_SLU,2021_06_10_SLU_S3,55,0,0,4,6,981.0,9.866666666666667,19.533333333333335
Marie,2021_04_23_MND_S7_MND,2021_04_23_MND_S7,41,3,0,4,5,787.0,10.0,18.2
Mini Das,2021_05_21_ABI_S6_ABI,2021_05_21_ABI_S6,56,1,0,4,6,722.0,9.633333333333333,17.516666666666666
Shawn Domagal,2021_06_10_SLU_S7_SLU,2021_06_10_SLU_S7,60,2,0,4,10,692.0,10.0,18.933333333333337
Ana Bento,2021_09_30_MZT_S5_MZT,2021_09_30_MZT_S5,17,2,0,4,4,626.0,9.233333333333333,18.183333333333337
Jin Zhang,2021_05_21_ABI_S9_ABI,2021_05_21_ABI_S9,38,1,0,4,1,589.0,10.016666666666667,19.4
Stilianos Louca,2021_06_11_SLU_S3_SLU,2021_06_11_SLU_S3,23,2,0,4,3,576.0,9.533333333333331,18.533333333333335
Tori Hoehler,2021_06_11_SLU_S5_SLU,2021_06_11_SLU_S5,39,0,0,4,3,575.0,10.0,19.35
Tavis Anderson,2021_09_30_MZT_S7_MZT,2021_09_30_MZT_S7,27,0,0,4,6,554.0,9.45,19.116666666666667
Michael Burton,2021_04_23_MND_S3_MND,2021_04_23_MND_S3,21,1,0,4,6,503.0,9.016666666666667,17.083333333333332
Yang,2021_04_23_MND_S8_MND,2021_04_23_MND_S8,9,3,0,4,1,495.0,13.9,16.166666666666668
Meredith MacGregor,2021_06_11_SLU_S9_SLU,2021_06_11_SLU_S9,28,2,0,4,2,377.0,10.2,18.95
Joyoni Dey,2021_05_21_ABI_S7_ABI,2021_05_21_ABI_S7,14,3,0,4,2,328.0,9.983333333333333,19.383333333333333
Guillaume Bastille-Rousseau,2021_09_30_MZT_S2_MZT,2021_09_30_MZT_S2,38,0,0,4,2,220.2,9.75,16.766666666666666
Christopher Hamilton,2021_06_10_SLU_S6_SLU,2021_06_10_SLU_S6,22,6,0,3,5,902.0,10.333333333333334,19.016666666666666
Dr. Anna Moore,2021_05_21_ABI_S4_ABI,2021_05_21_ABI_S4,69,3,0,3,9,871.0,9.983333333333333,19.55
Maria Fernandez,2021_09_30_MZT_S5_MZT,2021_09_30_MZT_S5,20,5,0,3,5,839.0,9.233333333333333,17.966666666666665
Katherine de Kleer,2021_06_11_SLU_S12_SLU,2021_06_11_SLU_S12,37,1,0,3,5,810.0,10.116666666666667,19.45
Katharine White,2021_05_21_ABI_S1_ABI,2021_05_21_ABI_S1,39,1,0,3,3,785.0,9.983333333333333,18.233333333333334
Nicolas Cowan,2021_06_11_SLU_S10_SLU,2021_06_11_SLU_S10,47,3,0,3,10,733.0,10.0,19.533333333333335
Lisa Kaltenegger,2021_06_11_SLU_S4_SLU,2021_06_11_SLU_S4,58,2,0,3,5,707.0,9.983333333333333,17.633333333333333
Aida Ebrahimi,2021_04_22_MND_S4_MND,2021_04_22_MND_S4,36,1,0,3,3,671.0,9.983333333333333,17.766666666666666
Sara Zimmer,2021_10_01_MZT_S7_MZT,2021_10_01_MZT_S7,39,2,0,3,2,670.0,9.983333333333333,19.25
Lingyan Shi,2021_05_21_ABI_S2_ABI,2021_05_21_ABI_S2,14,3,0,3,1,651.0,9.25,18.066666666666663
