global_session,speaker,global_minute,transcript,has_new_idea,is_explanation,is_self_intro
2021_04_22_MND_S5_MND,Jill Panzer Codding,10.516666666666667,"Maybe towards the end we were just talking about the dynamics, right? What are the dynamics of the system? What are the dynamics of the microbiome? Like and how those things change. I don't know.",False,True,False
2021_04_22_MND_S5_MND,Kallol Mondal,14.45,meant of the Silog program at large. So um uh they are actually recording the sessions. This is something I'll just say while we're waiting for everyone to be back in the room. One of the things we do is is a study of how new collaborations form and what happens at the meetings that help to lead that so that we can adjust the nature of the meeting. So we actually look at who's assigned in whose rooms and how you interact with one another and then track that over time to see who chooses to write proposals whether those proposals are funded and who ultimately publishes papers together. Um and so we have data now 10 years running on the way that Silog functions to generate new collaborations among people.,False,True,False
2021_04_22_MND_S5_MND,Michael Burton,11.083333333333334,"I can go next. Um, so um my name is uh Michael Burton. I am a uh early fourth year assistant professor at the University of Texas at Dallas. And um my lab is um I guess I'm I'm trained in uh I guess immunophysiology and behavior. So how the immune system um affects the the brain and and various behaviors and my lab is uh neuroimmunology and behavior where we are interested in how the peripheral uh nervous system and peripheral immune system um interact with one another to um change whole body behaviors, metabolism, metabolic function, um whole body and also cell metabolism. Um, and our context are um aging um um different pain states uh and and diet. So not quite microbiome either, but I can I have some small inlets of interest in in there. So um super excited about similar things um why how I can contribute to, you know, the greater microbiome cause, etc. So.",False,True,True
2021_04_22_MND_S8_MND,Thomas Mansell,10.5,"I think that's a great point and one thing I think we need to consider is how orthogonal does a biomarker need to be, right? Certain things, right, you know, blood pressure could be an indicator for stroke too, right? And you know, and so how many, how many data points do you need to resolve a disease state, um, and you know, in terms of bacteria, in terms of, you know, if you're designing sensors, right? How many uh inputs do you need? And that makes, you know, you know, in my world in synthetic biology that makes your cellular circuit much more complex when you have more than one input, right? So, um, you know, the things I would be interested in are the most orthogonal, uh, you know, now, that's a big ask, right? Um, but uh, and also detectable in the physiological range, right? So that's all I need. Um, but uh, I think it's something to consider when you're kind of thinking about the importance of these. Like for example, like butyrate, I mean, has lots of different impacts on all kinds of things. There's inflammation, there's as Bob mentioned the carbon source for uh colonocytes, right? So I feel like when you're thinking for me personally, when I'm thinking about biomarkers, I'm thinking about things that are a lot more specific to particular disease states. Um, but that's just my own interest, that's where I'm coming from.",False,True,True
2021_04_23_MND_S3_MND,Pamela Chang,11.766666666666667,"I'll go next. Um, hi, I'm Pam Chang. I'm an assistant professor at Cornell in the Department of Microbiology and Immunology. Um, I was actually trained as a chemical biologist and then later on as an immunologist and our lab studies the interactions of the gut microbiota with uh the host, um, through their communication with small molecule metabolites and we use mouse models of inflammatory bowel disease and other um, and also infection with enteric pathogens. And we also develop chemical tools to look at the metabolism of the of the gut microbiome, um, specifically looking at bacterial enzymes that produce these metabolites.",False,True,True
2021_05_20_ABI_S8_ABI,Joyati Deb Roy,12.883333333333333,"Thank you. Um, yeah, so I am, um, associate professor at LSU. I've been here for like, I think this is my seventh year. Um, so the yeah, I work on like, uh, like, uh, unfortunately not in a like, uh, at a much higher resolution like a, uh, I mean, clinical resolution. So I work on, um, mammography. So I one of the things that, um, I'm working on is, uh, building a phase contrast X-ray system for, uh, you know, finding the microcalcification clusters, um, quite early even before the tumor is developed. And so, um, so, uh, we hope that, um, the three, like I, uh, have that innovation, phase image and the, um, the, uh, what's it the, the scatter image, small angle scatter, it's a coherent scattering, scattering process.",False,True,True
2021_05_21_ABI_S11_ABI,Andrew Feig,11.2,"You're actually you're in room three, not room four, so you're 3.3.",False,True,False
2021_05_21_ABI_S15_ABI,Andrew Feig,11.95,"You're actually you're in room three, not room four. So you're 3.3.",False,True,False
2021_05_21_ABI_S16_ABI,Xin Qi-CWRU,20.016666666666666,"that's to me is probably in my opinion that it disturb the balance of the microbiome, the environment, right? Because that's is a really from this internal stress for to stimulate the downstream signal pathway. Um that's what I said what what I thought any diseases or any um uh signal the stress in the gut uh the GI system or the gut uh system could actually imbalance and disrupt that this is a wild balance in the microbiome and the species.",False,True,False
2021_05_21_ABI_S3_ABI,Alexandra Walsh,13.25,"Yeah. I think I'm last. Um I'm Alex. I'm an assistant professor at Texas A&M. I've been here almost two years now. And I do similar stuff, so that was great. Um we do uh collagen SHG imaging also, but we primarily focus on label free imaging with fluorescence.",False,True,True
