source,target,t_i,t_j,weight,speaker_i,speaker_j
0,1,9.25,27.75,0.14784327149391174,Brad Smith,Brad Smith
0,2,9.25,42.0,0.4193604588508606,Brad Smith,Aniruddha Ray
0,3,9.25,51.0,0.13135892152786255,Brad Smith,Brad Smith
0,4,9.25,57.33333333333333,0.11034797877073288,Brad Smith,Aniruddha Ray
0,5,9.25,63.0,0.19368496537208557,Brad Smith,Barbara Smith
0,6,9.25,80.0,0.17402996122837067,Brad Smith,Aniruddha Ray
0,7,9.25,99.5,0.05322092026472092,Brad Smith,Aniruddha Ray
0,8,9.25,112.5,0.07996270805597305,Brad Smith,Aniruddha Ray
0,9,9.25,121.5,0.21969786286354065,Brad Smith,Brad Smith
1,2,27.75,42.0,0.11461654305458069,Brad Smith,Aniruddha Ray
1,3,27.75,51.0,0.5380467176437378,Brad Smith,Brad Smith
1,4,27.75,57.33333333333333,0.1587795615196228,Brad Smith,Aniruddha Ray
1,5,27.75,63.0,0.1721505969762802,Brad Smith,Barbara Smith
1,6,27.75,80.0,0.4433644413948059,Brad Smith,Aniruddha Ray
1,7,27.75,99.5,0.634369432926178,Brad Smith,Aniruddha Ray
1,8,27.75,112.5,0.3483235836029053,Brad Smith,Aniruddha Ray
1,9,27.75,121.5,0.16541914641857147,Brad Smith,Brad Smith
1,10,27.75,131.16666666666669,0.6402954459190369,Brad Smith,Alexandra Dickinson
2,3,42.0,51.0,0.1512414813041687,Aniruddha Ray,Brad Smith
2,4,42.0,57.33333333333333,0.2515743374824524,Aniruddha Ray,Aniruddha Ray
2,5,42.0,63.0,0.25156480073928833,Aniruddha Ray,Barbara Smith
2,6,42.0,80.0,0.21881142258644104,Aniruddha Ray,Aniruddha Ray
2,7,42.0,99.5,0.014660179615020752,Aniruddha Ray,Aniruddha Ray
2,8,42.0,112.5,0.05329026281833649,Aniruddha Ray,Aniruddha Ray
2,9,42.0,121.5,0.10959574580192566,Aniruddha Ray,Brad Smith
2,10,42.0,131.16666666666669,0.07296839356422424,Aniruddha Ray,Alexandra Dickinson
2,11,42.0,151.58333333333331,0.0007206518203020096,Aniruddha Ray,Alexandra Dickinson
3,4,51.0,57.33333333333333,0.11542680114507675,Brad Smith,Aniruddha Ray
3,5,51.0,63.0,0.11971256881952286,Brad Smith,Barbara Smith
3,6,51.0,80.0,0.21007777750492096,Brad Smith,Aniruddha Ray
3,7,51.0,99.5,0.34562674164772034,Brad Smith,Aniruddha Ray
3,8,51.0,112.5,0.06582291424274445,Brad Smith,Aniruddha Ray
3,9,51.0,121.5,0.28173327445983887,Brad Smith,Brad Smith
3,10,51.0,131.16666666666669,0.39012211561203003,Brad Smith,Alexandra Dickinson
3,11,51.0,151.58333333333331,0.14608485996723175,Brad Smith,Alexandra Dickinson
3,12,51.0,167.91666666666666,0.30401328206062317,Brad Smith,Alexandra Dickinson
4,5,57.33333333333333,63.0,0.1767105609178543,Aniruddha Ray,Barbara Smith
4,6,57.33333333333333,80.0,0.18552570044994354,Aniruddha Ray,Aniruddha Ray
4,7,57.33333333333333,99.5,0.054456062614917755,Aniruddha Ray,Aniruddha Ray
4,8,57.33333333333333,112.5,-0.012208834290504456,Aniruddha Ray,Aniruddha Ray
4,9,57.33333333333333,121.5,0.2398250699043274,Aniruddha Ray,Brad Smith
4,10,57.33333333333333,131.16666666666669,0.10033601522445679,Aniruddha Ray,Alexandra Dickinson
4,11,57.33333333333333,151.58333333333331,0.07681834697723389,Aniruddha Ray,Alexandra Dickinson
4,12,57.33333333333333,167.91666666666666,0.14557884633541107,Aniruddha Ray,Alexandra Dickinson
4,13,57.33333333333333,173.0,0.5420015454292297,Aniruddha Ray,Brad Smith
5,6,63.0,80.0,0.15968313813209534,Barbara Smith,Aniruddha Ray
5,7,63.0,99.5,0.12615805864334106,Barbara Smith,Aniruddha Ray
5,8,63.0,112.5,0.0431421659886837,Barbara Smith,Aniruddha Ray
5,9,63.0,121.5,0.11470038443803787,Barbara Smith,Brad Smith
5,10,63.0,131.16666666666669,0.22094804048538208,Barbara Smith,Alexandra Dickinson
5,11,63.0,151.58333333333331,0.031653858721256256,Barbara Smith,Alexandra Dickinson
5,12,63.0,167.91666666666666,0.16290634870529175,Barbara Smith,Alexandra Dickinson
5,13,63.0,173.0,0.3154897093772888,Barbara Smith,Brad Smith
6,7,80.0,99.5,0.4020533263683319,Aniruddha Ray,Aniruddha Ray
6,8,80.0,112.5,0.37767207622528076,Aniruddha Ray,Aniruddha Ray
6,9,80.0,121.5,0.13093580305576324,Aniruddha Ray,Brad Smith
6,10,80.0,131.16666666666669,0.49107420444488525,Aniruddha Ray,Alexandra Dickinson
6,11,80.0,151.58333333333331,0.19783572852611542,Aniruddha Ray,Alexandra Dickinson
6,12,80.0,167.91666666666666,0.3341827392578125,Aniruddha Ray,Alexandra Dickinson
6,13,80.0,173.0,0.17762397229671478,Aniruddha Ray,Brad Smith
6,14,80.0,190.4,0.5949191451072693,Aniruddha Ray,Barbara Smith
7,8,99.5,112.5,0.3719833493232727,Aniruddha Ray,Aniruddha Ray
7,9,99.5,121.5,0.0558355376124382,Aniruddha Ray,Brad Smith
7,10,99.5,131.16666666666669,0.733940839767456,Aniruddha Ray,Alexandra Dickinson
7,11,99.5,151.58333333333331,0.5080235004425049,Aniruddha Ray,Alexandra Dickinson
7,12,99.5,167.91666666666666,0.27507302165031433,Aniruddha Ray,Alexandra Dickinson
7,13,99.5,173.0,0.02301427349448204,Aniruddha Ray,Brad Smith
7,14,99.5,190.4,0.5196858644485474,Aniruddha Ray,Barbara Smith
7,15,99.5,214.4,0.5570892095565796,Aniruddha Ray,Barbara Smith
8,9,112.5,121.5,0.004874836653470993,Aniruddha Ray,Brad Smith
8,10,112.5,131.16666666666669,0.3718256950378418,Aniruddha Ray,Alexandra Dickinson
8,11,112.5,151.58333333333331,0.23492693901062012,Aniruddha Ray,Alexandra Dickinson
8,12,112.5,167.91666666666666,0.13444632291793823,Aniruddha Ray,Alexandra Dickinson
8,13,112.5,173.0,0.024305345490574837,Aniruddha Ray,Brad Smith
8,14,112.5,190.4,0.34641700983047485,Aniruddha Ray,Barbara Smith
8,15,112.5,214.4,0.5238412022590637,Aniruddha Ray,Barbara Smith
8,16,112.5,227.0,-0.028333473950624466,Aniruddha Ray,Brad Smith
9,10,121.5,131.16666666666669,0.008819254115223885,Brad Smith,Alexandra Dickinson
9,11,121.5,151.58333333333331,-0.013551965355873108,Brad Smith,Alexandra Dickinson
9,12,121.5,167.91666666666666,0.08450765162706375,Brad Smith,Alexandra Dickinson
9,13,121.5,173.0,0.23770421743392944,Brad Smith,Brad Smith
9,14,121.5,190.4,0.1724098026752472,Brad Smith,Barbara Smith
9,15,121.5,214.4,0.043646231293678284,Brad Smith,Barbara Smith
9,16,121.5,227.0,0.2253393977880478,Brad Smith,Brad Smith
10,11,131.16666666666669,151.58333333333331,0.5975240468978882,Alexandra Dickinson,Alexandra Dickinson
10,12,131.16666666666669,167.91666666666666,0.3124154210090637,Alexandra Dickinson,Alexandra Dickinson
10,13,131.16666666666669,173.0,0.10241758078336716,Alexandra Dickinson,Brad Smith
10,14,131.16666666666669,190.4,0.6120045185089111,Alexandra Dickinson,Barbara Smith
10,15,131.16666666666669,214.4,0.6586509943008423,Alexandra Dickinson,Barbara Smith
10,16,131.16666666666669,227.0,0.2087642252445221,Alexandra Dickinson,Brad Smith
10,17,131.16666666666669,247.75,0.5079771280288696,Alexandra Dickinson,Yevgenia Kozorovitskiy
11,12,151.58333333333331,167.91666666666666,0.165601909160614,Alexandra Dickinson,Alexandra Dickinson
11,13,151.58333333333331,173.0,0.04903525859117508,Alexandra Dickinson,Brad Smith
11,14,151.58333333333331,190.4,0.4131524860858917,Alexandra Dickinson,Barbara Smith
11,15,151.58333333333331,214.4,0.3705478608608246,Alexandra Dickinson,Barbara Smith
11,16,151.58333333333331,227.0,0.11488565802574158,Alexandra Dickinson,Brad Smith
11,17,151.58333333333331,247.75,0.35365569591522217,Alexandra Dickinson,Yevgenia Kozorovitskiy
11,18,151.58333333333331,269.9375,0.5558798313140869,Alexandra Dickinson,Yevgenia Kozorovitskiy
12,13,167.91666666666666,173.0,0.147865429520607,Alexandra Dickinson,Brad Smith
12,14,167.91666666666666,190.4,0.30853426456451416,Alexandra Dickinson,Barbara Smith
12,15,167.91666666666666,214.4,0.21604791283607483,Alexandra Dickinson,Barbara Smith
12,16,167.91666666666666,227.0,0.14444710314273834,Alexandra Dickinson,Brad Smith
12,17,167.91666666666666,247.75,0.22571706771850586,Alexandra Dickinson,Yevgenia Kozorovitskiy
12,18,167.91666666666666,269.9375,0.1703735589981079,Alexandra Dickinson,Yevgenia Kozorovitskiy
12,19,167.91666666666666,287.6875,0.3019256889820099,Alexandra Dickinson,Yevgenia Kozorovitskiy
13,14,173.0,190.4,0.2413610965013504,Brad Smith,Barbara Smith
13,15,173.0,214.4,0.0389946885406971,Brad Smith,Barbara Smith
13,16,173.0,227.0,0.36771470308303833,Brad Smith,Brad Smith
13,17,173.0,247.75,0.09040956199169159,Brad Smith,Yevgenia Kozorovitskiy
13,18,173.0,269.9375,0.05000224709510803,Brad Smith,Yevgenia Kozorovitskiy
13,19,173.0,287.6875,0.17561054229736328,Brad Smith,Yevgenia Kozorovitskiy
14,15,190.4,214.4,0.530068576335907,Barbara Smith,Barbara Smith
14,16,190.4,227.0,0.20284616947174072,Barbara Smith,Brad Smith
14,17,190.4,247.75,0.38866952061653137,Barbara Smith,Yevgenia Kozorovitskiy
14,18,190.4,269.9375,0.49626392126083374,Barbara Smith,Yevgenia Kozorovitskiy
