id,t,t_start,t_end,speaker,text
0,9.25,0.0,18.5,Brad Smith,"Well, um, yeah, let's maybe start some introductions. We're beginning the obviously by the third breakout session and all of this stuff beginning to know each other pretty well. So, uh, I'll just read them out here. Well, let me I've already introduced."
1,27.75,18.5,37.0,Brad Smith,"Oh man, I'm a chemistry based person and optical imaging is primarily what I do. So the lack of deep tissue imaging is the problem I'm trying to avoid or trying to get around. Uh, but let's just see what other modalities that we've got there. So, um, Anarude, maybe start with you because you're you're not eating."
2,42.0,38.0,46.0,Aniruddha Ray,"Uh, hello everyone. So I've actually spoken to everyone here already."
3,51.0,46.0,56.0,Brad Smith,Maybe focus on your modality because I think when you get that's where we're going to be. Either your problem that you're trying to solve in deep tissue or the modality that you think you can bring to the problem.
4,57.33333333333333,56.0,58.666666666666664,Aniruddha Ray,"Oh, there is Stephen Barbara. So Danny, can see you."
5,63.0,60.0,66.0,Barbara Smith,"Sorry, sorry. I have a little human that required me for a few minutes."
6,80.0,67.0,93.0,Aniruddha Ray,"Um, so, uh, my name is Anirud. I'm from University of Toledo. I work on two different things. So I work on nanotechnology aided optical imaging, which involves fluorescence as well as photoacoustics."
7,99.5,93.0,106.0,Aniruddha Ray,"And that's what is my interest in deep tissue imaging. I also work on lensless holographic microscopy, um, but that is more for Xvivo samples or in vitro samples."
8,112.5,106.0,119.0,Aniruddha Ray,"So we basically develop different types of nanoparticles, um, metallic quantum dots, um, um, polymeric nanoparticles for biomedical imaging, sensing, as well as for therapy, uh, chemotherapy, photodynamic therapy. And we monitor them using fluorescence and photoacoustics, as well as some scattering and other things."
9,121.5,120.0,123.0,Brad Smith,"Jazz, can you what's your modality?"
10,131.16666666666669,123.0,139.33333333333334,Alexandra Dickinson,"Sure, so, um, I am a developmental biologist and I work in plants and um, I typically use fluorescence microscopy and chemical imaging using mass spectrometry imaging. Um, but I'm always really interested in deep tissue uh problems."
11,151.58333333333331,139.33333333333334,163.83333333333331,Alexandra Dickinson,"Um, in in my field I think of it as either imaging can we image plants that are growing in soil? Can we image any biological processes of plants growing in soil or can we image deep into a tree trunk? Like something along those lines, although I've never done it."
12,167.91666666666666,163.83333333333331,172.0,Alexandra Dickinson,"Um, I just, you know, I'd be interested to see what possibilities might be out there to do that kind of work."
13,173.0,172.0,174.0,Brad Smith,"Uh Barbara, you're there?"
14,190.4,176.0,204.8,Barbara Smith,"I am here. In in full person. Um, so my imaging modality that we work with, uh, so, uh, we do develop imaging tools and we apply those imaging tools, um, and we also do some chemical analysis as well."
15,214.4,204.8,224.0,Barbara Smith,"Uh, so we work with photoacoustic imaging, uh, ultrasound, um, also fluorescence uh approaches and um, we're also working with near infrared, um, probes and contrast for uh deep tissue uh targeting specifically for neurons. Um, and then we also do LC and GC mass spec."
16,227.0,224.0,230.0,Brad Smith,"Uh yeah, Genia, you're can you talk now?"
17,247.75,238.875,256.625,Yevgenia Kozorovitskiy,"I'm mid bite, so this is perfect. Uh, my name is Genia or Yevgenia Kozorovitskiy and I am at Northwestern University and we're interested in optical fluorescence imaging, which we do with uh primarily with light sheet using single objective based approaches."
18,269.9375,256.625,283.25,Yevgenia Kozorovitskiy,"Um, we also do some two photon uh image basic point scanning imaging and also photolysis of chemical probes. Um, and I think, you know, in my field deep tissue typically means one of three things. One is, you know, throw more more photons at it and get deeper."
19,287.6875,283.25,292.125,Yevgenia Kozorovitskiy,"Um, two is you are in a light sheet type uh context then, you know, do some uh holography for shaping of beams."
20,296.5625,292.125,301.0,Yevgenia Kozorovitskiy,"Uh, or use some penetrative probes, uh, which for many pre-clinical applications are possible and there it begins to be more about optimizing those so that you get the most amount of information for the least amount of um tissue damage."
21,301.5,301.0,302.0,Brad Smith,Uh see Shim.
22,316.2857142857143,302.0,330.57142857142856,Sixian You,"Hi everyone. My name is Sishan Yo. Uh, I recently started in electric engineering department at MIT. My background is in optics and microscopy."
23,337.7142857142857,330.57142857142856,344.8571428571429,Sixian You,"Uh, so, uh, we are very much troubled by deep tissue imaging because uh, we're we're blessed with this submicro resolution but we can rarely go deeper than millimeter uh depth. So what my lab does, uh, we want to tackle this issue and also a lot of other like imaging speed or contrast issue from three aspects."
24,358.42857142857144,344.8571428571429,372.0,Sixian You,"The first aspect is uh, um multiphoton imaging. How can we uh design different wavefront shaping or post shaping or even light engineering, light generation techniques to enable deeper penetration of the light. Uh, that's one aspect."
