source,target,weight
175,185,-0.17780938744544983
50,57,-0.121616892516613
164,173,-0.11917481571435928
189,196,-0.1167047917842865
166,175,-0.1155848428606987
192,196,-0.10356836020946503
201,205,-0.10033021867275238
199,203,-0.091183602809906
175,184,-0.09069337695837021
201,203,-0.08913803100585938
96,99,-0.08714541792869568
171,184,-0.08190526813268661
166,178,-0.07932228595018387
134,136,-0.07896186411380768
99,104,-0.07844100892543793
174,184,-0.07812224328517914
118,122,-0.07737917453050613
201,206,-0.07677574455738068
167,175,-0.07540819048881531
178,184,-0.07226230204105377
189,197,-0.0686039924621582
99,100,-0.06689264625310898
166,172,-0.06629898399114609
202,203,-0.06441802531480789
41,49,-0.06102851405739784
