source,target,t_i,t_j,weight,speaker_i,speaker_j
0,1,2.3125,6.9375,0.42302343249320984,Brad Smith,Brad Smith
0,2,2.3125,11.5625,0.3994620144367218,Brad Smith,Brad Smith
0,3,2.3125,16.1875,0.6324726939201355,Brad Smith,Brad Smith
0,4,2.3125,20.8125,0.11645282804965973,Brad Smith,Brad Smith
0,5,2.3125,25.4375,0.11469274759292603,Brad Smith,Brad Smith
0,6,2.3125,30.0625,0.2688414454460144,Brad Smith,Brad Smith
0,7,2.3125,34.6875,0.2729823887348175,Brad Smith,Brad Smith
0,8,2.3125,40.0,0.3576923608779907,Brad Smith,Aniruddha Ray
0,9,2.3125,44.0,0.36181384325027466,Brad Smith,Aniruddha Ray
0,10,2.3125,48.5,0.30956482887268066,Brad Smith,Brad Smith
0,11,2.3125,53.5,0.12073075771331787,Brad Smith,Brad Smith
0,12,2.3125,56.66666666666667,0.15627232193946838,Brad Smith,Aniruddha Ray
0,13,2.3125,58.0,0.1317490041255951,Brad Smith,Aniruddha Ray
0,14,2.3125,61.5,0.15522198379039764,Brad Smith,Barbara Smith
0,15,2.3125,64.5,0.1977667212486267,Brad Smith,Barbara Smith
0,16,2.3125,70.25,0.26594096422195435,Brad Smith,Aniruddha Ray
0,17,2.3125,76.75,0.23728106915950775,Brad Smith,Aniruddha Ray
0,18,2.3125,83.25,0.21303734183311462,Brad Smith,Aniruddha Ray
0,19,2.3125,89.75,0.1211928278207779,Brad Smith,Aniruddha Ray
0,20,2.3125,96.25,0.1347026526927948,Brad Smith,Aniruddha Ray
0,21,2.3125,102.75,0.0970190092921257,Brad Smith,Aniruddha Ray
0,22,2.3125,109.25,0.03069116920232773,Brad Smith,Aniruddha Ray
0,23,2.3125,115.75,0.06544333696365356,Brad Smith,Aniruddha Ray
0,24,2.3125,121.5,0.23271793127059937,Brad Smith,Brad Smith
1,2,6.9375,11.5625,0.20993587374687195,Brad Smith,Brad Smith
1,3,6.9375,16.1875,0.29203730821609497,Brad Smith,Brad Smith
1,4,6.9375,20.8125,0.06553474068641663,Brad Smith,Brad Smith
1,5,6.9375,25.4375,0.11182665824890137,Brad Smith,Brad Smith
1,6,6.9375,30.0625,0.21937519311904907,Brad Smith,Brad Smith
1,7,6.9375,34.6875,0.17047539353370667,Brad Smith,Brad Smith
1,8,6.9375,40.0,0.2335675060749054,Brad Smith,Aniruddha Ray
1,9,6.9375,44.0,0.27076268196105957,Brad Smith,Aniruddha Ray
1,10,6.9375,48.5,0.2012970745563507,Brad Smith,Brad Smith
1,11,6.9375,53.5,0.10360461473464966,Brad Smith,Brad Smith
1,12,6.9375,56.66666666666667,0.0682053491473198,Brad Smith,Aniruddha Ray
1,13,6.9375,58.0,0.1506856083869934,Brad Smith,Aniruddha Ray
1,14,6.9375,61.5,0.07631255686283112,Brad Smith,Barbara Smith
1,15,6.9375,64.5,0.13595083355903625,Brad Smith,Barbara Smith
1,16,6.9375,70.25,0.13196392357349396,Brad Smith,Aniruddha Ray
1,17,6.9375,76.75,0.1261289417743683,Brad Smith,Aniruddha Ray
1,18,6.9375,83.25,0.1585560441017151,Brad Smith,Aniruddha Ray
