source,target,t_i,t_j,weight,speaker_i,speaker_j
340,356,2800.0,2917.0,-0.14047735929489136,Barbara Smith,Aniruddha Ray
125,136,923.5,1010.25,-0.12772688269615173,Carolyn Bayer,Yevgenia Kozorovitskiy
372,381,3010.5,3073.5,-0.11800242960453033,Aniruddha Ray,Brad Smith
191,199,1659.5,1739.75,-0.11143563687801361,Carolyn Bayer,Carolyn Bayer
109,129,818.0,933.0,-0.11091223359107971,Brad Smith,Carolyn Bayer
16,21,70.25,102.75,-0.09525296092033386,Aniruddha Ray,Aniruddha Ray
292,304,2519.75,2610.5,-0.09423509240150452,Carolyn Bayer,Brad Smith
321,333,2684.0,2776.0,-0.09407529979944229,Carolyn Bayer,Brad Smith
369,381,2994.833333333333,3073.5,-0.09354130923748016,Carolyn Bayer,Brad Smith
342,356,2807.0,2917.0,-0.09311437606811523,Barbara Smith,Aniruddha Ray
337,354,2790.0,2895.25,-0.0919630229473114,Brad Smith,Brad Smith
37,40,227.0,261.0625,-0.08974448591470718,Brad Smith,Yevgenia Kozorovitskiy
151,153,1171.5,1183.6666666666665,-0.08960144966840744,Yevgenia Kozorovitskiy,Yevgenia Kozorovitskiy
84,90,608.6,672.5,-0.08800442516803741,Brad Smith,Barbara Smith
193,198,1690.0,1737.5,-0.08714538812637329,Alexandra Dickinson,Alexandra Dickinson
342,353,2807.0,2889.75,-0.0866035670042038,Barbara Smith,Brad Smith
381,389,3073.5,3143.3999999999996,-0.0865352600812912,Brad Smith,Luke Mortensen
108,125,805.75,923.5,-0.08535515516996384,Brad Smith,Carolyn Bayer
346,354,2824.0,2895.25,-0.0839562863111496,Aniruddha Ray,Brad Smith
416,431,3340.4615384615386,3453.25,-0.08393054455518723,Barbara Smith,Brad Smith
251,267,2224.5,2307.3888888888887,-0.08280622214078903,Barbara Smith,Alexandra Dickinson
346,355,2824.0,2905.0,-0.08210179954767227,Aniruddha Ray,Aniruddha Ray
198,207,1737.5,1811.25,-0.08197873085737228,Alexandra Dickinson,Barbara Smith
394,406,3173.0,3246.6153846153848,-0.0803428515791893,Brad Smith,Barbara Smith
13,22,58.0,109.25,-0.07968518137931824,Aniruddha Ray,Aniruddha Ray
334,354,2781.0,2895.25,-0.0796608179807663,Brad Smith,Brad Smith
326,346,2718.5,2824.0,-0.07932238280773163,Sixian You,Aniruddha Ray
228,232,2043.75,2101.5,-0.07737915217876434,Barbara Smith,Brad Smith
71,73,494.5,511.125,-0.07687272876501083,Luke Mortensen,Steve Jett
