lens,center_global_sec,n_speakers,n_edges,n_cross_speaker_edges,decisionish_in_window,context_±10s
Blocks,615.0,2,0,0,True,
Blocks,622.0,2,0,0,True,
Blocks,649.0,2,0,0,True,
Blocks,659.0,2,0,0,True,
Blocks,661.0,2,0,0,True,
Blocks,662.0,2,0,0,True,
Blocks,677.0,2,0,0,True,
Blocks,680.0,2,0,0,True,
Blocks,682.0,2,0,0,True,
Blocks,690.0,3,0,0,True,
Blocks,692.0,3,0,0,True,
Blocks,699.0,3,0,0,True,
Blocks,701.0,3,0,0,True,
Blocks,717.0,3,0,0,True,
Blocks,738.0,4,0,0,True,
Blocks,743.0,4,0,0,True,
Blocks,752.0,4,0,0,True,
Blocks,753.0,4,0,0,True,
Blocks,771.0,4,0,0,True,
Blocks,785.0,2,0,0,True,
Blocks,787.0,2,0,0,True,
Blocks,791.0,2,0,0,True,
Blocks,823.0,2,0,0,True,
Blocks,825.0,2,0,0,True,
Blocks,833.0,2,0,0,True,
Blocks,839.0,2,0,0,True,
Blocks,845.0,2,0,0,True,
Blocks,855.0,3,0,0,True,
Blocks,856.0,3,0,0,True,
Blocks,870.0,3,0,0,True,
Blocks,878.0,3,0,0,True,
Blocks,881.0,3,0,0,True,
Blocks,883.0,3,0,0,True,
Blocks,884.0,3,0,0,True,
Blocks,889.0,3,0,0,True,
Blocks,895.0,3,0,0,True,
Blocks,898.0,3,0,0,True,
Blocks,900.0,3,0,0,True,
Blocks,905.0,3,0,0,True,
Blocks,913.0,3,0,0,True,
Blocks,917.0,3,0,0,True,
Blocks,919.0,3,0,0,True,
Blocks,926.0,3,0,0,True,
Blocks,935.0,2,0,0,True,
Blocks,948.0,1,0,0,True,
Blocks,967.0,1,0,0,True,
Blocks,981.0,1,0,0,True,
Blocks,997.0,1,0,0,True,
Blocks,1020.0,2,0,0,True,
Blocks,1028.0,2,0,0,True,
Blocks,1036.0,2,0,0,True,
Blocks,1049.0,2,0,0,True,
Blocks,1070.0,3,0,0,True,
Blocks,1072.0,3,0,0,True,
Blocks,1080.0,3,0,0,True,
Blocks,1084.0,3,0,0,True,
Blocks,1097.0,3,0,0,True,
Blocks,1102.0,2,0,0,True,
Blocks,1106.0,2,0,0,True,
Blocks,1122.0,2,0,0,True,
Blocks,1136.0,2,0,0,True,
Blocks,1155.0,3,0,0,True,
Blocks,1156.0,3,0,0,True,
Blocks,1167.0,3,0,0,True,
Blocks,1182.0,4,0,0,True,
Blocks,1185.0,4,0,0,True,
Blocks,1201.0,4,0,0,True,
Blocks,1235.0,4,0,0,True,
Clauses,615.0,2,0,0,True,
Clauses,622.0,2,0,0,True,
Clauses,649.0,2,0,0,True,
Clauses,659.0,2,0,0,True,
Clauses,661.0,2,0,0,True,
Clauses,662.0,2,0,0,True,
Clauses,677.0,2,0,0,True,
Clauses,680.0,2,0,0,True,
Clauses,682.0,3,0,0,True,
Clauses,690.0,3,0,0,True,
Clauses,692.0,3,0,0,True,
Clauses,699.0,3,0,0,True,
Clauses,701.0,3,0,0,True,
Clauses,717.0,3,0,0,True,
Clauses,738.0,4,0,0,True,
Clauses,743.0,4,0,0,True,
Clauses,752.0,4,0,0,True,
Clauses,753.0,4,0,0,True,
Clauses,771.0,4,0,0,True,
Clauses,785.0,2,0,0,True,
Clauses,787.0,2,0,0,True,
Clauses,791.0,2,0,0,True,
Clauses,823.0,2,0,0,True,
Clauses,825.0,2,0,0,True,
Clauses,833.0,2,0,0,True,
Clauses,839.0,2,0,0,True,
Clauses,845.0,3,0,0,True,
Clauses,855.0,3,0,0,True,
Clauses,856.0,3,0,0,True,
Clauses,870.0,3,0,0,True,
Clauses,878.0,3,0,0,True,
Clauses,881.0,3,0,0,True,
Clauses,883.0,3,0,0,True,
Clauses,884.0,3,0,0,True,
Clauses,889.0,3,0,0,True,
Clauses,895.0,3,0,0,True,
Clauses,898.0,3,0,0,True,
Clauses,900.0,3,0,0,True,
Clauses,905.0,3,0,0,True,
Clauses,913.0,3,0,0,True,
Clauses,917.0,3,0,0,True,
Clauses,919.0,3,0,0,True,
Clauses,926.0,3,0,0,True,
Clauses,935.0,2,0,0,True,
Clauses,948.0,1,0,0,True,
Clauses,967.0,1,0,0,True,
Clauses,981.0,1,0,0,True,
Clauses,997.0,1,0,0,True,
Clauses,1020.0,2,0,0,True,
Clauses,1028.0,2,0,0,True,
Clauses,1036.0,2,0,0,True,
Clauses,1049.0,2,0,0,True,
Clauses,1070.0,3,0,0,True,
Clauses,1072.0,3,0,0,True,
Clauses,1080.0,3,0,0,True,
Clauses,1084.0,3,0,0,True,
Clauses,1097.0,2,0,0,True,
Clauses,1102.0,2,0,0,True,
Clauses,1106.0,2,0,0,True,
Clauses,1122.0,2,0,0,True,
Clauses,1136.0,3,0,0,True,
Clauses,1155.0,3,0,0,True,
Clauses,1156.0,3,0,0,True,
Clauses,1167.0,4,0,0,True,
Clauses,1182.0,4,0,0,True,
Clauses,1185.0,4,0,0,True,
Clauses,1201.0,5,0,0,True,
