source,target,t_i,t_j,weight,speaker_i,speaker_j
124,126,922.5,924.5,0.9827275276184082,Carolyn Bayer,Carolyn Bayer
350,351,2866.5,2869.5,0.9081330299377441,Aniruddha Ray,Brad Smith
317,318,2663.0,2665.0,0.8822043538093567,Carolyn Bayer,Carolyn Bayer
308,310,2634.5,2643.5,0.8533292412757874,Barbara Smith,Carolyn Bayer
168,178,1400.0,1485.625,0.8030940294265747,Carolyn Bayer,Carolyn Bayer
139,144,1052.5,1104.1666666666665,0.7939287424087524,Brad Smith,Sixian You
27,28,143.41666666666669,151.58333333333331,0.7937137484550476,Alexandra Dickinson,Alexandra Dickinson
92,93,678.0,680.0,0.7916274070739746,Brad Smith,Brad Smith
314,316,2652.5,2661.0,0.7860990762710571,Luke Mortensen,Carolyn Bayer
201,211,1749.0,1863.1666666666665,0.7786610126495361,Carolyn Bayer,Barbara Smith
182,183,1532.0,1546.0,0.7783006429672241,Carolyn Bayer,Carolyn Bayer
397,399,3188.75,3191.75,0.769527792930603,Brad Smith,Brad Smith
171,174,1434.125,1461.0,0.7642883062362671,Carolyn Bayer,Brad Smith
5,20,25.4375,96.25,0.757158637046814,Brad Smith,Aniruddha Ray
367,368,2982.166666666667,2988.5,0.7513658404350281,Carolyn Bayer,Carolyn Bayer
196,200,1725.0,1743.25,0.7506399750709534,Carolyn Bayer,Carolyn Bayer
404,406,3227.846153846154,3246.6153846153848,0.7496238946914673,Barbara Smith,Barbara Smith
11,26,53.5,135.25,0.7292202711105347,Brad Smith,Alexandra Dickinson
374,375,3018.5,3023.0,0.7278200387954712,Aniruddha Ray,Aniruddha Ray
52,65,348.42857142857144,438.5,0.7264002561569214,Sixian You,Luke Mortensen
178,179,1485.625,1496.875,0.7212620973587036,Carolyn Bayer,Carolyn Bayer
367,369,2982.166666666667,2994.833333333333,0.7202702760696411,Carolyn Bayer,Carolyn Bayer
5,26,25.4375,135.25,0.7186617851257324,Brad Smith,Alexandra Dickinson
361,362,2958.0,2965.5,0.7145583629608154,Brad Smith,Brad Smith
168,179,1400.0,1496.875,0.7093325853347778,Carolyn Bayer,Carolyn Bayer
331,348,2764.0,2845.5,0.706920862197876,Aniruddha Ray,Brad Smith
363,365,2968.5,2974.5,0.7049314975738525,Brad Smith,Brad Smith
404,407,3227.846153846154,3256.0,0.7049246430397034,Barbara Smith,Barbara Smith
4,19,20.8125,89.75,0.7031834125518799,Brad Smith,Aniruddha Ray
180,181,1508.125,1519.375,0.7026517391204834,Carolyn Bayer,Carolyn Bayer
210,211,1847.5,1863.1666666666665,0.7006776332855225,Barbara Smith,Barbara Smith
20,26,96.25,135.25,0.6987549066543579,Aniruddha Ray,Alexandra Dickinson
25,34,127.08333333333333,200.0,0.6959919929504395,Alexandra Dickinson,Barbara Smith
153,155,1183.6666666666665,1198.3333333333335,0.6959130167961121,Yevgenia Kozorovitskiy,Yevgenia Kozorovitskiy
406,407,3246.6153846153848,3256.0,0.6958330869674683,Barbara Smith,Barbara Smith
192,201,1674.6666666666665,1749.0,0.694324791431427,Alexandra Dickinson,Carolyn Bayer
