id,t,t_start,t_end,speaker,text
0,2.3125,0.0,4.625,Brad Smith,"Well, um, yeah, let's maybe start some introductions."
1,6.9375,4.625,9.25,Brad Smith,We're beginning the obviously by the third breakout session and all of this stuff beginning to know each other pretty well.
2,11.5625,9.25,13.875,Brad Smith,"So, uh, I'll just read them out here."
3,16.1875,13.875,18.5,Brad Smith,"Well, let me I've already introduced."
4,20.8125,18.5,23.125,Brad Smith,"Oh man, I'm a chemistry based person and optical imaging is primarily what I do."
5,25.4375,23.125,27.75,Brad Smith,So the lack of deep tissue imaging is the problem I'm trying to avoid or trying to get around.
6,30.0625,27.75,32.375,Brad Smith,"Uh, but let's just see what other modalities that we've got there."
7,34.6875,32.375,37.0,Brad Smith,"So, um, Anarude, maybe start with you because you're you're not eating."
8,40.0,38.0,42.0,Aniruddha Ray,"Uh, hello everyone."
9,44.0,42.0,46.0,Aniruddha Ray,So I've actually spoken to everyone here already.
10,48.5,46.0,51.0,Brad Smith,Maybe focus on your modality because I think when you get that's where we're going to be.
11,53.5,51.0,56.0,Brad Smith,Either your problem that you're trying to solve in deep tissue or the modality that you think you can bring to the problem.
12,56.66666666666667,56.0,57.333333333333336,Aniruddha Ray,"Oh, there is Stephen Barbara."
13,58.0,57.333333333333336,58.666666666666664,Aniruddha Ray,"So Danny, can see you."
14,61.5,60.0,63.0,Barbara Smith,"Sorry, sorry."
15,64.5,63.0,66.0,Barbara Smith,I have a little human that required me for a few minutes.
16,70.25,67.0,73.5,Aniruddha Ray,"Um, so, uh, my name is Anirud."
17,76.75,73.5,80.0,Aniruddha Ray,I'm from University of Toledo.
18,83.25,80.0,86.5,Aniruddha Ray,I work on two different things.
19,89.75,86.5,93.0,Aniruddha Ray,"So I work on nanotechnology aided optical imaging, which involves fluorescence as well as photoacoustics."
20,96.25,93.0,99.5,Aniruddha Ray,And that's what is my interest in deep tissue imaging.
21,102.75,99.5,106.0,Aniruddha Ray,"I also work on lensless holographic microscopy, um, but that is more for Xvivo samples or in vitro samples."
