session_id,n_sent,mean_novelty,median_novelty,pct_high_novelty_(>0.8),longest_final_low_novelty_run,plot_path,examples_path
2021_04_23_MND_S1,387,0.778085742505852,0.9460859522223471,0.7131782945736435,3,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S1_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S1_examples.csv
2021_05_21_ABI_S4,622,0.788242356501796,0.9313083700835705,0.7202572347266881,2,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S4_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S4_examples.csv
2021_04_22_MND_S1,478,0.7872712033930834,0.927915547043085,0.7217573221757322,2,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S1_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S1_examples.csv
2021_05_21_ABI_S1,464,0.7261947527283689,0.891526598483324,0.6142241379310345,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S1_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S1_examples.csv
2021_04_23_MND_S11,487,0.7537764850151687,0.8982341289520264,0.6570841889117043,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S11_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S11_examples.csv
2021_05_20_ABI_S6,496,0.7479202893362878,0.9247981384396554,0.6673387096774194,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S6_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S6_examples.csv
2021_06_10_SLU_S4,621,0.7560407715591253,0.9162640273571014,0.6731078904991948,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_10_SLU_S4_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_10_SLU_S4_examples.csv
2021_06_11_SLU_S9,566,0.782417208110369,0.9131132401525974,0.676678445229682,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S9_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S9_examples.csv
2021_05_20_ABI_S7,469,0.8026273670502807,0.937407523393631,0.7292110874200426,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S7_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S7_examples.csv
2021_04_22_MND_S3,423,0.8169277802521988,0.9325310736894608,0.7375886524822695,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S3_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S3_examples.csv
2021_04_22_MND_S6,511,0.8129158687807206,0.9384895153343678,0.7436399217221135,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S6_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S6_examples.csv
2021_05_20_ABI_S4,526,0.8109793842350975,0.939974769949913,0.747148288973384,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S4_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S4_examples.csv
2021_06_10_SLU_S5,533,0.8185180030095017,0.937991626560688,0.7523452157598499,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_10_SLU_S5_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_10_SLU_S5_examples.csv
2021_06_10_SLU_S3,485,0.8204846475396987,0.9400013238191604,0.756701030927835,1,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_10_SLU_S3_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_10_SLU_S3_examples.csv
2021_05_21_ABI_S16,492,0.6716300637243084,0.8598912134766579,0.5833333333333334,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S16_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S16_examples.csv
2021_09_30_MZT_S2,318,0.7285148629280973,0.8901819176971912,0.5974842767295597,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S2_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S2_examples.csv
2021_09_30_MZT_S4,291,0.7200275792592666,0.9006263166666031,0.6082474226804123,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S4_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S4_examples.csv
2021_05_20_ABI_S8,564,0.6850179880192827,0.888980470597744,0.6117021276595744,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S8_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S8_examples.csv
2021_10_01_MZT_S1,424,0.7250168083896223,0.8762150630354881,0.6179245283018868,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S1_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S1_examples.csv
2021_04_23_MND_S2,503,0.7082251396941375,0.9078966453671456,0.6242544731610338,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S2_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S2_examples.csv
2021_04_23_MND_S14,487,0.7423491954353583,0.8924910202622414,0.6283367556468172,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S14_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S14_examples.csv
2021_04_23_MND_S15,487,0.7228823398098635,0.905749075114727,0.6303901437371663,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S15_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S15_examples.csv
2021_05_21_ABI_S6,560,0.7280549135768004,0.9088198877871037,0.6321428571428571,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S6_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S6_examples.csv
2021_06_11_SLU_S2,553,0.7259752745279086,0.9046206846833228,0.6383363471971067,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S2_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S2_examples.csv
2021_09_30_MZT_S7,1079,0.7412970391328384,0.908129945397377,0.6404077849860983,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S7_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S7_examples.csv
2021_05_21_ABI_S3,522,0.7424814469254374,0.9110184870660304,0.6475095785440613,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S3_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S3_examples.csv
2021_06_11_SLU_S1,612,0.766176413189813,0.9091876670718193,0.6535947712418301,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S1_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S1_examples.csv
2021_06_11_SLU_S12,566,0.7607961178585713,0.9184195399284363,0.6537102473498233,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S12_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S12_examples.csv
2021_04_23_MND_S13,506,0.7577172056843137,0.9215332269668579,0.6541501976284585,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S13_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S13_examples.csv
2021_04_23_MND_S6,509,0.7435797969975338,0.9243134185671806,0.6542239685658153,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S6_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S6_examples.csv
2021_05_20_ABI_S2,503,0.7327386643663493,0.905460812151432,0.658051689860835,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S2_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_20_ABI_S2_examples.csv
2021_05_21_ABI_S5,602,0.7460524204512555,0.9129529409110546,0.6627906976744186,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S5_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S5_examples.csv
2021_10_01_MZT_S2,466,0.7424285999910712,0.9031900502741338,0.6673819742489271,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S2_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S2_examples.csv
2021_10_01_MZT_S7,410,0.7790954665052306,0.9086118154227734,0.6731707317073171,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S7_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S7_examples.csv
2021_06_11_SLU_S6,506,0.7612410316915802,0.9315877445042132,0.6778656126482213,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S6_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S6_examples.csv
2021_06_11_SLU_S5,507,0.7721846767961134,0.9052957445383072,0.6785009861932939,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S5_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S5_examples.csv
2021_04_23_MND_S7,521,0.7745256790256256,0.921239160001278,0.6813819577735125,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S7_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S7_examples.csv
2021_05_21_ABI_S14,412,0.7700655887435186,0.9229772388935089,0.6820388349514563,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S14_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S14_examples.csv
2021_10_01_MZT_S9,432,0.7726188750966685,0.9232151471078396,0.6828703703703703,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S9_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_10_01_MZT_S9_examples.csv
2021_09_30_MZT_S5,332,0.7962207283392683,0.9171167761087418,0.6867469879518072,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S5_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_09_30_MZT_S5_examples.csv
2021_05_21_ABI_S13,499,0.7586279804289914,0.926527552306652,0.6893787575150301,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S13_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_05_21_ABI_S13_examples.csv
2021_06_11_SLU_S3,591,0.7732485870987511,0.9161897376179696,0.6903553299492385,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S3_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S3_examples.csv
2021_06_11_SLU_S8,577,0.7828406141596754,0.9211338609457016,0.6915077989601387,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S8_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S8_examples.csv
2021_06_11_SLU_S10,561,0.7729527093960867,0.9224542900919914,0.6916221033868093,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S10_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_06_11_SLU_S10_examples.csv
2021_04_23_MND_S5,456,0.783273010488381,0.9128916151821613,0.6929824561403509,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S5_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S5_examples.csv
2021_04_22_MND_S8,98,0.8048971186247084,0.9530348312109709,0.6938775510204082,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S8_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_22_MND_S8_examples.csv
2021_04_23_MND_S10,486,0.7890762542721762,0.9253693334758282,0.6954732510288066,0,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S10_novelty.png,/Users/maxchalekson/Projects/NICO-Research/NICO_human-gemini/Attempt_3-Shared-Agenda/Reports/2021_04_23_MND_S10_examples.csv
