session,speaker,global_timestamp_sec,transcript
2021_04_22_MND_S5,Michael Burton,665.0,"I can go next. Um, so um my name is uh Michael Burton. I am a uh early fourth year assistant professor at the University of Texas at Dallas. And um my lab is um I guess I'm I'm trained in uh I guess immunophysiology and behavior. So how the immune system um affects the the brain and and various behaviors and my lab is uh neuroimmunology and behavior where we are interested in how the peripheral uh nervous system and peripheral immune system um interact with one another to um change whole body behaviors, metabolism, metabolic function, um whole body and also cell metabolism. Um, and our context are um aging um um different pain states uh and and diet. So not quite microbiome either, but I can I have some small inlets of interest in in there. So um super excited about similar things um why how I can contribute to, you know, the greater microbiome cause, etc. So."
2021_04_22_MND_S5,Joel Bornstein,965.0,"Okay, we have a recorder."
2021_04_22_MND_S5,Lee Berg,1072.0,"Um and as you guys know um, you know, secondary bile acids that's a, you know, big thing in science these days and how it"
2021_04_22_MND_S5,All,641.0,"Sure. Sure. Cool. Thank you, that'll be great."
2021_04_22_MND_S5,Stephanie Grainger McOgga,729.0,So I would say like generally things less than a molecular weight of 500 would be a small molecule to me. Like a primary or secondary metabolite.
2021_04_22_MND_S5,Jeff Dongga,852.0,"Yeah, you know, I I generally don't don't know enough about this area, but what I do understand from, you know, other people's uh work is that the blood brain barrier is not what we were taught in, you know, graduate school or medical school. it's it's far leakier than and far um dynamic than than than is just the impenetrable um separation between um uh, you know, the the the the privileged organ of the brain, which is really uh uh I think a mis uh uh characterization of the brain. In fact, there's a lot of trafficking in in between um even in healthy state."
2021_04_22_MND_S5,Stephanie Grainger McOgga,911.0,Sure.
2021_04_22_MND_S5,Liang Song,,"Yeah, I could definitely comment about the um um unannotated peaks uh unannotated uh features that Stephanie was alluding to. Um we use a a vendor called Metabolon um to do untargeted um metabolomics on um on plasma or serum samples from from our patients. And um basically we get about about like almost 8,000 features. Um and each of them um pertain to specific peaks in the mass spectra. Only about 10 only about a thousand of those are annotated. And definitely when we do when we run the statistics, it's like, okay, like there is a lot majority of the peaks that are found to be significant in in the context of a particular, you know, case control study are unannotated. I mean, we know these are, you know, some of them may be junk or like, you know, adducts and stuff, but um these are like really important stuff and no one knows how to annotate them and as Stephanie was mentioning to, like it takes a long time. It's a bottleneck to actually know what the structure is and and know and validate these uh molecules. It's like almost a whole PhD project."
2021_04_22_MND_S5,Liang Song,,"Per molecule per molecule, yeah, yeah."
2021_04_22_MND_S5,William Zuercher,,"Yeah, that's a good point. And especially, I mean, you know, dopamine, for example, is pretty important in learning. Um, and I wonder if that relates at all to the novelty, like the novel object responses that you see in the lab, um, that are affected by changes in gut microbiome. Yeah."
