global_session,unit_A,speaker_A,tA,act_A,sentence_A,unit_B,speaker_B,tB,act_B,sentence_B,dt,cosine,cross_speaker,decision_A,decision_B,conv_toward_solution
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:0:5,Brad Smith,615.0,Inform/Report,"Oh man, I'm a chemistry based person and optical imaging is primarily what I do.",2021_05_21_ABI_S15_ABI:5:4,Aniruddha Ray,682.0,Inform/Report,"So I work on nanotechnology aided optical imaging, which involves fluorescence as well as photoacoustics.",67.0,0.7031834,True,False,True,True
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:0:6,Brad Smith,615.0,Inform/Report,So the lack of deep tissue imaging is the problem I'm trying to avoid or trying to get around.,2021_05_21_ABI_S15_ABI:5:5,Aniruddha Ray,682.0,Inform/Report,And that's what is my interest in deep tissue imaging.,67.0,0.75715864,True,False,False,False
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:111:1,Carolyn Bayer,1218.080999999998,Inform/Report,"Um, you know, I do photoacoustics which is using um optics to excite to then ultrasound acoustics to receive.",2021_05_21_ABI_S15_ABI:148:2,Sixian You,1267.0209999999995,Inform/Report,Um photoacoustic is a perfect genius example of doing this.,48.94000000000142,0.730591,True,False,False,False
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:112:1,Carolyn Bayer,1218.081999999998,Inform/Report,"alternatively, I mean just to describe what how we get around the limitation in photoacoustic imaging is that",2021_05_21_ABI_S15_ABI:140:1,Aniruddha Ray,1267.0129999999997,Inform/Report,"So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer.",48.93100000000163,0.75412923,True,False,False,False
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:112:1,Carolyn Bayer,1218.081999999998,Inform/Report,"alternatively, I mean just to describe what how we get around the limitation in photoacoustic imaging is that",2021_05_21_ABI_S15_ABI:178:2,Aniruddha Ray,1267.0509999999988,Inform/Report,But then again with photoacoustics your resolution is not as good as optical purely optical methods.,48.96900000000073,0.7050412,True,False,False,False
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:112:1,Carolyn Bayer,1218.081999999998,Inform/Report,"alternatively, I mean just to describe what how we get around the limitation in photoacoustic imaging is that",2021_05_21_ABI_S15_ABI:231:3,Brad Smith,1267.1039999999975,Inform/Report,"maybe shouldn't use that phrase, but it's photoacoustic imaging has promise, I don't know, has has promise and challenges.",49.02199999999948,0.68166715,True,False,True,True
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:121:1,Carolyn Bayer,1218.0909999999978,Inform/Report,So we we so there's there's essentially two different strategies for photoacoustic imaging.,2021_05_21_ABI_S15_ABI:230:1,Brad Smith,1267.1029999999976,Inform/Report,Maybe a second bullet point is uh photoacoustic imaging saves the day.,49.011999999999716,0.74982464,True,False,False,False
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:121:1,Carolyn Bayer,1218.0909999999978,Inform/Report,So we we so there's there's essentially two different strategies for photoacoustic imaging.,2021_05_21_ABI_S15_ABI:140:1,Aniruddha Ray,1267.0129999999997,Inform/Report,"So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer.",48.922000000001844,0.73705065,True,False,False,False
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:121:1,Carolyn Bayer,1218.0909999999978,Inform/Report,So we we so there's there's essentially two different strategies for photoacoustic imaging.,2021_05_21_ABI_S15_ABI:231:3,Brad Smith,1267.1039999999975,Inform/Report,"maybe shouldn't use that phrase, but it's photoacoustic imaging has promise, I don't know, has has promise and challenges.",49.01299999999969,0.6983123,True,False,True,True
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:121:2,Carolyn Bayer,1218.0909999999978,Inform/Report,There's optical resolution photoacoustic imaging and that those are the super impressive like vascular networks that you see in the papers.,2021_05_21_ABI_S15_ABI:140:1,Aniruddha Ray,1267.0129999999997,Inform/Report,"So in addition to what Barbara said, actually if you try to do photoacoustic imaging on tissues or on animals, you'll see that there is a lot of photoacoustic signal from every layer.",48.922000000001844,0.69505346,True,False,False,False
2021_05_21_ABI_S15_ABI,2021_05_21_ABI_S15_ABI:121:2,Carolyn Bayer,1218.0909999999978,Inform/Report,There's optical resolution photoacoustic imaging and that those are the super impressive like vascular networks that you see in the papers.,2021_05_21_ABI_S15_ABI:178:2,Aniruddha Ray,1267.0509999999988,Inform/Report,But then again with photoacoustics your resolution is not as good as optical purely optical methods.,48.960000000000946,0.6812154,True,False,False,False
