burst_index,idea_id,timestamp,speaker,transcript,role,is_proposer,is_expansion
0,Idea_0,777.0,Justin Bahl,"Hello. My name is Justin Bahl. I'm uh uh my expertise is in comparative genomics and molecular systematics uh and I do a lot of follow dynamics. My work has been on RNA viruses, a lot of it on um avian influenza, uh seasonal influenza, RSV, uh avian paramyxovirus. Um, so looking at especially at at uh multiple pathogens that co-circulate uh within a population as well.",generator,True,True
0,Idea_0,868.0,Justin Bahl,"Um and uh yeah, I think that's that's probably enough.",generator,False,False
0,Idea_0,870.0,Justin Bahl,I I have my camera off because I'm just eating lunch. Don't mind.,generator,False,False
0,Idea_0,880.0,Linda Detwiler,"Thanks. Yeah, if you could when you at least when you talk if you could put your cameras on. Thank you. Very good.",other,False,False
0,Idea_0,938.0,Hannah Frank,Uh the screen sharing is interfering with my ability to.,other,False,False
0,Idea_0,567.0,Linda Detwiler,"That's perfect. Thank you very much. Uh, Adela, please.",other,False,False
0,Idea_0,571.0,Adela Oliva Chavez,"Hi everybody, I'm Adela Oliva Chavez. I'm at Texas A&M University. I'm an assistant professor at the Department of Entomology and I specialize in tick-borne pathogens, specifically tick-borne bacteria. Uh, I specialize in intercellular uh bacteria and one of my interests is how these bacteria uh have adapted to and how they sense the changes between the bacteria and the host and how they have adapted to detect different uh pressures including immune pressure and uh detect changes in metabolites to adjust their uh gene expression.",expander,False,True
0,Idea_0,612.0,Linda Detwiler,Thank you very much. Jason.,other,False,False
0,Idea_0,615.0,Jason Ladner,"Hi everyone. My name is Jason Ladner. I'm an assistant professor at Northern Arizona University. Um, my actually like Tavis, I have a little bit of a background in marine biology. So I did my PhD studying the evolutionary genetics of corals. Then I moved to study pathogens, mainly viruses, also some bacteria and fungi using evolutionary genetics and genomic epidemiology to study their spread. And then recently I've been using genomic technologies to move into the realm of highly multiplex serology. So looking at thousands to hundreds of thousands of antigens in a single assay and broadly characterizing antibody reactivity. And I'm excited to start looking at that within wildlife and at that human animal interface. Uh unfortunately, I'm going to have to run and teach basically now. Um so I'm going to miss most of this first discussion, but it was nice to meet everyone and I look forward to uh meeting up with you later.",expander,False,True
0,Idea_0,670.0,Linda Detwiler,"Thank you very much, Jason. And then uh I see Darren, are are you an observer or are you a participant?",other,False,False
0,Idea_0,679.0,Daren Ginete,"Hey, I can do a brief introduction. My name is Darren. I'm the infectious disease fellow at the Science Philanthropy Alliance. It's an organization that provides advising services as well as community learning for a group of um private science funders interested in funding basic science research. So I'm excited to be here as a guest here at the SciLog to learn about the gaps in um mitigating zytic threats and how private funders would be able to help um in their capacity. So I'm excited to be here.",expander,False,True
0,Idea_0,712.0,Linda Detwiler,Thank you very much.,other,False,False
0,Idea_0,714.0,Linda Detwiler,"Okay, great. Thanks everybody for the for your introductions. One thing now we have to do is another housekeeping thing. We have is anybody wants to um volunteer as a recorder. Um, again, you should have access to the Google Drive. So if somebody does that and would be willing to keep the notes.",other,False,False
0,Idea_0,732.0,Hannah Frank,I'm kind of already doing it. I I would You are?,other,False,False
0,Idea_0,735.0,Linda Detwiler,"Oh, Hannah, you're the best. Okay.",other,False,False
0,Idea_0,738.0,Tavis Anderson,"Thanks, Hannah.",other,False,False
0,Idea_0,739.0,Linda Detwiler,"Yeah, thank you. Thank you very much. Thank you. Okay. Well, good. That takes care of that problem. We that was very easy.",other,False,False
0,Idea_2,821.0,Hannah Frank,"So, I'm coming from doing some like",other,True,False
