global_session,has_new_idea,is_explanation,is_self_intro
2021_04_22_MND_S1_MND,10,9,30
2021_04_22_MND_S3_MND,12,7,16
2021_04_22_MND_S4_MND,9,12,37
2021_04_22_MND_S5_MND,14,14,24
2021_04_22_MND_S6_MND,13,11,40
2021_04_22_MND_S7_MND,12,7,22
2021_04_22_MND_S8_MND,0,1,3
2021_04_23_MND_S10_MND,7,8,31
2021_04_23_MND_S11_MND,8,13,23
2021_04_23_MND_S12_MND,6,9,33
2021_04_23_MND_S13_MND,4,7,32
2021_04_23_MND_S14_MND,8,8,27
2021_04_23_MND_S15_MND,6,12,21
2021_04_23_MND_S16_MND,1,3,15
2021_04_23_MND_S1_MND,1,0,16
2021_04_23_MND_S2_MND,5,11,23
2021_04_23_MND_S3_MND,12,10,22
2021_04_23_MND_S4_MND,3,2,6
2021_04_23_MND_S5_MND,8,10,24
2021_04_23_MND_S6_MND,8,14,30
2021_04_23_MND_S7_MND,14,16,30
2021_04_23_MND_S8_MND,11,19,30
2021_04_23_MND_S9_MND,1,4,16
2021_05_20_ABI_S1_ABI,9,3,14
2021_05_20_ABI_S2_ABI,7,12,20
2021_05_20_ABI_S3_ABI,11,14,28
2021_05_20_ABI_S4_ABI,12,16,46
2021_05_20_ABI_S5_ABI,7,11,16
2021_05_20_ABI_S6_ABI,11,12,32
2021_05_20_ABI_S7_ABI,9,8,34
2021_05_20_ABI_S8_ABI,7,12,21
2021_05_21_ABI_S10_ABI,8,6,34
2021_05_21_ABI_S11_ABI,6,12,24
2021_05_21_ABI_S12_ABI,10,9,39
2021_05_21_ABI_S13_ABI,14,10,36
2021_05_21_ABI_S14_ABI,7,8,16
2021_05_21_ABI_S15_ABI,5,15,23
2021_05_21_ABI_S16_ABI,6,13,22
2021_05_21_ABI_S1_ABI,12,10,32
2021_05_21_ABI_S2_ABI,13,15,31
2021_05_21_ABI_S3_ABI,8,20,33
2021_05_21_ABI_S4_ABI,16,17,39
2021_05_21_ABI_S5_ABI,13,7,42
2021_05_21_ABI_S6_ABI,10,10,21
2021_05_21_ABI_S7_ABI,19,19,21
2021_05_21_ABI_S8_ABI,13,17,37
2021_05_21_ABI_S9_ABI,10,16,24
2021_06_10_SLU_S1_SLU,6,7,32
2021_06_10_SLU_S2_SLU,10,11,18
2021_06_10_SLU_S3_SLU,11,10,27
2021_06_10_SLU_S4_SLU,8,15,28
2021_06_10_SLU_S5_SLU,9,15,29
2021_06_10_SLU_S6_SLU,9,14,30
2021_06_10_SLU_S7_SLU,10,12,37
2021_06_11_SLU_S10_SLU,19,17,36
2021_06_11_SLU_S11_SLU,11,6,32
2021_06_11_SLU_S12_SLU,9,14,22
2021_06_11_SLU_S13_SLU,6,8,18
2021_06_11_SLU_S1_SLU,9,11,31
2021_06_11_SLU_S2_SLU,12,12,50
2021_06_11_SLU_S3_SLU,12,15,29
2021_06_11_SLU_S4_SLU,15,15,29
2021_06_11_SLU_S5_SLU,12,16,48
2021_06_11_SLU_S6_SLU,9,8,32
2021_06_11_SLU_S7_SLU,8,9,30
2021_06_11_SLU_S8_SLU,10,10,23
2021_06_11_SLU_S9_SLU,13,13,28
2021_09_30_MZT_S2_MZT,11,5,20
2021_09_30_MZT_S3_MZT,4,12,15
2021_09_30_MZT_S4_MZT,10,3,9
2021_09_30_MZT_S5_MZT,13,10,20
2021_09_30_MZT_S6_MZT,0,3,7
2021_09_30_MZT_S7_MZT,30,24,81
2021_10_01_MZT_S11_MZT,9,7,22
2021_10_01_MZT_S1_MZT,4,6,27
2021_10_01_MZT_S2_MZT,11,7,27
2021_10_01_MZT_S3_MZT,12,16,47
2021_10_01_MZT_S4_MZT,12,14,31
2021_10_01_MZT_S7_MZT,16,15,32
2021_10_01_MZT_S8_MZT,10,9,19
2021_10_01_MZT_S9_MZT,6,5,26
