conference,session,is_burst,n,n_decision,mean_burst
2021_04_22_MND_S1,2021_04_22_MND_S1,False,478,76,0.0
2021_04_22_MND_S2,2021_04_22_MND_S2,False,1,0,0.0
2021_04_22_MND_S3,2021_04_22_MND_S3,False,423,66,0.0
2021_04_22_MND_S4,2021_04_22_MND_S4,False,522,40,0.0
2021_04_22_MND_S5,2021_04_22_MND_S5,False,553,31,0.0
2021_04_22_MND_S6,2021_04_22_MND_S6,False,511,39,0.0
2021_04_22_MND_S7,2021_04_22_MND_S7,False,371,84,0.0
2021_04_22_MND_S8,2021_04_22_MND_S8,False,98,6,0.007018292517496631
2021_04_23_MND_S1,2021_04_23_MND_S1,False,387,66,0.0
2021_04_23_MND_S10,2021_04_23_MND_S10,False,486,33,0.001665686850872036
2021_04_23_MND_S11,2021_04_23_MND_S11,False,487,65,0.0
2021_04_23_MND_S12,2021_04_23_MND_S12,False,486,11,0.0
2021_04_23_MND_S13,2021_04_23_MND_S13,False,506,26,0.0
2021_04_23_MND_S14,2021_04_23_MND_S14,False,487,56,0.0
2021_04_23_MND_S15,2021_04_23_MND_S15,False,487,36,0.0006787851260262999
2021_04_23_MND_S16,2021_04_23_MND_S16,False,165,7,0.0
2021_04_23_MND_S2,2021_04_23_MND_S2,False,503,41,0.0
2021_04_23_MND_S3,2021_04_23_MND_S3,False,369,11,0.0
2021_04_23_MND_S4,2021_04_23_MND_S4,False,125,13,0.0
2021_04_23_MND_S5,2021_04_23_MND_S5,False,456,49,0.0
2021_04_23_MND_S6,2021_04_23_MND_S6,False,509,41,0.0004436276063121871
2021_04_23_MND_S7,2021_04_23_MND_S7,False,521,22,0.0
2021_04_23_MND_S8,2021_04_23_MND_S8,False,444,12,0.0
2021_04_23_MND_S9,2021_04_23_MND_S9,False,121,0,0.0
2021_05_20_ABI_S1,2021_05_20_ABI_S1,False,250,27,0.0
2021_05_20_ABI_S2,2021_05_20_ABI_S2,False,503,41,0.0011686261727595873
2021_05_20_ABI_S3,2021_05_20_ABI_S3,False,448,35,0.0008138895464722466
2021_05_20_ABI_S4,2021_05_20_ABI_S4,False,526,57,0.0
2021_05_20_ABI_S5,2021_05_20_ABI_S5,False,513,30,0.0
2021_05_20_ABI_S6,2021_05_20_ABI_S6,False,496,43,0.0
2021_05_20_ABI_S7,2021_05_20_ABI_S7,False,469,42,0.0
2021_05_20_ABI_S8,2021_05_20_ABI_S8,False,564,34,0.0
2021_05_21_ABI_S1,2021_05_21_ABI_S1,False,464,53,0.0
2021_05_21_ABI_S10,2021_05_21_ABI_S10,False,488,38,0.0
2021_05_21_ABI_S11,2021_05_21_ABI_S11,False,464,30,0.0
2021_05_21_ABI_S12,2021_05_21_ABI_S12,False,557,30,0.0
2021_05_21_ABI_S13,2021_05_21_ABI_S13,False,499,47,0.0
2021_05_21_ABI_S14,2021_05_21_ABI_S14,False,412,61,0.0
2021_05_21_ABI_S15,2021_05_21_ABI_S15,False,495,16,0.0
2021_05_21_ABI_S16,2021_05_21_ABI_S16,False,492,58,0.0
2021_05_21_ABI_S2,2021_05_21_ABI_S2,False,501,62,0.0025584473189263607
2021_05_21_ABI_S3,2021_05_21_ABI_S3,False,522,26,0.0002915367230887556
2021_05_21_ABI_S4,2021_05_21_ABI_S4,False,622,53,0.0
2021_05_21_ABI_S5,2021_05_21_ABI_S5,False,602,72,0.0
2021_05_21_ABI_S6,2021_05_21_ABI_S6,False,560,39,0.0
2021_05_21_ABI_S7,2021_05_21_ABI_S7,False,484,45,0.0
2021_05_21_ABI_S8,2021_05_21_ABI_S8,False,640,53,0.0002468034616130134
2021_05_21_ABI_S9,2021_05_21_ABI_S9,False,459,43,0.0
2021_06_10_SLU_S1,2021_06_10_SLU_S1,False,503,49,0.0
2021_06_10_SLU_S2,2021_06_10_SLU_S2,False,453,81,0.0
2021_06_10_SLU_S3,2021_06_10_SLU_S3,False,485,82,0.0
2021_06_10_SLU_S4,2021_06_10_SLU_S4,False,621,78,0.0
2021_06_10_SLU_S5,2021_06_10_SLU_S5,False,533,74,0.0
2021_06_10_SLU_S6,2021_06_10_SLU_S6,False,550,47,0.0
2021_06_10_SLU_S7,2021_06_10_SLU_S7,False,562,79,0.0
2021_06_11_SLU_S1,2021_06_11_SLU_S1,False,612,59,0.0
2021_06_11_SLU_S10,2021_06_11_SLU_S10,False,561,32,0.0
2021_06_11_SLU_S11,2021_06_11_SLU_S11,False,480,48,0.0013257575757575758
2021_06_11_SLU_S12,2021_06_11_SLU_S12,False,566,49,0.0
2021_06_11_SLU_S13,2021_06_11_SLU_S13,False,464,28,0.0
2021_06_11_SLU_S2,2021_06_11_SLU_S2,False,553,40,0.0
2021_06_11_SLU_S3,2021_06_11_SLU_S3,False,591,23,0.0
2021_06_11_SLU_S4,2021_06_11_SLU_S4,False,502,68,0.002247004888248425
