burst_id,conference,session,center_time_sec,burst_score,num_participants,nearest_speaker,nearest_sentence,nearest_time_sec,sent_time_sec,rel_sec,speaker,sentence,is_nearest,annotations,dialogue_act
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,903.5200421940928,-16.838510437486207,Brenda Rubenstein,"So you know, what are molecular markers that we should be looking for that could be easily sampled um and and used in surveillance tasks.",False,"[{'present new idea': 'Brenda introduces a new idea about general means of pathogen detection for surveillance, shifting the focus from specific host-pathogen interactions to broader detection methods, which is a novel concept in the discussion.'}]",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,904.3313953488372,-16.02715728274177,Wilfred van der Donk,I can see uh if we can then see everything.,False,"[{'ask clarifying question': 'Wilfred is asking Kristin to make the font smaller on the shared screen, so he can see everything, which is a request for a change to improve visibility.'}]",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,905.5463902147972,-14.812162416781803,William Witola,"So quite clearly, there is something at play in the way the host responds to infection vis-a-vis genetics or epigenetics, which will determine whether the host to be susceptible or not susceptible or whether you see pathology or you don't see pathology.",False,"[{'provide supporting evidence': ""William is responding to Wilfred's question about identifying genetic markers that predict spillover by describing a study on toxoplasma to provide evidence related to host genetics and susceptibility to infection.""}, {'explain or define term or concept': ""William explains that inflammasomes are important for innate immune responses that activate the expression of cytokines, providing a definition for the term 'inflammasome'.""}]",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,906.1764705882352,-14.182082043343712,Joyce Jose,"We use Zika and also Chikungunya or and we we can actually use these fluorescently tagged um CDC 42 or other GTPases, different organel specific GTPases",False,"[{'expand on existing idea': 'Dana Mitzel was just discussing GTPases and their role in viral replication, and Joyce is now expanding on that idea by mentioning that her lab uses live cell imaging to study viruses and GTPases, building upon the previous discussion.'}]",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,906.7906976744188,-13.567854957160193,Wilfred van der Donk,Yes.,False,"[{'ask clarifying question': 'Wilfred is asking Kristin to make the font smaller on the shared screen, so he can see everything, which is a request for a change to improve visibility.'}]",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,908.0,-12.35855263157896,Wilfred van der Donk,The way the uh the resource corporation came up with these as I think you know is by us all of us facilitators and fellows and uh funders uh just putting interesting questions into their their uh questionnaires.,False,"{'explain or define term or concept': 'The speaker is explaining the origin of the prompts by describing how the resource corporation gathered them from facilitators, fellows, and funders.'}",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,908.736279401283,-11.622273230295946,William Witola,"So the mechanism that the host uses to counteract it is kind of uh similar to all intracellular pathogens, not just parasites, but uh is also quite related to the mechanisms that the host will use against tuberculosis for example, which is intracellular.",False,"[{'ask clarifying question': 'William is asking if susceptibility to one virus implies susceptibility to others, seeking clarification on the generalizability of susceptibility features across different pathogens, building on the discussion about host genetics and pathogen spillover.'}, {'expand on existing idea': ""William expands on the idea of host susceptibility by providing the example of toxoplasma and how the host's mechanisms to counteract it are similar to those used against other intracellular pathogens like tuberculosis, building on the discussion about host genetics and pathogen spillover.""}]",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,909.8022727272728,-10.556279904306166,William Witola,So I'm looking at uh immune responses of initial human hosts.,False,"[{'expand on existing idea': ""William is building on the previous discussion about the immune responses of initial human hosts by suggesting to specify it as innate responses, because 'immune' can include vaccinated people, while they are focusing on initial responses.""}, {'ask clarifying question': ""William is asking if they can specify 'immune responses' as 'innate responses' to clarify the type of immune response they are discussing.""}]",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,910.0,-10.35855263157896,Wilfred van der Donk,"Uh Joyce, you're next on my my going around.",False,"{'encourage participation': 'Wilfred is explicitly inviting Joyce to share her thoughts, continuing the round-robin discussion he initiated.'}",
10,2021_10_01_MZT_S11,2021_10_01_MZT_S11,920.358552631579,0.1428571428571428,2,Joyce Jose,"Um I think intervention strategies uh if you want to identify them then you need to understand the pathogen and their differences and how they they change or their mutations, how they adapt to new host or um what are the molecular mechanisms?",920.358552631579,913.1113636363636,-7.247188995215311,William Witola,Uh can we like just specify it as innate responses?,False,"[{'expand on existing idea': ""William is building on the previous discussion about the immune responses of initial human hosts by suggesting to specify it as innate responses, because 'immune' can include vaccinated people, while they are focusing on initial responses.""}, {'ask clarifying question': ""William is asking if they can specify 'immune responses' as 'innate responses' to clarify the type of immune response they are discussing.""}]",
