conference,session,m_cut,center_time_sec,window_start_sec,window_end_sec,window_start_mmss,window_end_mmss,duration_sec,num_participants,speaker_top_counts,signals,keywords,summary
2021_06_10_SLU_S1,2021_06_10_SLU_S1,2,624.2492307692308,604.2492307692308,644.2492307692308,10:04,10:44,40.0,7,"Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, like, are, for, you, how","In a ~40s window (10:04–10:44), 7 speakers converged (m≥2). Turns by speaker: Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, like, are, for, you, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+11.9s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I alread..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,3,624.2492307692308,604.2492307692308,644.2492307692308,10:04,10:44,40.0,7,"Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, like, are, for, you, how","In a ~40s window (10:04–10:44), 7 speakers converged (m≥3). Turns by speaker: Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, like, are, for, you, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+11.9s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I alread..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,4,624.2492307692308,604.2492307692308,644.2492307692308,10:04,10:44,40.0,7,"Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, like, are, for, you, how","In a ~40s window (10:04–10:44), 7 speakers converged (m≥4). Turns by speaker: Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, like, are, for, you, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+11.9s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I alread..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,5,624.2492307692308,604.2492307692308,644.2492307692308,10:04,10:44,40.0,7,"Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, like, are, for, you, how","In a ~40s window (10:04–10:44), 7 speakers converged (m≥5). Turns by speaker: Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, like, are, for, you, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+11.9s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I alread..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,6,624.2492307692308,604.2492307692308,644.2492307692308,10:04,10:44,40.0,7,"Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, like, are, for, you, how","In a ~40s window (10:04–10:44), 7 speakers converged (m≥6). Turns by speaker: Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, like, are, for, you, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+11.9s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I alread..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,7,624.2492307692308,604.2492307692308,644.2492307692308,10:04,10:44,40.0,7,"Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, like, are, for, you, how","In a ~40s window (10:04–10:44), 7 speakers converged (m≥7). Turns by speaker: Niki Parenteau×11, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, like, are, for, you, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+11.9s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I alread..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,2,626.5753846153846,606.5753846153846,646.5753846153846,10:07,10:47,40.0,7,"Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, you, like, are, for, how","In a ~40s window (10:07–10:47), 7 speakers converged (m≥2). Turns by speaker: Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, you, like, are, for, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+9.6s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I already..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,3,626.5753846153846,606.5753846153846,646.5753846153846,10:07,10:47,40.0,7,"Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, you, like, are, for, how","In a ~40s window (10:07–10:47), 7 speakers converged (m≥3). Turns by speaker: Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, you, like, are, for, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+9.6s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I already..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,4,626.5753846153846,606.5753846153846,646.5753846153846,10:07,10:47,40.0,7,"Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, you, like, are, for, how","In a ~40s window (10:07–10:47), 7 speakers converged (m≥4). Turns by speaker: Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, you, like, are, for, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+9.6s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I already..."
2021_06_10_SLU_S1,2021_06_10_SLU_S1,5,626.5753846153846,606.5753846153846,646.5753846153846,10:07,10:47,40.0,7,"Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2","rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6","the, that, and, you, like, are, for, how","In a ~40s window (10:07–10:47), 7 speakers converged (m≥5). Turns by speaker: Niki Parenteau×13, Rika Anderson×6, Stilianos Louca×5, Morgan Raven×2, Solange Duhamel×2, Erik Sperling×2. Signals: rx_decision=2, rx_assign=4, rx_summarize=0, decision_any=6. Salient keywords: the, that, and, you, like, are, for, how. Sample lines: Rika Anderson: “Um, and how would that have affected the amount of primary productivity going on in early Earth as a bioinformatician, I'm thinking of course, how can I look at the data that we have now to try to recreate what were the limiting nutrients um at different periods in Earth history.” (+9.6s) | Niki Parenteau: “Um, my name is Nikki Parenteau and I already..."
