session,m_cut,center_time_sec,unique_speakers,decision_hits,burst_size,decision_hits_per10
2021_06_10_SLU_S1,2,617.4985074626866,6,9,22,4.090909090909091
2021_06_10_SLU_S1,2,620.9858974358974,7,9,26,3.4615384615384617
2021_06_10_SLU_S1,2,624.1343283582089,7,11,29,3.793103448275862
2021_06_10_SLU_S1,2,624.2492307692308,7,11,29,3.793103448275862
2021_06_10_SLU_S1,2,626.5753846153846,7,11,32,3.4375
2021_06_10_SLU_S1,2,630.6358208955224,7,14,38,3.6842105263157894
2021_06_10_SLU_S1,2,632.7353846153846,7,14,38,3.6842105263157894
2021_06_10_SLU_S1,2,636.1537807986407,7,16,40,4.0
2021_06_10_SLU_S1,2,636.5,7,16,40,4.0
2021_06_10_SLU_S1,2,642.0024370430544,8,15,39,3.8461538461538463
2021_06_10_SLU_S1,2,642.7723076923077,8,15,38,3.9473684210526314
2021_06_10_SLU_S1,2,714.4008935824533,8,14,29,4.827586206896552
2021_06_10_SLU_S1,2,716.4652777777778,8,13,29,4.482758620689655
2021_06_10_SLU_S1,2,718.8787878787879,8,15,32,4.6875
2021_06_10_SLU_S1,2,720.5463038180342,8,16,33,4.848484848484849
2021_06_10_SLU_S1,2,720.6235721703011,8,16,33,4.848484848484849
2021_06_10_SLU_S1,2,720.9941860465117,8,15,32,4.6875
2021_06_10_SLU_S1,2,732.9342560553633,9,16,40,4.0
2021_06_10_SLU_S1,2,735.2559709241953,9,16,40,4.0
2021_06_10_SLU_S1,2,736.0484429065743,9,16,40,4.0
2021_06_10_SLU_S1,2,737.2318662404721,9,16,40,4.0
2021_06_10_SLU_S1,2,737.3846153846154,9,16,40,4.0
2021_06_10_SLU_S1,2,738.3846153846154,9,18,42,4.285714285714286
2021_06_10_SLU_S1,2,739.3356401384083,9,18,42,4.285714285714286
2021_06_10_SLU_S1,2,741.6185983827493,8,18,41,4.390243902439025
2021_06_10_SLU_S1,2,746.2461059190031,8,18,42,4.285714285714286
2021_06_10_SLU_S1,2,749.1280276816609,8,20,42,4.761904761904762
2021_06_10_SLU_S1,2,754.5,8,20,43,4.651162790697675
2021_06_10_SLU_S1,2,757.1883495145631,8,19,42,4.523809523809524
2021_06_10_SLU_S1,2,758.0,8,34,82,4.146341463414634
2021_06_10_SLU_S1,2,758.5700808625337,8,16,40,4.0
2021_06_10_SLU_S1,2,759.7221311475411,9,15,40,3.75
2021_06_10_SLU_S1,2,760.9514824797843,9,15,41,3.658536585365854
2021_06_10_SLU_S1,2,761.5,9,15,41,3.658536585365854
2021_06_10_SLU_S1,2,766.2560553633218,9,15,40,3.75
2021_06_10_SLU_S1,2,766.4970873786408,9,15,40,3.75
2021_06_10_SLU_S1,2,769.4615784008307,9,14,35,4.0
2021_06_10_SLU_S1,2,775.3910034602077,8,15,34,4.411764705882353
2021_06_10_SLU_S1,3,617.4985074626866,6,9,22,4.090909090909091
2021_06_10_SLU_S1,3,620.9858974358974,7,9,26,3.4615384615384617
2021_06_10_SLU_S1,3,624.1343283582089,7,11,29,3.793103448275862
2021_06_10_SLU_S1,3,624.2492307692308,7,11,29,3.793103448275862
2021_06_10_SLU_S1,3,626.5753846153846,7,11,32,3.4375
2021_06_10_SLU_S1,3,630.6358208955224,7,14,38,3.6842105263157894
2021_06_10_SLU_S1,3,632.7353846153846,7,14,38,3.6842105263157894
2021_06_10_SLU_S1,3,636.1537807986407,7,16,40,4.0
2021_06_10_SLU_S1,3,636.5,7,16,40,4.0
2021_06_10_SLU_S1,3,642.0024370430544,8,15,39,3.8461538461538463
2021_06_10_SLU_S1,3,642.7723076923077,8,15,38,3.9473684210526314
2021_06_10_SLU_S1,3,714.4008935824533,8,14,29,4.827586206896552
2021_06_10_SLU_S1,3,716.4652777777778,8,13,29,4.482758620689655
2021_06_10_SLU_S1,3,718.8787878787879,8,15,32,4.6875
2021_06_10_SLU_S1,3,720.5463038180342,8,16,33,4.848484848484849
2021_06_10_SLU_S1,3,720.6235721703011,8,16,33,4.848484848484849
2021_06_10_SLU_S1,3,720.9941860465117,8,15,32,4.6875
2021_06_10_SLU_S1,3,732.9342560553633,9,16,40,4.0
2021_06_10_SLU_S1,3,735.2559709241953,9,16,40,4.0
2021_06_10_SLU_S1,3,736.0484429065743,9,16,40,4.0
2021_06_10_SLU_S1,3,737.2318662404721,9,16,40,4.0
2021_06_10_SLU_S1,3,737.3846153846154,9,16,40,4.0
2021_06_10_SLU_S1,3,738.3846153846154,9,18,42,4.285714285714286
2021_06_10_SLU_S1,3,739.3356401384083,9,18,42,4.285714285714286
2021_06_10_SLU_S1,3,741.6185983827493,8,18,41,4.390243902439025
2021_06_10_SLU_S1,3,746.2461059190031,8,18,42,4.285714285714286
2021_06_10_SLU_S1,3,749.1280276816609,8,20,42,4.761904761904762
2021_06_10_SLU_S1,3,754.5,8,20,43,4.651162790697675
2021_06_10_SLU_S1,3,757.1883495145631,8,19,42,4.523809523809524
2021_06_10_SLU_S1,3,758.0,8,34,82,4.146341463414634
2021_06_10_SLU_S1,3,758.5700808625337,8,16,40,4.0
2021_06_10_SLU_S1,3,759.7221311475411,9,15,40,3.75
2021_06_10_SLU_S1,3,760.9514824797843,9,15,41,3.658536585365854
2021_06_10_SLU_S1,3,761.5,9,15,41,3.658536585365854
2021_06_10_SLU_S1,3,766.2560553633218,9,15,40,3.75
2021_06_10_SLU_S1,3,766.4970873786408,9,15,40,3.75
2021_06_10_SLU_S1,3,769.4615784008307,9,14,35,4.0
2021_06_10_SLU_S1,3,775.3910034602077,8,15,34,4.411764705882353
2021_06_10_SLU_S1,4,617.4985074626866,6,9,22,4.090909090909091
2021_06_10_SLU_S1,4,620.9858974358974,7,9,26,3.4615384615384617
2021_06_10_SLU_S1,4,624.1343283582089,7,11,29,3.793103448275862
2021_06_10_SLU_S1,4,624.2492307692308,7,11,29,3.793103448275862
2021_06_10_SLU_S1,4,626.5753846153846,7,11,32,3.4375
2021_06_10_SLU_S1,4,630.6358208955224,7,14,38,3.6842105263157894
2021_06_10_SLU_S1,4,632.7353846153846,7,14,38,3.6842105263157894
2021_06_10_SLU_S1,4,636.1537807986407,7,16,40,4.0
2021_06_10_SLU_S1,4,636.5,7,16,40,4.0
2021_06_10_SLU_S1,4,642.0024370430544,8,15,39,3.8461538461538463
2021_06_10_SLU_S1,4,642.7723076923077,8,15,38,3.9473684210526314
2021_06_10_SLU_S1,4,714.4008935824533,8,14,29,4.827586206896552
2021_06_10_SLU_S1,4,716.4652777777778,8,13,29,4.482758620689655
2021_06_10_SLU_S1,4,718.8787878787879,8,15,32,4.6875
2021_06_10_SLU_S1,4,720.5463038180342,8,16,33,4.848484848484849
2021_06_10_SLU_S1,4,720.6235721703011,8,16,33,4.848484848484849
2021_06_10_SLU_S1,4,720.9941860465117,8,15,32,4.6875
2021_06_10_SLU_S1,4,732.9342560553633,9,16,40,4.0
2021_06_10_SLU_S1,4,735.2559709241953,9,16,40,4.0
2021_06_10_SLU_S1,4,736.0484429065743,9,16,40,4.0
2021_06_10_SLU_S1,4,737.2318662404721,9,16,40,4.0
2021_06_10_SLU_S1,4,737.3846153846154,9,16,40,4.0
2021_06_10_SLU_S1,4,738.3846153846154,9,18,42,4.285714285714286
2021_06_10_SLU_S1,4,739.3356401384083,9,18,42,4.285714285714286
2021_06_10_SLU_S1,4,741.6185983827493,8,18,41,4.390243902439025
2021_06_10_SLU_S1,4,746.2461059190031,8,18,42,4.285714285714286
2021_06_10_SLU_S1,4,749.1280276816609,8,20,42,4.761904761904762
2021_06_10_SLU_S1,4,754.5,8,20,43,4.651162790697675
2021_06_10_SLU_S1,4,757.1883495145631,8,19,42,4.523809523809524
2021_06_10_SLU_S1,4,758.0,8,34,82,4.146341463414634
2021_06_10_SLU_S1,4,758.5700808625337,8,16,40,4.0
2021_06_10_SLU_S1,4,759.7221311475411,9,15,40,3.75
2021_06_10_SLU_S1,4,760.9514824797843,9,15,41,3.658536585365854
2021_06_10_SLU_S1,4,761.5,9,15,41,3.658536585365854
