token,rate_out_per_1000,rate_in_per_1000,ratio_in_out,min_participants
action item,0.10509169250170775,0.0,9.51549990945526e-09,2
agree,124.4548368451474,78.83817427385893,0.6334681421206606,2
agreement,105.14423834795859,70.53941908713693,0.6708824011262201,2
assign task,43.350323156954445,87.1369294605809,2.0100641267213244,2
consensus,0.4729126162576848,0.0,2.1145555510842105e-09,2
decision,96.7631758709474,58.09128630705394,0.6003449740522124,2
define,257.76364878356367,211.61825726141078,0.8209778929661228,2
encourage,128.553412852714,236.51452282157675,1.839815198774349,2
expand on existing idea,366.4547317534549,360.99585062240664,0.9851035321473048,2
explain,267.1430823393411,228.21576763485476,0.854282902018429,2
explain or define,248.96221953654563,207.4688796680498,0.8333347929433996,2
new idea,213.28358993221585,228.21576763485476,1.0700109075776272,2
present new idea,211.70721454469023,224.06639004149378,1.0583786222086269,2
question,235.4579370500762,327.8008298755187,1.392184243105006,2
summarize discussion,0.2890021543796963,16.597510373443985,57.43040342601554,2
action item,0.10443046236587213,0.0,9.575749908305013e-09,3
agree,124.16781975302196,0.0,8.053616484375845e-12,3
agreement,104.92650706211002,0.0,9.53048021886911e-12,3
assign task,43.62582565334308,0.0,2.292220227356195e-11,3
consensus,0.4699370806464246,0.0,2.1279444399162967e-09,3
decision,96.51985484165732,0.0,1.0360562618231853e-11,3
define,257.4733049630577,0.0,3.883897789479947e-12,3
encourage,129.23269717776677,0.0,7.737979797919923e-12,3
expand on existing idea,366.42038482625384,0.0,2.729105806903845e-12,3
explain,266.8981541915777,0.0,3.746747530065195e-12,3
explain or define,248.70114612432448,0.0,4.020890195238924e-12,3
new idea,213.3775422290682,0.0,4.686528814366878e-12,3
present new idea,211.78497767798868,0.0,4.72177021694023e-12,3
question,236.03895256246247,0.0,4.236588872894341e-12,3
summarize discussion,0.3916142338720205,0.0,2.553533326812801e-09,3
action item,0.10443046236587213,0.0,9.575749908305013e-09,4
agree,124.16781975302196,0.0,8.053616484375845e-12,4
agreement,104.92650706211002,0.0,9.53048021886911e-12,4
assign task,43.62582565334308,0.0,2.292220227356195e-11,4
consensus,0.4699370806464246,0.0,2.1279444399162967e-09,4
decision,96.51985484165732,0.0,1.0360562618231853e-11,4
define,257.4733049630577,0.0,3.883897789479947e-12,4
encourage,129.23269717776677,0.0,7.737979797919923e-12,4
expand on existing idea,366.42038482625384,0.0,2.729105806903845e-12,4
explain,266.8981541915777,0.0,3.746747530065195e-12,4
explain or define,248.70114612432448,0.0,4.020890195238924e-12,4
new idea,213.3775422290682,0.0,4.686528814366878e-12,4
present new idea,211.78497767798868,0.0,4.72177021694023e-12,4
question,236.03895256246247,0.0,4.236588872894341e-12,4
summarize discussion,0.3916142338720205,0.0,2.553533326812801e-09,4
action item,0.10443046236587213,0.0,9.575749908305013e-09,5
agree,124.16781975302196,0.0,8.053616484375845e-12,5
agreement,104.92650706211002,0.0,9.53048021886911e-12,5
assign task,43.62582565334308,0.0,2.292220227356195e-11,5
consensus,0.4699370806464246,0.0,2.1279444399162967e-09,5
decision,96.51985484165732,0.0,1.0360562618231853e-11,5
define,257.4733049630577,0.0,3.883897789479947e-12,5
encourage,129.23269717776677,0.0,7.737979797919923e-12,5
expand on existing idea,366.42038482625384,0.0,2.729105806903845e-12,5
explain,266.8981541915777,0.0,3.746747530065195e-12,5
explain or define,248.70114612432448,0.0,4.020890195238924e-12,5
new idea,213.3775422290682,0.0,4.686528814366878e-12,5
present new idea,211.78497767798868,0.0,4.72177021694023e-12,5
question,236.03895256246247,0.0,4.236588872894341e-12,5
summarize discussion,0.3916142338720205,0.0,2.553533326812801e-09,5
