token,rate_out_per_1000,rate_in_per_1000,ratio_in_out,min_participants
action item,0.10508340995665309,0.0,9.516249909440987e-09,2
agree,124.44502824116643,79.83193277310924,0.6415035932071036,2
agreement,105.13595166163142,71.42857142857143,0.6793924466368754,2
assign task,43.3469066071194,88.23529411764706,2.0355614973023135,2
consensus,0.4728753448049389,0.0,2.114722217750172e-09,2
decision,96.75554971758834,58.8235294117647,0.607960262577721,2
define,257.79587547615915,205.88235294117646,0.7986254728129571,2
encourage,128.5432812294759,239.49579831932775,1.8631529865097805,2
expand on existing idea,366.47839222382765,357.14285714285717,0.9745263696877297,2
explain,267.17456981479046,222.68907563025212,0.8334965254544627,2
explain or define,248.9951398922895,201.68067226890756,0.8099783487996624,2
new idea,213.26678050702748,231.09243697478993,1.083583840039689,2
present new idea,211.69052935767766,226.890756302521,1.0718040008256053,2
question,235.49192171285958,323.5294117647059,1.3738450534146922,2
summarize discussion,0.28897937738079604,16.80672268907563,58.15889972581002,2
action item,0.10508340995665309,0.0,9.516249909440987e-09,3
agree,124.44502824116643,79.83193277310924,0.6415035932071036,3
agreement,105.13595166163142,71.42857142857143,0.6793924466368754,3
assign task,43.3469066071194,88.23529411764706,2.0355614973023135,3
consensus,0.4728753448049389,0.0,2.114722217750172e-09,3
decision,96.75554971758834,58.8235294117647,0.607960262577721,3
define,257.79587547615915,205.88235294117646,0.7986254728129571,3
encourage,128.5432812294759,239.49579831932775,1.8631529865097805,3
expand on existing idea,366.47839222382765,357.14285714285717,0.9745263696877297,3
explain,267.17456981479046,222.68907563025212,0.8334965254544627,3
explain or define,248.9951398922895,201.68067226890756,0.8099783487996624,3
new idea,213.26678050702748,231.09243697478993,1.083583840039689,3
present new idea,211.69052935767766,226.890756302521,1.0718040008256053,3
question,235.49192171285958,323.5294117647059,1.3738450534146922,3
summarize discussion,0.28897937738079604,16.80672268907563,58.15889972581002,3
action item,0.10508340995665309,0.0,9.516249909440987e-09,4
agree,124.44502824116643,79.83193277310924,0.6415035932071036,4
agreement,105.13595166163142,71.42857142857143,0.6793924466368754,4
assign task,43.3469066071194,88.23529411764706,2.0355614973023135,4
consensus,0.4728753448049389,0.0,2.114722217750172e-09,4
decision,96.75554971758834,58.8235294117647,0.607960262577721,4
define,257.79587547615915,205.88235294117646,0.7986254728129571,4
encourage,128.5432812294759,239.49579831932775,1.8631529865097805,4
expand on existing idea,366.47839222382765,357.14285714285717,0.9745263696877297,4
explain,267.17456981479046,222.68907563025212,0.8334965254544627,4
explain or define,248.9951398922895,201.68067226890756,0.8099783487996624,4
new idea,213.26678050702748,231.09243697478993,1.083583840039689,4
present new idea,211.69052935767766,226.890756302521,1.0718040008256053,4
question,235.49192171285958,323.5294117647059,1.3738450534146922,4
summarize discussion,0.28897937738079604,16.80672268907563,58.15889972581002,4
action item,0.1050696086157079,0.0,9.517499909417196e-09,5
agree,124.45495140530602,77.25321888412017,0.6207323855915774,5
agreement,105.12214342001576,72.96137339055794,0.6940628398276332,5
assign task,43.341213553979514,90.12875536480686,2.0795161919376364,5
consensus,0.47281323877068554,0.0,2.114999995526775e-09,5
decision,96.74284213291305,60.08583690987125,0.6210881920101068,5
define,257.78828473863933,206.00858369098714,0.7991386571350649,5
encourage,128.52639873916468,244.6351931330472,1.9033847951237925,5
expand on existing idea,366.45652744943527,360.51502145922746,0.9837866007421264,5
explain,267.1657473075913,223.17596566523608,0.8353464765393576,5
explain or define,248.9887050170738,201.7167381974249,0.8101441315732876,5
new idea,213.2387706855792,236.05150214592274,1.1069820998634154,5
present new idea,211.66272655634359,231.75965665236052,1.0949478938634587,5
question,235.56606251641713,313.3047210300429,1.3300078868868388,5
summarize discussion,0.28894142369319675,17.167381974248926,59.41474813961882,5
action item,0.10490702614807626,0.0,9.532249909136212e-09,6
agree,124.39350625508143,74.71264367816093,0.6006153048323479,6
agreement,105.0906134438354,68.9655172413793,0.6562481175217516,6
assign task,43.431508825303574,86.20689655172414,1.9848929701588993,6
consensus,0.4720816176663432,0.0,2.118277773290677e-09,6
decision,96.80295837813738,34.48275862068965,0.35621595867592043,6
define,257.5467491935272,241.3793103448276,0.9372252264908681,6
encourage,128.64224081407852,258.62068965517244,2.010387008322843,6
expand on existing idea,366.49269584830444,350.5747126436782,0.9565667109197411,6
explain,266.9883815468541,247.1264367816092,0.9256074565863274,6
explain or define,248.76078575362584,235.63218390804596,0.9472239894814862,6
new idea,213.27598415903907,235.63218390804596,1.1048228652515848,6
present new idea,211.7023787668179,229.88505747126436,1.0858879281861453,6
question,235.8834482939495,270.11494252873564,1.1451203739907303,6
summarize discussion,0.28849432190720975,22.988505747126435,79.684430239275,6
action item,0.10476963775897745,0.0,9.544749908897749e-09,7
agree,124.30917520102675,80.64516129032258,0.6487466525319503,7
agreement,105.0315618533749,72.58064516129033,0.6910365216021694,7
assign task,43.42701485109615,104.83870967741936,2.414135764004948,7
consensus,0.47146336991539856,0.0,2.121055551056679e-09,7
decision,96.70237565153617,40.32258064516129,0.4169761122626956,7
define,257.31423033604864,306.4516129032258,1.190962553850261,7
encourage,128.70949998690378,290.32258064516134,2.2556422072453555,7
expand on existing idea,366.16988396762616,443.5483870967742,1.2113185887667866,7
explain,266.7434977343566,314.51612903225805,1.1790957669202418,7
explain or define,248.53977317373423,298.38709677419354,1.2005607511575802,7
new idea,213.3109824772781,233.87096774193546,1.0963850291522192,7
present new idea,211.73943791089343,225.80645161290323,1.0664354918513725,7
question,235.9412242332172,266.1290322580645,1.1279463057921582,7
summarize discussion,0.288116503837188,32.25806451612903,111.96187644771604,7
