conference,session,speaker,timestamp,speaking_duration,nods_others,smile_self,smile_other,distracted_others,hand_gesture,interruption,overlap,screenshare,annotations,transcript,has_new_idea,has_explanation,has_decision,global_session,clip_number,min_clip_number,clip_offset,start_minute_raw,start_minute_adjusted,start_sec,end_sec,clip_offset_sec,start_sec_adjusted,end_sec_adjusted,is_deep_overlap
2021MZT,2021_10_01_MZT_S4,Andrew Feig,03:56-03:57,1.0,0,0.0,0.0,0,,No,False,Yes,{'None': 'This utterance does not fit any of the codes in the codebook because it is an observation about a technical issue during the meeting.'},"Oh, and I think we've lost Chuck temporarily.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,3.9333333333333336,33.93333333333334,236.0,237.0,1800.0,2036.0,2037.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,03:57-03:58,1.0,0,0.0,0.0,0,,No,False,Yes,"{'acknowledge contribution': {'Explanation': ""Andrew acknowledges Chuck's return to the conversation after a brief interruption.""}}","Oh, you're back.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,3.95,33.95,237.0,238.0,1800.0,2037.0,2038.0,False
2021MZT,2021_10_01_MZT_S4,Chuck Lewis,03:57-03:57,0.0,0,0.0,0.0,0,,No,False,Yes,"{'acknowledge contribution': {'Explanation': 'This utterance acknowledges that Chuck Lewis is back after a temporary disconnection, but does not agree or expand on any idea.'}}","Yeah, I'm back.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,3.95,33.95,237.0,237.0,1800.0,2037.0,2037.0,False
2021MZT,2021_10_01_MZT_S4,Chuck Lewis,03:57-03:58,1.0,0,0.0,0.0,0,,No,False,Yes,"{'ask clarifying question': 'Chuck Lewis is ensuring that he is audible to the other participants after a brief interruption, which is a request for confirmation.'}",Can you hear me?,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,3.95,33.95,237.0,238.0,1800.0,2037.0,2038.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,03:58-03:58,0.0,0,0.0,0.0,0,,No,False,Yes,"{'acknowledge contribution': {'Explanation': 'Andrew Feig acknowledges that Chuck is back and can be heard, recognizing his contribution to the discussion.'}}",We can hear Chuck.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,3.966666666666667,33.96666666666667,238.0,238.0,1800.0,2038.0,2038.0,False
2021MZT,2021_10_01_MZT_S4,Chuck Lewis,03:58-03:58,0.0,0,0.0,0.0,0,,No,False,Yes,{'express agreement': 'Chuck Lewis is expressing agreement with Andrew Feig who stated that he is back after being temporarily lost.'},Perfect.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,3.966666666666667,33.96666666666667,238.0,238.0,1800.0,2038.0,2038.0,False
2021MZT,2021_10_01_MZT_S4,Chuck Lewis,03:58-04:42,44.0,0,0.0,0.0,0,,No,False,Yes,"[{'expand on existing idea': 'The speaker is expanding on the hierarchical nature of spillover drivers, previously mentioning molecular and pathogen standpoints, and now elaborating on the environmental factors such as climate, natural disasters, and anthropogenic factors.'}, {'present new idea': 'The speaker is presenting the key questions that arose from their discussion, specifically focusing on what drives host susceptibility, including molecular, immunologic, and life history factors, which is a novel concept not previously mentioned.'}]","I hopefully everyone hold heard the uh host side of that. So uh going on to the environment, uh looking at the climate but also natural disasters as well and anthropogenic factors that increase interaction, uh deforestation, suburban sprawl. and I'll add in there production system especially for agriculture animals. Kind of the key questions that we came from this and we really did have some uh big questions and lots of discussion with these. But what drives host susceptibility? Uh those molecular factors, immunologic and life history factors.",True,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,3.966666666666667,33.96666666666667,238.0,282.0,1800.0,2038.0,2082.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,04:42-04:43,1.0,0,0.0,0.0,0,,No,False,Yes,"{'acknowledge contribution': ""Andrew Feig acknowledges the previous speaker's contribution by saying 'Excellent', but does not agree or expand on it.""}",Excellent.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,4.7,34.7,282.0,283.0,1800.0,2082.0,2083.0,False
2021MZT,2021_10_01_MZT_S4,Andrew Feig,04:43-04:47,4.0,0,0.0,0.0,0,,No,False,Yes,{'encourage participation': 'Andrew Feig is encouraging participation from the attendees by opening the floor for discussion on the report outs from rooms 2.2 and 2.6.'},So let's open up the floor for rooms 2.2 and 2.6 and both report outs on spillover. So.,False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,4.716666666666667,34.71666666666667,283.0,287.0,1800.0,2083.0,2087.0,False
2021MZT,2021_10_01_MZT_S4,Sara Zimmer,04:52-05:34,42.0,0,0.0,0.0,0,,No,False,Yes,"[{'ask clarifying question': 'The speaker is asking a question to the spillover groups, indicating a need for clarification or further information on the topic of host susceptibility.'}]","I have uh a question. This is Sarah Zimmer. Um and this is to both uh spillover groups, especially people that um are really um I guess maybe have more experience. I don't have any experience in this, but um as far as spillover, uh what I've been seeing in both groups, uh at least there's some there's some issue with uh host, you know, like host susceptibility is is what I'm focusing on here.",False,False,False,2021MZT_2021_10_01_MZT,4.0,1.0,30.0,4.866666666666667,34.86666666666667,292.0,334.0,1800.0,2092.0,2134.0,False
