source,target,t_i,t_j,weight,speaker_i,speaker_j
181,182,2866.5,2869.5,0.9081329107284546,Aniruddha Ray,Brad Smith
82,86,1408.0,1491.25,0.7719129323959351,Carolyn Bayer,Carolyn Bayer
170,179,2761.0,2839.0,0.7510442733764648,Aniruddha Ray,Brad Smith
158,160,2652.5,2663.0,0.7443981766700745,Luke Mortensen,Carolyn Bayer
7,10,99.5,131.16666666666669,0.733940839767456,Aniruddha Ray,Alexandra Dickinson
47,49,771.5,789.5,0.723297119140625,Yevgenia Kozorovitskiy,Yevgenia Kozorovitskiy
100,107,1749.5,1863.1666666666665,0.7207888960838318,Carolyn Bayer,Barbara Smith
205,206,3232.538461538462,3246.6153846153848,0.7134579420089722,Barbara Smith,Barbara Smith
106,107,1847.5,1863.1666666666665,0.7006775736808777,Barbara Smith,Barbara Smith
206,207,3246.6153846153848,3256.0,0.6958330869674683,Barbara Smith,Barbara Smith
24,25,358.42857142857144,380.83333333333337,0.683193564414978,Sixian You,Sixian You
149,152,2537.0,2601.333333333333,0.6758905649185181,Brad Smith,Sixian You
212,216,3335.7692307692305,3420.2307692307695,0.6745861768722534,Barbara Smith,Barbara Smith
161,162,2672.0,2679.5,0.6701165437698364,Brad Smith,Sixian You
156,157,2634.5,2644.0,0.6667035818099976,Barbara Smith,Carolyn Bayer
81,82,1384.5,1408.0,0.6662501692771912,Carolyn Bayer,Carolyn Bayer
149,150,2537.0,2561.0,0.661591112613678,Brad Smith,Aniruddha Ray
205,207,3232.538461538462,3256.0,0.6606575846672058,Barbara Smith,Barbara Smith
10,15,131.16666666666669,214.4,0.6586509943008423,Alexandra Dickinson,Barbara Smith
149,151,2537.0,2587.333333333333,0.6577985882759094,Brad Smith,Sixian You
30,31,472.0,496.5,0.6539959907531738,Luke Mortensen,Luke Mortensen
18,23,269.9375,337.7142857142857,0.644483745098114,Yevgenia Kozorovitskiy,Sixian You
208,209,3274.7692307692305,3293.5384615384614,0.640609860420227,Barbara Smith,Barbara Smith
1,10,27.75,131.16666666666669,0.6402954459190369,Brad Smith,Alexandra Dickinson
98,100,1725.0,1749.5,0.6378824710845947,Carolyn Bayer,Carolyn Bayer
151,152,2587.333333333333,2601.333333333333,0.6377383470535278,Sixian You,Sixian You
1,7,27.75,99.5,0.634369432926178,Brad Smith,Aniruddha Ray
95,98,1674.6666666666665,1725.0,0.6342401504516602,Alexandra Dickinson,Carolyn Bayer
141,146,2385.5,2491.0,0.6302175521850586,Brad Smith,Brad Smith
150,152,2561.0,2601.333333333333,0.6288064122200012,Aniruddha Ray,Sixian You
158,159,2652.5,2655.5,0.6249715089797974,Luke Mortensen,Brad Smith
95,100,1674.6666666666665,1749.5,0.6211580038070679,Alexandra Dickinson,Carolyn Bayer
211,215,3317.0,3406.153846153846,0.6207402348518372,Barbara Smith,Barbara Smith
210,211,3302.923076923077,3317.0,0.6200920939445496,Barbara Smith,Barbara Smith
125,126,2145.333333333333,2167.083333333333,0.616085410118103,Sixian You,Sixian You
156,161,2634.5,2672.0,0.6159543991088867,Barbara Smith,Brad Smith
147,148,2509.5,2519.75,0.6142961978912354,Carolyn Bayer,Carolyn Bayer
204,205,3209.076923076923,3232.538461538462,0.6139962673187256,Barbara Smith,Barbara Smith
111,118,1930.0,2043.75,0.6139284372329712,Brad Smith,Barbara Smith
10,14,131.16666666666669,190.4,0.6120045185089111,Alexandra Dickinson,Barbara Smith
156,162,2634.5,2679.5,0.6065667867660522,Barbara Smith,Sixian You
189,192,2988.5,3020.0,0.6010240912437439,Carolyn Bayer,Aniruddha Ray
196,197,3073.5,3108.5,0.5985532999038696,Brad Smith,Yevgenia Kozorovitskiy
30,33,472.0,535.875,0.5980929136276245,Luke Mortensen,Steve Jett
10,11,131.16666666666669,151.58333333333331,0.5975240468978882,Alexandra Dickinson,Alexandra Dickinson
6,14,80.0,190.4,0.5949191451072693,Aniruddha Ray,Barbara Smith
215,216,3406.153846153846,3420.2307692307695,0.5933771133422852,Barbara Smith,Barbara Smith
113,119,1967.0,2059.25,0.5927260518074036,Barbara Smith,Barbara Smith
208,211,3274.7692307692305,3317.0,0.5909693837165833,Barbara Smith,Barbara Smith
207,211,3256.0,3317.0,0.590205729007721,Barbara Smith,Barbara Smith
18,25,269.9375,380.83333333333337,0.5877372026443481,Yevgenia Kozorovitskiy,Sixian You
26,30,400.33333333333337,472.0,0.5866192579269409,Sixian You,Luke Mortensen
185,186,2911.0,2929.0,0.5863841772079468,Aniruddha Ray,Aniruddha Ray
117,119,2028.25,2059.25,0.5839406251907349,Barbara Smith,Barbara Smith
204,211,3209.076923076923,3317.0,0.5803514122962952,Barbara Smith,Barbara Smith
115,121,1998.25,2090.25,0.5792960524559021,Barbara Smith,Barbara Smith
45,49,731.0,789.5,0.5783262848854065,Brad Smith,Yevgenia Kozorovitskiy
147,150,2509.5,2561.0,0.5782529711723328,Carolyn Bayer,Aniruddha Ray
15,18,214.4,269.9375,0.5735656023025513,Barbara Smith,Yevgenia Kozorovitskiy
159,160,2655.5,2663.0,0.5715804100036621,Brad Smith,Carolyn Bayer
205,208,3232.538461538462,3274.7692307692305,0.5711049437522888,Barbara Smith,Barbara Smith
79,81,1322.0,1384.5,0.5708452463150024,Brad Smith,Carolyn Bayer
203,205,3191.0,3232.538461538462,0.5704247951507568,Brad Smith,Barbara Smith
137,141,2322.1111111111113,2385.5,0.5699859261512756,Alexandra Dickinson,Brad Smith
142,143,2404.0,2422.0,0.5699145793914795,Brad Smith,Brad Smith
136,137,2304.4444444444443,2322.1111111111113,0.5690728425979614,Alexandra Dickinson,Alexandra Dickinson
67,71,1086.5,1175.1666666666665,0.5650906562805176,Sixian You,Yevgenia Kozorovitskiy
66,68,1056.75,1110.3333333333335,0.5620278120040894,Brad Smith,Sixian You
45,47,731.0,771.5,0.5608927607536316,Brad Smith,Yevgenia Kozorovitskiy
207,208,3256.0,3274.7692307692305,0.5606867074966431,Barbara Smith,Barbara Smith
18,24,269.9375,358.42857142857144,0.5600568056106567,Yevgenia Kozorovitskiy,Sixian You
103,106,1786.0,1847.5,0.5589714050292969,Carolyn Bayer,Barbara Smith
81,86,1384.5,1491.25,0.5573598146438599,Carolyn Bayer,Carolyn Bayer
7,15,99.5,214.4,0.5570892095565796,Aniruddha Ray,Barbara Smith
103,108,1786.0,1890.1666666666665,0.5562922954559326,Carolyn Bayer,Aniruddha Ray
11,18,151.58333333333331,269.9375,0.5558798313140869,Alexandra Dickinson,Yevgenia Kozorovitskiy
186,187,2929.0,2943.5,0.5539931058883667,Aniruddha Ray,Yevgenia Kozorovitskiy
150,151,2561.0,2587.333333333333,0.5525180101394653,Aniruddha Ray,Sixian You
105,107,1831.8333333333335,1863.1666666666665,0.5476771593093872,Barbara Smith,Barbara Smith
176,177,2810.0,2818.333333333333,0.5458688735961914,Aniruddha Ray,Brad Smith
22,27,316.2857142857143,427.16666666666663,0.5453992486000061,Sixian You,Luke Mortensen
153,154,2614.75,2624.75,0.5439573526382446,Brad Smith,Brad Smith
4,13,57.33333333333333,173.0,0.5420015454292297,Aniruddha Ray,Brad Smith
119,126,2059.25,2167.083333333333,0.5409551858901978,Barbara Smith,Sixian You
144,148,2438.75,2519.75,0.5403405427932739,Luke Mortensen,Carolyn Bayer
1,3,27.75,51.0,0.5380467176437378,Brad Smith,Brad Smith
63,64,997.5,1010.25,0.5347611904144287,Yevgenia Kozorovitskiy,Yevgenia Kozorovitskiy
56,62,913.5,981.0,0.5346239805221558,Sixian You,Yevgenia Kozorovitskiy
17,24,247.75,358.42857142857144,0.5336843729019165,Yevgenia Kozorovitskiy,Sixian You
155,162,2631.0,2679.5,0.5320212841033936,Carolyn Bayer,Sixian You
15,17,214.4,247.75,0.5319250822067261,Barbara Smith,Yevgenia Kozorovitskiy
99,105,1737.5,1831.8333333333335,0.5309256315231323,Alexandra Dickinson,Barbara Smith
14,15,190.4,214.4,0.530068576335907,Barbara Smith,Barbara Smith
206,208,3246.6153846153848,3274.7692307692305,0.5294744968414307,Barbara Smith,Barbara Smith
155,156,2631.0,2634.5,0.5278669595718384,Carolyn Bayer,Barbara Smith
206,209,3246.6153846153848,3293.5384615384614,0.5275676846504211,Barbara Smith,Barbara Smith
71,74,1175.1666666666665,1231.25,0.527432918548584,Yevgenia Kozorovitskiy,Yevgenia Kozorovitskiy
23,25,337.7142857142857,380.83333333333337,0.5259494781494141,Sixian You,Sixian You
106,108,1847.5,1890.1666666666665,0.5258172154426575,Barbara Smith,Aniruddha Ray
97,104,1705.3333333333335,1815.5,0.5248242616653442,Alexandra Dickinson,Barbara Smith
