lens,center_global_sec,n_speakers_echo_window,n_edges_echo_window,n_cross_edges_echo_window,proposal_in_window,commit_in_window,is_signature,why_signature,context_±25s
Blocks,677.0,2,51,27,True,True,1,ok,"[652.0s] Brad Smith: You could stand up there and report back that elephants are the best way to do imaging. I bet you no one actually catches you on this, but anyway. | [653.0s] Aniruddha Ray: Uh, hello everyone. So I've actually spoken to everyone here already. | [659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so Barbara if you want to I don't know if anybody had any more of those wave guide questions for you. | [661.0s] Brad Smith: Maybe focus on your modality because I think when you get that's where we're going to be. Either your problem that you're trying to solve in deep tissue or the modality that you think you can bring to the problem. | [662.0s] Barbara Smith: Sounds sounds great. Yeah. Should we have should we talk now? We talk later. So maybe we'll keep on we'll keep on. | [664.0s] Brad Smith: I presume that always has a huge sensitivity problem, yeah. | [667.0s] Yevgenia Kozorovitskiy: So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth. | [668.0s] Sixian You: Exactly because the ballistic photons decay exponentially with depth. | [668.0s] Alexandra Dickinson: I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific. I'm wondering for photoacoustic imaging, you know, I he"
Blocks,680.0,2,54,27,True,True,1,ok,"[659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so Barbara if you want to I don't know if anybody had any more of those wave guide questions for you. | [661.0s] Brad Smith: Maybe focus on your modality because I think when you get that's where we're going to be. Either your problem that you're trying to solve in deep tissue or the modality that you think you can bring to the problem. | [662.0s] Barbara Smith: Sounds sounds great. Yeah. Should we have should we talk now? We talk later. So maybe we'll keep on we'll keep on. | [664.0s] Brad Smith: I presume that always has a huge sensitivity problem, yeah. | [667.0s] Yevgenia Kozorovitskiy: So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth. | [668.0s] Sixian You: Exactly because the ballistic photons decay exponentially with depth. | [668.0s] Alexandra Dickinson: I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific. I'm wondering for photoacoustic imaging, you know, I hear a lot about detecting hemoglobin and I assume that's because it's very concentrated and has sort of spectral properties that are that are easy to detect using a photoacoustic imaging. What other kinds of molecules can you detect and um, yeah, what is the kind of "
Blocks,682.0,2,54,27,True,True,1,ok,"[659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so Barbara if you want to I don't know if anybody had any more of those wave guide questions for you. | [661.0s] Brad Smith: Maybe focus on your modality because I think when you get that's where we're going to be. Either your problem that you're trying to solve in deep tissue or the modality that you think you can bring to the problem. | [662.0s] Barbara Smith: Sounds sounds great. Yeah. Should we have should we talk now? We talk later. So maybe we'll keep on we'll keep on. | [664.0s] Brad Smith: I presume that always has a huge sensitivity problem, yeah. | [667.0s] Yevgenia Kozorovitskiy: So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth. | [668.0s] Sixian You: Exactly because the ballistic photons decay exponentially with depth. | [668.0s] Alexandra Dickinson: I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific. I'm wondering for photoacoustic imaging, you know, I hear a lot about detecting hemoglobin and I assume that's because it's very concentrated and has sort of spectral properties that are that are easy to detect using a photoacoustic imaging. What other kinds of molecules can you detect and um, yeah, what is the kind of "
Blocks,690.0,2,54,27,True,True,1,ok,"[667.0s] Yevgenia Kozorovitskiy: So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth. | [668.0s] Alexandra Dickinson: I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific. I'm wondering for photoacoustic imaging, you know, I hear a lot about detecting hemoglobin and I assume that's because it's very concentrated and has sort of spectral properties that are that are easy to detect using a photoacoustic imaging. What other kinds of molecules can you detect and um, yeah, what is the kind of specificity? | [668.0s] Sixian You: Exactly because the ballistic photons decay exponentially with depth. | [671.0s] Aniruddha Ray: Oh, there is Stephen Barbara. So Danny, can see you. Hey Danny. | [671.0s] Brad Smith: Yeah, let's put a pin in that and if we find we have a bit of uh a bit of a lag, we'll come back to that. I I want to help Jazz out a little bit because she's the only one in the whole conference I think doing plants and it seemed to me that plants have got like something around the outside so sticking an electrode into a plant might be the way to go. Is has that ever been thought about or uh what what's the problem that we could help you with, Jazz? | [673.0s] Brad Smith: Yeah. | [675.0s] Barbara Smith: Sorry, sorry. I have a little human that required me for a few minutes. | [675.0s] Brad Smith: Are there methods beyond confocal and light sheet to address 3D regions deep within a tissue sample. | [677.0s] Brad Smith: Um, maybe we should um, either we can go to the Google document um, to start starting our bullet points since Andrew set out no"
Blocks,913.0,3,65,59,True,True,1,ok,"[889.0s] Brad Smith: Maybe a second bullet point is uh photoacoustic imaging saves the day. | [889.0s] Luke Mortensen: I mean, I just I can't think of very many or any any examples of that, but, you know, it's not my area of expertise, so. | [895.0s] Luke Mortensen: And um I think there's more opportunity because it's not it's not just reconstructing the PSF where you just have enough of a power density, you're also the pulse duration is becomes very important as well. | [895.0s] Sixian You: I'm definitely further than light sheet. But uh, | [895.0s] Brad Smith: Okay, so we're still sort of uh talking about beyond light sheet um is is light sheet just to finish that sort of is light sheet going to really change biomedical science? | [895.0s] Brad Smith: Um, if you want to just generate a word document or something and all we need is four bullet points at at the end, we'll work on that a little bit more. | [895.0s] Brad Smith: So um, | [895.0s] Aniruddha Ray: So it's a bit rigged. | [895.0s] Luke Mortensen: Yeah, I mean, you know, I think that um Sishan has some good insight on this too, but like I think like basically that's going to be there's going to be other ways to I think improve your ability to get those photon to create the excitation and to harvest photons. | [895.0s] Brad Smith: Uh congratulations. | [895.0s] Aniruddha Ray: Uh sure, I can do it. | [895.0s] Brad Smith: Okay. | [895.0s] Carolyn Bayer: Um but we're working on strategies to transition to clinical. | [895.0s] Carolyn Bayer: So it's primarily pre clinical right now. | [895.0s] Aniruddha Ray: But I'm in four and also in seven though. | [898.0s] Brad Smith: Uh, can photoacoustic image save the day? I I don't know. maybe shouldn't use that phrase, but it's photoacoustic imaging has promise, I don't know, has has promise and challenges. I don't know um. | [900.0s] Yevgenia Kozorovitskiy: Voltage sensor imaging is super important for neuroscience because despite the dominance of really heavily engine"
Blocks,917.0,3,53,47,True,True,1,ok,"[895.0s] Sixian You: I'm definitely further than light sheet. But uh, | [895.0s] Luke Mortensen: And um I think there's more opportunity because it's not it's not just reconstructing the PSF where you just have enough of a power density, you're also the pulse duration is becomes very important as well. | [895.0s] Carolyn Bayer: So it's primarily pre clinical right now. | [895.0s] Carolyn Bayer: Um but we're working on strategies to transition to clinical. | [895.0s] Brad Smith: Okay. | [895.0s] Aniruddha Ray: Uh sure, I can do it. | [895.0s] Brad Smith: Uh congratulations. | [895.0s] Aniruddha Ray: But I'm in four and also in seven though. | [895.0s] Aniruddha Ray: So it's a bit rigged. | [895.0s] Brad Smith: So um, | [895.0s] Brad Smith: Um, if you want to just generate a word document or something and all we need is four bullet points at at the end, we'll work on that a little bit more. | [895.0s] Brad Smith: Okay, so we're still sort of uh talking about beyond light sheet um is is light sheet just to finish that sort of is light sheet going to really change biomedical science? | [895.0s] Luke Mortensen: Yeah, I mean, you know, I think that um Sishan has some good insight on this too, but like I think like basically that's going to be there's going to be other ways to I think improve your ability to get those photon to create the excitation and to harvest photons. | [898.0s] Brad Smith: Uh, can photoacoustic image save the day? I I don't know. maybe shouldn't use that phrase, but it's photoacoustic imaging has promise, I don't know, has has promise and challenges. I don't know um. | [900.0s] Yevgenia Kozorovitskiy: Voltage sensor imaging is super important for neuroscience because despite the dominance of really heavily engineered GFP based calcium sensors, we know that calcium reporting of neural activity is really limited. Uh, it's got really slow temporal kinetics, which helped us at first because we didn't have a good imaging methods to go faster. | [904.0s] B"
Blocks,919.0,3,53,47,True,True,1,ok,"[895.0s] Sixian You: I'm definitely further than light sheet. But uh, | [895.0s] Luke Mortensen: And um I think there's more opportunity because it's not it's not just reconstructing the PSF where you just have enough of a power density, you're also the pulse duration is becomes very important as well. | [895.0s] Carolyn Bayer: So it's primarily pre clinical right now. | [895.0s] Carolyn Bayer: Um but we're working on strategies to transition to clinical. | [895.0s] Brad Smith: Okay. | [895.0s] Aniruddha Ray: Uh sure, I can do it. | [895.0s] Brad Smith: Uh congratulations. | [895.0s] Aniruddha Ray: But I'm in four and also in seven though. | [895.0s] Aniruddha Ray: So it's a bit rigged. | [895.0s] Brad Smith: So um, | [895.0s] Brad Smith: Um, if you want to just generate a word document or something and all we need is four bullet points at at the end, we'll work on that a little bit more. | [895.0s] Brad Smith: Okay, so we're still sort of uh talking about beyond light sheet um is is light sheet just to finish that sort of is light sheet going to really change biomedical science? | [895.0s] Luke Mortensen: Yeah, I mean, you know, I think that um Sishan has some good insight on this too, but like I think like basically that's going to be there's going to be other ways to I think improve your ability to get those photon to create the excitation and to harvest photons. | [898.0s] Brad Smith: Uh, can photoacoustic image save the day? I I don't know. maybe shouldn't use that phrase, but it's photoacoustic imaging has promise, I don't know, has has promise and challenges. I don't know um. | [900.0s] Yevgenia Kozorovitskiy: Voltage sensor imaging is super important for neuroscience because despite the dominance of really heavily engineered GFP based calcium sensors, we know that calcium reporting of neural activity is really limited. Uh, it's got really slow temporal kinetics, which helped us at first because we didn't have a good imaging methods to go faster. | [904.0s] B"
Blocks,1049.0,2,24,19,True,True,1,ok,"[1028.0s] Luke Mortensen: Sorry, change location. I use my computer. Okay, um, I'm uh assistant professor at University of Georgia. Um, and uh Athens Georgia, um biomedical engineering background. Um, and I um am primarily working with uh multiphoton imaging. Um, so two photon and you know, a bunch of towards three photon, you know, etc. And um, uh trying to um move as well both on the fluorescence side, um as well as in the second harmonic, third harmonic generation. | [1033.0s] Brad Smith: Let's um I mean I think. | [1036.0s] Brad Smith: We we could return back to this wave guide. We've got 15 minutes, so we we may have to go to our bullet points, but I was anybody had any points that they wrote down or thought about that that they'd like to move this discussion in a to raise now or we can go back to Barbara's wave guide technology which was getting a lot of interest here. | [1038.0s] Yevgenia Kozorovitskiy: I'm I'm looking at history, but I don't actually see the right version. | [1045.0s] Yevgenia Kozorovitskiy: That has stuff in it. | [1049.0s] Carolyn Bayer: Um, you know, I do photoacoustics which is using um optics to excite to then ultrasound acoustics to receive. Um, you know, is there some other excitation that we should be thinking about beyond light since we know the limitations of light or | [1049.0s] Brad Smith: I'm just a bit worried this is going to happen again here shortly. We're going to lose it again. It's um. | [1053.0s] Carolyn Bayer: Wavefront is also interesting. | [1057.0s] Barbara Smith: There's a couple of people that do wave front shaping in here. | [1060.0s] Carolyn Bayer: Yeah, that's what I was about to say. That's what I always ask when I meet people who do wave front shaping. | [1062.0s] Luke Mortensen: You guys can hear me? | [1065.0s] Sixian You: I can hear you. | [1070.0s] Barbara Smith: Um | [1070.0s] Carolyn Bayer: How do we get. | [1072.0s] Luke Mortensen: Um and um so I guess I'll continue. Um, and so we're working towards lik"
Clauses,677.0,2,159,73,True,True,1,ok,"[652.0s] Brad Smith: You could stand up there and report back that elephants are the best way to do imaging. I bet you no one actually catches you on this, but anyway. | [653.0s] Aniruddha Ray: Uh, hello everyone. So I've actually spoken to everyone here already. | [659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so Barbara if you want to I don't know if anybody had any more of those wave guide questions for you. | [661.0s] Brad Smith: Maybe focus on your modality because I think when you get that's where we're going to be. Either your problem that you're trying to solve in deep tissue or the modality that you think you can bring to the problem. | [662.0s] Barbara Smith: Sounds sounds great. Yeah. Should we have should we talk now? We talk later. So maybe we'll keep on we'll keep on. | [664.0s] Brad Smith: I presume that always has a huge sensitivity problem, yeah. | [667.0s] Yevgenia Kozorovitskiy: So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth. | [668.0s] Sixian You: Exactly because the ballistic photons decay exponentially with depth. | [668.0s] Alexandra Dickinson: I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific. I'm wondering for photoacoustic imaging, you know, I he"
Clauses,680.0,2,181,80,True,True,1,ok,"[659.0s] Brad Smith: If if I just go to the prompt that we had, um, maybe as a as to kick this out, um, maybe start out with optical ideas, which I think is the central to all of that and then let you guys take it, but the first one there is, | [660.0s] Brad Smith: to increase the number. If anybody has any comment of it increasing the quality of those statements, go ahead. Um otherwise we got a couple of minutes so Barbara if you want to I don't know if anybody had any more of those wave guide questions for you. | [661.0s] Brad Smith: Maybe focus on your modality because I think when you get that's where we're going to be. Either your problem that you're trying to solve in deep tissue or the modality that you think you can bring to the problem. | [662.0s] Barbara Smith: Sounds sounds great. Yeah. Should we have should we talk now? We talk later. So maybe we'll keep on we'll keep on. | [664.0s] Brad Smith: I presume that always has a huge sensitivity problem, yeah. | [667.0s] Yevgenia Kozorovitskiy: So, I and I think there are some ways to think about light sheet applications as related to depth, but its primary power is in gentleness and speed and not necessarily in depth. | [668.0s] Sixian You: Exactly because the ballistic photons decay exponentially with depth. | [668.0s] Alexandra Dickinson: I have a question about it kind of ties into something we were talking about in our last breakout session, so not most of you weren't there, but um, we were talking about how fluorescence is very, very specific to certain molecules, a single molecule and how some of the other really cool imaging techniques that have are have a lot of use are not as specific. I'm wondering for photoacoustic imaging, you know, I hear a lot about detecting hemoglobin and I assume that's because it's very concentrated and has sort of spectral properties that are that are easy to detect using a photoacoustic imaging. What other kinds of molecules can you detect and um, yeah, what is the kind of "
