i_rowid,j_rowid,t_i,t_j,sim,speaker_i,speaker_j,t_center,session,sim_z
0,8,2.3125,40.0,0.3576923608779907,Brad Smith,Aniruddha Ray,21.15625,2021_05_21_ABI_S15,-0.6044809318694132
0,9,2.3125,44.0,0.36181384325027466,Brad Smith,Aniruddha Ray,23.15625,2021_05_21_ABI_S15,-0.5651421946029385
2,9,11.5625,44.0,0.35641562938690186,Brad Smith,Aniruddha Ray,27.78125,2021_05_21_ABI_S15,-0.6166670824218289
3,8,16.1875,40.0,0.34843260049819946,Brad Smith,Aniruddha Ray,28.09375,2021_05_21_ABI_S15,-0.6928635204207407
3,9,16.1875,44.0,0.49068590998649597,Brad Smith,Aniruddha Ray,30.09375,2021_05_21_ABI_S15,0.6649162931916923
4,19,20.8125,83.25,0.4686436355113983,Brad Smith,Aniruddha Ray,52.03125,2021_05_21_ABI_S15,0.45452712589534566
4,20,20.8125,89.75,0.7031834125518799,Brad Smith,Aniruddha Ray,55.28125,2021_05_21_ABI_S15,2.6931630908528184
4,21,20.8125,96.25,0.6044608354568481,Brad Smith,Aniruddha Ray,58.53125,2021_05_21_ABI_S15,1.750875541905078
4,22,20.8125,102.75,0.548204779624939,Brad Smith,Aniruddha Ray,61.78125,2021_05_21_ABI_S15,1.2139225720460218
4,23,20.8125,109.25,0.345089852809906,Brad Smith,Aniruddha Ray,65.03125,2021_05_21_ABI_S15,-0.7247693885477517
4,24,20.8125,115.75,0.455788791179657,Brad Smith,Aniruddha Ray,68.28125,2021_05_21_ABI_S15,0.33183016929340053
4,26,20.8125,127.08333333333333,0.6585566401481628,Brad Smith,Alexandra Dickinson,73.94791666666666,2021_05_21_ABI_S15,2.267209340220194
4,27,20.8125,135.25,0.3756060302257538,Brad Smith,Alexandra Dickinson,78.03125,2021_05_21_ABI_S15,-0.4334984871332394
5,20,25.4375,89.75,0.34626689553260803,Brad Smith,Aniruddha Ray,57.59375,2021_05_21_ABI_S15,-0.713534747649814
5,21,25.4375,96.25,0.757158637046814,Brad Smith,Aniruddha Ray,60.84375,2021_05_21_ABI_S15,3.208345974949095
5,22,25.4375,102.75,0.4552233815193176,Brad Smith,Aniruddha Ray,64.09375,2021_05_21_ABI_S15,0.3264334454773307
5,24,25.4375,115.75,0.30331769585609436,Brad Smith,Aniruddha Ray,70.59375,2021_05_21_ABI_S15,-1.1234763971014048
5,26,25.4375,127.08333333333333,0.3579745292663574,Brad Smith,Alexandra Dickinson,76.26041666666666,2021_05_21_ABI_S15,-0.6017876901927028
5,27,25.4375,135.25,0.7186617851257324,Brad Smith,Alexandra Dickinson,80.34375,2021_05_21_ABI_S15,2.8409011076620394
5,28,25.4375,143.41666666666669,0.4366684556007385,Brad Smith,Alexandra Dickinson,84.42708333333334,2021_05_21_ABI_S15,0.1493303331072557
7,17,34.6875,70.25,0.33387163281440735,Brad Smith,Aniruddha Ray,52.46875,2021_05_21_ABI_S15,-0.8318450882931036
10,31,48.5,167.91666666666666,0.31226903200149536,Brad Smith,Alexandra Dickinson,108.20833333333333,2021_05_21_ABI_S15,-1.0380376571043943
