source,target,weight
124,126,0.9827275276184082
350,351,0.9081330299377441
317,318,0.8822043538093567
308,310,0.8533292412757874
168,178,0.8030940294265747
139,144,0.7939287424087524
27,28,0.7937137484550476
92,93,0.7916274070739746
314,316,0.7860990762710571
201,211,0.7786610126495361
182,183,0.7783006429672241
397,399,0.769527792930603
171,174,0.7642883062362671
5,20,0.757158637046814
367,368,0.7513658404350281
196,200,0.7506399750709534
404,406,0.7496238946914673
11,26,0.7292202711105347
374,375,0.7278200387954712
52,65,0.7264002561569214
178,179,0.7212620973587036
367,369,0.7202702760696411
5,26,0.7186617851257324
361,362,0.7145583629608154
168,179,0.7093325853347778
