u,t,speaker,best_sim
0,2.3125,Brad Smith,0.6324726939201355
1,6.9375,Brad Smith,0.29203730821609497
2,11.5625,Brad Smith,0.3648620843887329
3,16.1875,Brad Smith,0.49068590998649597
4,20.8125,Brad Smith,0.7031834125518799
5,25.4375,Brad Smith,0.757158637046814
6,30.0625,Brad Smith,0.5117130279541016
7,34.6875,Brad Smith,0.33387163281440735
8,40.0,Aniruddha Ray,0.5068156719207764
9,44.0,Aniruddha Ray,0.2965630888938904
10,48.5,Brad Smith,0.41213393211364746
11,53.5,Brad Smith,0.7292202711105347
12,56.66666666666667,Aniruddha Ray,0.5414210557937622
13,58.0,Aniruddha Ray,0.38889509439468384
14,61.5,Barbara Smith,0.3708832859992981
15,64.5,Barbara Smith,0.28469058871269226
16,70.25,Aniruddha Ray,0.3136546015739441
17,76.75,Aniruddha Ray,0.25579899549484253
18,83.25,Aniruddha Ray,0.4275127649307251
19,89.75,Aniruddha Ray,0.6419320106506348
20,96.25,Aniruddha Ray,0.6987549066543579
21,102.75,Aniruddha Ray,0.5943751335144043
22,109.25,Aniruddha Ray,0.4425268769264221
23,115.75,Aniruddha Ray,0.6477704048156738
24,121.5,Brad Smith,0.23770427703857422
25,127.08333333333333,Alexandra Dickinson,0.6959919929504395
26,135.25,Alexandra Dickinson,0.403732031583786
27,143.41666666666669,Alexandra Dickinson,0.7937137484550476
28,151.58333333333331,Alexandra Dickinson,0.39564967155456543
29,159.75,Alexandra Dickinson,0.4390755295753479
30,167.91666666666666,Alexandra Dickinson,0.31621578335762024
31,173.0,Brad Smith,0.421996146440506
32,180.8,Barbara Smith,0.28907930850982666
33,190.39999999999998,Barbara Smith,0.23520849645137787
34,200.0,Barbara Smith,0.634344220161438
35,209.60000000000002,Barbara Smith,0.5556988716125488
36,219.2,Barbara Smith,0.2019987255334854
37,227.0,Brad Smith,0.2957226634025574
38,243.3125,Yevgenia Kozorovitskiy,0.18477438390254974
39,252.1875,Yevgenia Kozorovitskiy,0.4820091426372528
40,261.0625,Yevgenia Kozorovitskiy,0.5808422565460205
41,269.9375,Yevgenia Kozorovitskiy,0.4985491633415222
42,278.8125,Yevgenia Kozorovitskiy,0.5273468494415283
43,287.6875,Yevgenia Kozorovitskiy,0.4689983129501343
44,296.5625,Yevgenia Kozorovitskiy,0.47736597061157227
45,301.5,Brad Smith,0.24520765244960785
46,305.57142857142856,Sixian You,0.33658480644226074
47,312.7142857142857,Sixian You,0.256794273853302
48,319.8571428571429,Sixian You,0.5156520009040833
49,327.0,Sixian You,0.6169049143791199
50,334.1428571428571,Sixian You,0.5321152210235596
51,341.28571428571433,Sixian You,0.5724674463272095
52,348.42857142857144,Sixian You,0.7264002561569214
53,357.0,Sixian You,0.4432670474052429
54,367.0,Sixian You,0.3567851185798645
55,377.0,Sixian You,0.6664453744888306
56,385.83333333333337,Sixian You,0.4476315975189209
57,393.5,Sixian You,0.5510196685791016
58,401.16666666666663,Sixian You,0.6112775802612305
59,406.5,Sixian You,0.16825425624847412
60,409.5,Sixian You,0.3584972321987152
61,415.83333333333337,Luke Mortensen,0.1971622109413147
62,421.5,Luke Mortensen,0.35142982006073
63,427.16666666666663,Luke Mortensen,0.546889066696167
