term,coef,std_err,p_value,ci_low,ci_high,N,R2,Adj_R2
Intercept,1.7740633801343153,1.5537100776260753,0.2535272044544504,-1.271152414429724,4.819279174698354,273,0.15763127104443797,0.03729288119364349
C(conference)[T.CMC],0.505381321272364,0.289681938225444,0.08105319083412713,-0.062384844621263036,1.0731474871659912,273,0.15763127104443797,0.03729288119364349
C(conference)[T.MND],-0.03376867814821925,0.20581200701231492,0.8696718225979657,-0.4371527994782616,0.36961544318182304,273,0.15763127104443797,0.03729288119364349
C(conference)[T.MZT],0.3098024632948223,0.25323962871538336,0.22119490061156277,-0.18653808844562436,0.806143015035269,273,0.15763127104443797,0.03729288119364349
C(conference)[T.NES],0.030395629630565912,0.1999845714281947,0.8791949229615136,-0.3615669278323736,0.4223581870935054,273,0.15763127104443797,0.03729288119364349
C(conference)[T.SLU],0.18831426940522447,0.20772089145333714,0.36463234543415124,-0.21881119667987023,0.5954397354903191,273,0.15763127104443797,0.03729288119364349
C(year)[T.2021],-0.0651449665982945,0.27242871610767244,0.8110073764201882,-0.5990954385238194,0.4688055053272304,273,0.15763127104443797,0.03729288119364349
C(year)[T.2022],-0.09998906954103776,0.362379587410324,0.7826067699660677,-0.8102400095977571,0.6102618705156817,273,0.15763127104443797,0.03729288119364349
ann_coordination_and_decision_practices_count,-0.017198404986466288,0.029911495779995276,0.5653072393794212,-0.07582385943897885,0.041427049466046265,273,0.15763127104443797,0.03729288119364349
ann_coordination_and_decision_practices_mean_score,-0.24849264808070443,0.32193518874244836,0.44019044476178015,-0.879474023372008,0.38248872721059907,273,0.15763127104443797,0.03729288119364349
ann_coordination_and_decision_practices_sum_score,0.006352136437691943,0.02028963229773028,0.7542251871595816,-0.033414812125420065,0.04611908500080396,273,0.15763127104443797,0.03729288119364349
ann_evaluation_practices_count,0.057117194057306,0.056274047410291135,0.31011399391334504,-0.053177912131164115,0.16741230024577614,273,0.15763127104443797,0.03729288119364349
ann_evaluation_practices_mean_score,0.47949330349601293,0.24814213228506243,0.053318381738754604,-0.006856338829683228,0.965842945821709,273,0.15763127104443797,0.03729288119364349
ann_evaluation_practices_sum_score,-0.047026535438841985,0.03617919365080609,0.1936617599284145,-0.11793645198412211,0.023883381106438145,273,0.15763127104443797,0.03729288119364349
ann_idea_management_count,0.02845596017611384,0.060207056914426904,0.636473633237929,-0.08954770299131612,0.14645962334354382,273,0.15763127104443797,0.03729288119364349
ann_idea_management_mean_score,-0.5928654791795334,0.41370773433561636,0.15184243647147813,-1.4037177386030062,0.21798678024393936,273,0.15763127104443797,0.03729288119364349
ann_idea_management_sum_score,-0.018468030961403814,0.03495997589421292,0.597317419459878,-0.08698832461444961,0.05005226269164198,273,0.15763127104443797,0.03729288119364349
ann_information_seeking_count,0.012999731737081292,0.060376376701904245,0.8295244189290497,-0.10533579211567423,0.13133525558983683,273,0.15763127104443797,0.03729288119364349
ann_information_seeking_mean_score,0.14836205750359452,0.40516587173063845,0.7142336773233857,-0.6457484588532321,0.9424725738604212,273,0.15763127104443797,0.03729288119364349
ann_information_seeking_sum_score,-0.00804871207007497,0.033270902537494915,0.8088464535853465,-0.0732584827767073,0.05716105863655735,273,0.15763127104443797,0.03729288119364349
ann_integration_practices_count,0.11214710318539682,0.08541115662878286,0.18917405372150808,-0.0552556876849271,0.2795498940557207,273,0.15763127104443797,0.03729288119364349
ann_integration_practices_mean_score,0.44127867387952335,0.23316114458821643,0.0584122872203995,-0.015708772107516977,0.8982661198665637,273,0.15763127104443797,0.03729288119364349
