term,coef,std_err,p_value,ci_low,ci_high,N,R2,Adj_R2
Intercept,5.404388006332759,2.4982399864104914,0.03051979167176886,0.5079276082303616,10.300848404435158,273,0.24936386728686988,0.14213013404213704
C(conference)[T.CMC],0.7235217670273468,0.3614387064978055,0.045308102232138034,0.015114919672904792,1.4319286143817889,273,0.24936386728686988,0.14213013404213704
C(conference)[T.MND],0.0462945573012208,0.35472853769297974,0.8961653162375373,-0.6489606008655785,0.7415497154680201,273,0.24936386728686988,0.14213013404213704
C(conference)[T.MZT],0.06424827749281015,0.3575681257150662,0.8574028367997422,-0.63657237092821,0.7650689259138302,273,0.24936386728686988,0.14213013404213704
C(conference)[T.NES],-0.0931804744990822,0.3077937859025685,0.7620905281482764,-0.6964452095333487,0.5100842605351843,273,0.24936386728686988,0.14213013404213704
C(conference)[T.SLU],0.23972248115378714,0.30057086279760215,0.42512744754893916,-0.34938558473164305,0.8288305470392173,273,0.24936386728686988,0.14213013404213704
C(year)[T.2021],-0.29955647924673423,0.6452141525318787,0.642451089846741,-1.5641529805247496,0.9650400220312811,273,0.24936386728686988,0.14213013404213704
C(year)[T.2022],-0.43180524307514073,0.7509499504511044,0.5652831721475996,-1.9036401001514434,1.040029614001162,273,0.24936386728686988,0.14213013404213704
ann_coordination_and_decision_practices_count,-0.0294603473585211,0.04104266025773194,0.47288172786967575,-0.10990248329338911,0.050981788576346915,273,0.24936386728686988,0.14213013404213704
ann_coordination_and_decision_practices_mean_score,0.04252984625646711,0.37315601865962383,0.9092589093136647,-0.6888425109307519,0.7739022034436862,273,0.24936386728686988,0.14213013404213704
ann_coordination_and_decision_practices_sum_score,0.014414454402964324,0.028273543089618963,0.6101766640618154,-0.04100067176803017,0.06982958057395881,273,0.24936386728686988,0.14213013404213704
ann_evaluation_practices_count,0.08730886511522788,0.07382269705764608,0.23693471660283694,-0.057380962359369445,0.2319986925898252,273,0.24936386728686988,0.14213013404213704
ann_evaluation_practices_mean_score,0.34881114339540154,0.39637573486639927,0.37885863069464487,-0.4280710212883384,1.1256933080791414,273,0.24936386728686988,0.14213013404213704
ann_evaluation_practices_sum_score,-0.06009320685456161,0.0512064945170474,0.2405766863820884,-0.16045609188252227,0.04026967817339905,273,0.24936386728686988,0.14213013404213704
