term,coef_A,se_A,p_A,ci_low_A,ci_high_A,R2_A,Adj_R2_A,N_A,coef_B,se_B,p_B,ci_low_B,ci_high_B,R2_B,Adj_R2_B,N_B,delta_coef,abs_pct_change_coef,delta_R2,delta_Adj_R2
C(conference)[T.CMC],0.7499352183807415,0.34825454594667465,0.03128638095304246,0.06736885087290967,1.4325015858885735,0.24709610916008595,0.14670892371476407,273.0,0.7235217670273468,0.3614387064978055,0.045308102232138034,0.015114919672904792,1.4319286143817889,0.24936386728686988,0.14213013404213704,273,-0.02641345135339468,0.035220977367120515,0.0022677581267839253,-0.004578789672627037
C(conference)[T.MND],0.03975562547619692,0.35756857963973787,0.9114710589110944,-0.6610659126208314,0.7405771635732252,0.24709610916008595,0.14670892371476407,273.0,0.0462945573012208,0.35472853769297974,0.8961653162375373,-0.6489606008655785,0.7415497154680201,0.24936386728686988,0.14213013404213704,273,0.00653893182502388,0.16447815237969196,0.0022677581267839253,-0.004578789672627037
C(conference)[T.MZT],0.0833662805956917,0.3533871546493144,0.8135053257742787,-0.6092598151160509,0.7759923763074343,0.24709610916008595,0.14670892371476407,273.0,0.06424827749281015,0.3575681257150662,0.8574028367997422,-0.63657237092821,0.7650689259138302,0.24936386728686988,0.14213013404213704,273,-0.01911800310288156,0.22932536951719973,0.0022677581267839253,-0.004578789672627037
C(conference)[T.NES],-0.09724929031307997,0.3077533614541586,0.7520044119216301,-0.7004347948843681,0.5059362142582082,0.24709610916008595,0.14670892371476407,273.0,-0.0931804744990822,0.3077937859025685,0.7620905281482764,-0.6964452095333487,0.5100842605351843,0.24936386728686988,0.14213013404213704,273,0.0040688158139977615,0.04183902834559306,0.0022677581267839253,-0.004578789672627037
C(conference)[T.SLU],0.2199278395492925,0.30075232479244485,0.4646209781190511,-0.3695358853105922,0.8093915644091773,0.24709610916008595,0.14670892371476407,273.0,0.23972248115378714,0.30057086279760215,0.42512744754893916,-0.34938558473164305,0.8288305470392173,0.24936386728686988,0.14213013404213704,273,0.01979464160449465,0.09000516553548044,0.0022677581267839253,-0.004578789672627037
C(year)[T.2021],-0.2964185631736854,0.6397949461235212,0.6431475931124333,-1.5503936150665312,0.9575564887191604,0.24709610916008595,0.14670892371476407,273.0,-0.29955647924673423,0.6452141525318787,0.642451089846741,-1.5641529805247496,0.9650400220312811,0.24936386728686988,0.14213013404213704,273,-0.0031379160730488076,0.010586098385512235,0.0022677581267839253,-0.004578789672627037
C(year)[T.2022],-0.42328604874081815,0.7456829378727841,0.570273442117647,-1.8847977508574936,1.0382256533758574,0.24709610916008595,0.14670892371476407,273.0,-0.43180524307514073,0.7509499504511044,0.5652831721475996,-1.9036401001514434,1.040029614001162,0.24936386728686988,0.14213013404213704,273,-0.008519194334322577,0.020126329132900283,0.0022677581267839253,-0.004578789672627037
Intercept,5.6569333294905295,2.51713861564852,0.02461660578065914,0.723432298724421,10.590434360256637,0.24709610916008595,0.14670892371476407,273.0,5.404388006332759,2.4982399864104914,0.03051979167176886,0.5079276082303616,10.300848404435158,0.24936386728686988,0.14213013404213704,273,-0.25254532315777034,0.04464350354656114,0.0022677581267839253,-0.004578789672627037
ann_coordination_and_decision_practices_count,-0.026765525067181446,0.0389701667418729,0.49219559649367195,-0.10314564835277296,0.04961459821841006,0.24709610916008595,0.14670892371476407,273.0,-0.0294603473585211,0.04104266025773194,0.47288172786967575,-0.10990248329338911,0.050981788576346915,0.24936386728686988,0.14213013404213704,273,-0.0026948222913396533,0.10068258644564795,0.0022677581267839253,-0.004578789672627037
ann_coordination_and_decision_practices_mean_score,0.06977979060345066,0.3703261044476582,0.8505411871249339,-0.6560460366489778,0.795605617855879,0.24709610916008595,0.14670892371476407,273.0,0.04252984625646711,0.37315601865962383,0.9092589093136647,-0.6888425109307519,0.7739022034436862,0.24936386728686988,0.14213013404213704,273,-0.02724994434698355,0.39051341529299494,0.0022677581267839253,-0.004578789672627037
ann_coordination_and_decision_practices_sum_score,0.014137172383580745,0.027878761539993684,0.6120883694672954,-0.04050419616838729,0.06877854093554878,0.24709610916008595,0.14670892371476407,273.0,0.014414454402964324,0.028273543089618963,0.6101766640618154,-0.04100067176803017,0.06982958057395881,0.24936386728686988,0.14213013404213704,273,0.0002772820193835783,0.019613683122773572,0.0022677581267839253,-0.004578789672627037
