segment,feature,mean_fac,mean_nonfac,diff,cohens_d,p_is_fac,n_fac,n_nonfac
first,ann_coordination_and_decision_practices_count,23.321428571428573,1.8284671532846715,21.492961418143903,3.2993795943451865,7.935517985143297e-05,56,548
first,ann_evaluation_practices_count,2.0,0.7901459854014599,1.2098540145985401,0.8173926901556205,0.3414009462417221,56,548
first,ann_idea_management_count,4.267857142857143,1.8941605839416058,2.3736965589155377,1.0058119877047706,0.1667855027063967,56,548
first,ann_information_seeking_count,7.714285714285714,1.6897810218978102,6.024504692387904,2.185439024639579,0.32052334965273954,56,548
first,ann_integration_practices_count,0.9642857142857143,0.24087591240875914,0.7234098018769551,0.8538349796903043,0.7136213166852474,56,548
first,ann_knowledge_sharing_count,9.696428571428571,5.1916058394160585,4.504822732012513,0.816145805878396,4.762870949543226e-05,56,548
first,ann_none_count,1.5178571428571428,0.5912408759124088,0.926616266944734,0.5449681493238551,0.0030902243831052788,56,548
first,ann_participation_dynamics_count,18.125,1.063868613138686,17.061131386861312,3.2839325556096743,5.601224634322833e-05,56,548
first,ann_relational_climate_count,23.625,3.167883211678832,20.45711678832117,3.062842011847149,0.002080998042323285,56,548
middle,ann_coordination_and_decision_practices_count,4.111111111111111,0.4430379746835443,3.6680731364275663,2.349291044991786,5.604344087534699e-10,54,474
middle,ann_evaluation_practices_count,3.6666666666666665,1.9177215189873418,1.7489451476793247,0.7333367088640267,0.14849521927241455,54,474
middle,ann_idea_management_count,5.833333333333333,3.4029535864978904,2.4303797468354427,0.7436936658808859,0.0733361081029298,54,474
middle,ann_information_seeking_count,6.574074074074074,2.4261603375527425,4.147913736521332,1.3594155869322835,0.00850408879022343,54,474
middle,ann_integration_practices_count,1.7037037037037037,0.4409282700421941,1.2627754336615096,1.3868303540544111,1.08184179753344e-05,54,474
middle,ann_knowledge_sharing_count,8.925925925925926,5.531645569620253,3.3942803563056723,0.5834250808461655,8.780212053328173e-06,54,474
middle,ann_none_count,1.3148148148148149,1.0084388185654007,0.30637599624941414,0.111245421932614,0.004014204693804729,54,474
middle,ann_participation_dynamics_count,6.425925925925926,0.689873417721519,5.7360525082044065,2.2228480840182874,2.5909741462622244e-10,54,474
middle,ann_relational_climate_count,7.666666666666667,2.5569620253164556,5.109704641350211,1.2859374481757815,0.2561356777561833,54,474
last,ann_coordination_and_decision_practices_count,14.821428571428571,2.915,11.90642857142857,1.9905489258912585,0.0006305914911951297,56,600
last,ann_evaluation_practices_count,6.714285714285714,2.7683333333333335,3.945952380952381,1.1297634549355375,0.909452184185479,56,600
last,ann_idea_management_count,10.928571428571429,4.713333333333333,6.215238095238096,1.122328705267977,0.36844549959638695,56,600
last,ann_information_seeking_count,10.910714285714286,3.743333333333333,7.167380952380953,1.4085817691616078,0.9207796764935923,56,600
last,ann_integration_practices_count,4.196428571428571,1.0616666666666668,3.1347619047619046,1.57233003512315,0.0040018872524264,56,600
last,ann_knowledge_sharing_count,15.089285714285714,7.578333333333333,7.51095238095238,0.8798383567692635,0.0003036488431702162,56,600
last,ann_none_count,3.3214285714285716,1.5533333333333332,1.7680952380952384,0.5489532510007039,0.004613804564861236,56,600
last,ann_participation_dynamics_count,9.446428571428571,1.1,8.346428571428572,2.4407324697859742,5.6834903125188596e-08,56,600
last,ann_relational_climate_count,17.946428571428573,5.24,12.706428571428573,1.7606600937477674,0.03512945182763166,56,600
