person_name,conference,year,session_id,segment,session_duration_sec,p_speaking_duration_sec,p_turns,ann_knowledge_sharing_score,ann_evaluation_practices_score,ann_idea_management_score,ann_coordination_and_decision_practices_score,ann_information_seeking_score,ann_relational_climate_score,ann_none_score,ann_participation_dynamics_score,ann_integration_practices_score
Chris Gorski,2020NES,2020.0,S1,first,2165.0,7.0,1,2.0,,,,,,,,
Alissa Park,2020NES,2020.0,S1,first,2165.0,432.0,5,8.0,2.0,4.0,4.0,3.0,,,,
Valentina Prigiobbe,2020NES,2020.0,S1,first,2165.0,42.0,3,2.0,,,,4.0,,,,
Li-Chiang Lin,2020NES,2020.0,S1,last,2165.0,95.0,3,,,,,4.0,2.0,,,
Gary Moore,2020NES,2020.0,S1,last,2165.0,68.0,1,2.0,,2.0,,,,,,
Praveen Bollini,2020NES,2020.0,S1,first,2165.0,8.0,1,1.0,,,,,,,,
Fateme Rezaei,2020NES,2020.0,S1,last,2165.0,256.0,5,4.0,4.0,4.0,1.0,2.0,1.0,0.0,,
Rob Coridan,2020NES,2020.0,S1,last,2165.0,42.0,4,2.0,,2.0,3.0,2.0,2.0,,2.0,
George Shields,2020NES,2020.0,S1,last,2165.0,40.0,5,2.0,2.0,2.0,,,1.0,0.0,,
Emily Ryan,2020NES,2020.0,S1,last,2165.0,49.0,2,3.0,2.0,2.0,,2.0,,,,1.0
Chris Gorski,2020NES,2020.0,S1,last,2165.0,26.0,1,2.0,,2.0,,,,,,
Li-Chiang Lin,2020NES,2020.0,S1,first,2165.0,20.0,1,2.0,,,,,,,,
Rob Coridan,2020NES,2020.0,S1,middle,2165.0,50.0,4,2.0,,1.0,,5.0,,,,
Alissa Park,2020NES,2020.0,S1,last,2165.0,351.0,17,14.0,3.0,7.0,5.0,10.0,3.0,,2.0,2.0
Gary Moore,2020NES,2020.0,S1,first,2165.0,34.0,2,2.0,,2.0,,2.0,,,,
Emily Ryan,2020NES,2020.0,S1,middle,2165.0,69.0,4,8.0,6.0,,,4.0,,,,
Fateme Rezaei,2020NES,2020.0,S1,first,2165.0,55.0,2,4.0,,,,2.0,,,2.0,
Kristen Schell,2020NES,2020.0,S1,middle,2165.0,87.0,2,2.0,2.0,2.0,,4.0,1.0,,,
Rob Coridan,2020NES,2020.0,S1,first,2165.0,20.0,1,2.0,,,,,,,,
Praveen Bollini,2020NES,2020.0,S1,last,2165.0,67.0,3,2.0,1.0,,,2.0,2.0,,,
George Shields,2020NES,2020.0,S1,first,2165.0,13.0,1,,,,,2.0,,,2.0,
Emily Ryan,2020NES,2020.0,S1,first,2165.0,32.0,2,4.0,2.0,2.0,,,1.0,,,
Alissa Park,2020NES,2020.0,S1,middle,2165.0,241.0,9,11.0,5.0,3.0,,4.0,2.0,,1.0,2.0
Unknown Male Speaker,2020NES,2020.0,S1,last,2165.0,1.0,1,,,,,,1.0,,,
Kristen Schell,2020NES,2020.0,S1,first,2165.0,33.0,1,2.0,2.0,,,2.0,,,,
Valentina Prigiobbe,2020NES,2020.0,S1,middle,2165.0,27.0,1,1.0,,2.0,,1.0,,,,
Matt Green,2020NES,2020.0,S2,first,1835.0,9.0,1,,,1.0,,2.0,,,,
Jen Wilcox,2020NES,2020.0,S2,first,1835.0,28.0,1,2.0,,,,,1.0,,2.0,
Luisa Whittaker-Brooks,2020NES,2020.0,S2,last,1835.0,8.0,2,,,,,1.0,1.0,,,
Shu Hu,2020NES,2020.0,S2,middle,1835.0,39.0,1,2.0,,2.0,,,,,,
Oana Luca,2020NES,2020.0,S2,first,1835.0,27.0,1,2.0,,,,,2.0,,,
Chris Jones,2020NES,2020.0,S2,middle,1835.0,43.0,4,2.0,2.0,2.0,,,4.0,,1.0,
Shu Hu,2020NES,2020.0,S2,first,1835.0,7.0,2,3.0,,,4.0,2.0,,,1.0,
Jen Wilcox,2020NES,2020.0,S2,middle,1835.0,19.0,1,2.0,,2.0,,,,,,
Pratik Dholabhai,2020NES,2020.0,S2,middle,1835.0,76.0,5,2.0,1.0,2.0,,,3.0,,1.0,
Haotian Wang,2020NES,2020.0,S2,last,1835.0,42.0,1,2.0,2.0,,,,1.0,,,
Chris Jones,2020NES,2020.0,S2,first,1835.0,55.0,3,,,,5.0,,2.0,,2.0,
Matt Green,2020NES,2020.0,S2,last,1835.0,58.0,3,6.0,3.0,4.0,,,2.0,,,
Jen Wilcox,2020NES,2020.0,S2,last,1835.0,232.0,5,6.0,2.0,4.0,,2.0,2.0,,4.0,2.0
Oana Luca,2020NES,2020.0,S2,last,1835.0,330.0,7,8.0,2.0,6.0,,2.0,3.0,,,
Haotian Wang,2020NES,2020.0,S2,middle,1835.0,99.0,1,,0.0,,,,2.0,,,
Kelsey Hazell,2020NES,2020.0,S2,last,1835.0,272.0,8,6.0,4.0,7.0,,6.0,1.0,0.0,,
Shu Hu,2020NES,2020.0,S2,last,1835.0,103.0,4,2.0,2.0,4.0,,6.0,,,,2.0
Katherine Hornbostel,2020NES,2020.0,S2,last,1835.0,270.0,12,14.0,2.0,9.0,,7.0,5.0,,2.0,
Jared Mason,2020NES,2020.0,S2,last,1835.0,18.0,1,,,,,2.0,,,,
