group,feature,R2_middle_from_first,R2_last_from_first,n
all,ann_knowledge_sharing_score,0.5173149382122466,0.5888372865620517,947
all,ann_evaluation_practices_score,0.3220524057608849,0.3220921166249502,947
all,ann_idea_management_score,0.4540794917788705,0.47537807684277056,947
all,ann_coordination_and_decision_practices_score,0.43277647748576353,0.622592183098386,947
all,ann_information_seeking_score,0.45989712298306407,0.5037014425419775,947
all,ann_relational_climate_score,0.3867421311114515,0.5355860408426005,947
all,ann_participation_dynamics_score,0.5965996809696089,0.5941109340016861,947
all,ann_integration_practices_score,0.24758983042509208,0.21538417972883672,947
facilitator,ann_knowledge_sharing_score,0.4677995214893961,0.5215577522574064,51
facilitator,ann_evaluation_practices_score,0.34864504098031,0.39701492891406487,51
facilitator,ann_idea_management_score,0.40353833163520825,0.4543077465823455,51
facilitator,ann_coordination_and_decision_practices_score,0.11413880559717027,0.41652936497233195,51
facilitator,ann_information_seeking_score,0.285450372578929,0.43004650157163316,51
facilitator,ann_relational_climate_score,0.32276544424199194,0.2871619826790204,51
facilitator,ann_participation_dynamics_score,0.34297980173340414,0.34650066885354003,51
facilitator,ann_integration_practices_score,0.2096566286256536,0.1834747939006398,51
non_facilitator,ann_knowledge_sharing_score,0.49741379311771783,0.5753227627445361,896
non_facilitator,ann_evaluation_practices_score,0.27603175759658405,0.2681313553154321,896
non_facilitator,ann_idea_management_score,0.4115149321316006,0.4217949413500124,896
non_facilitator,ann_coordination_and_decision_practices_score,0.22937220860105845,0.6750416925052438,896
non_facilitator,ann_information_seeking_score,0.37296692657661756,0.40674721803756164,896
non_facilitator,ann_relational_climate_score,0.29710112170002023,0.5550054355301292,896
non_facilitator,ann_participation_dynamics_score,0.4511726895075324,0.4170060749143131,896
non_facilitator,ann_integration_practices_score,0.1810141397488766,0.1472479904785826,896
any_team,ann_knowledge_sharing_score,0.2906869343174012,0.27835002628945016,204
any_team,ann_evaluation_practices_score,0.16578588740677835,0.17192387198292136,204
any_team,ann_idea_management_score,0.14888613201881895,0.14104130025715422,204
any_team,ann_coordination_and_decision_practices_score,0.04730772814701545,0.23264470872932286,204
any_team,ann_information_seeking_score,0.23099982810466013,0.1997404414351005,204
any_team,ann_relational_climate_score,0.13149157246522603,0.29374783211963706,204
any_team,ann_participation_dynamics_score,0.010311716597302123,0.01511391396299322,204
any_team,ann_integration_practices_score,0.1760979693419783,0.10486285822082864,204
no_team,ann_knowledge_sharing_score,0.5337593564986107,0.6510377369744371,743
no_team,ann_evaluation_practices_score,0.3653547206704556,0.3513414259691279,743
no_team,ann_idea_management_score,0.530932083546485,0.5845629032166528,743
no_team,ann_coordination_and_decision_practices_score,0.4678390667115587,0.6718373895964362,743
no_team,ann_information_seeking_score,0.521866960217058,0.6190328655071399,743
no_team,ann_relational_climate_score,0.47799749245569767,0.5988077392383446,743
no_team,ann_participation_dynamics_score,0.6232972132861153,0.6227709648718429,743
no_team,ann_integration_practices_score,0.2863549351514465,0.282495353127747,743
any_funded,ann_knowledge_sharing_score,0.3087239911859331,0.2892103343261443,88
any_funded,ann_evaluation_practices_score,0.062335054697531866,0.08234808682403016,88
any_funded,ann_idea_management_score,0.25847357491221223,0.2603694944503555,88
any_funded,ann_coordination_and_decision_practices_score,0.07736691762639347,0.31275357584753005,88
any_funded,ann_information_seeking_score,0.33764190453272647,0.26769842417127143,88
any_funded,ann_relational_climate_score,0.21000571446679195,0.32931903805826823,88
any_funded,ann_participation_dynamics_score,0.0352961647746588,0.017534457816527294,88
any_funded,ann_integration_practices_score,0.33001084620052545,0.20600380566580012,88
no_funded,ann_knowledge_sharing_score,0.5230613998800955,0.6115379381351755,859
no_funded,ann_evaluation_practices_score,0.3748657482229536,0.3570023773193207,859
no_funded,ann_idea_management_score,0.45281690775857986,0.4843376923538988,859
no_funded,ann_coordination_and_decision_practices_score,0.44597917203641013,0.6480590591193616,859
no_funded,ann_information_seeking_score,0.46949899668923945,0.5445882755738793,859
no_funded,ann_relational_climate_score,0.4248543145093646,0.5703969591809679,859
no_funded,ann_participation_dynamics_score,0.6064882863368728,0.6101526297362504,859
no_funded,ann_integration_practices_score,0.23008027355124627,0.22250943466311868,859
