person_name,traj_cluster
A,0
A Ali Yanik,0
AA,0
AB,0
AF,0
AH,0
AP,0
AT,0
Aaron E. Engelhart,1
Aaron Engelhart,0
Abhishek Shrivastava,1
Abhishek Shrivastava ASU,0
Abhishek Singharoy,1
Abigail Levy,0
Adam Holewinski,1
Adela Detwiler,0
Adela Oliva Chavez,0
Adela Oliva Chavez Oliva Chavez,0
Adela S Oliva Chavez,0
Aida Ebrahimi,1
Aida Ebrahimi- Penn State U,0
Aida Ebrahimi-Penn State U,0
Aisla Ibrahimi,0
Alda Ebrahimi,0
Aleksandra Vojvodic,2
Alexander Green,0
Alexandra Basford,0
Alexandra Bedford,0
Alexandra Dickinson,0
Alexandra Walsh,0
Alexis Komor,1
Ali Keshavarazian,0
Ali Keshavarzan,0
Ali Keshavarzi,0
Ali Keshavarzian,1
Ali Keshavarziian,0
Ali Keshavarziyan,0
Ali Yanik,1
Alice Soragni,0
Alison Ondrus,1
Alissa  Park,1
Alissa Park,1
All,0
All Bryan Bayles,0
Allie Obermeyer,1
Allison Dennis,0
Amanda Stockton,1
Amanda Stockton Georgia Institute of Technology,0
Amina Schartup,0
Amy Hartman,0
Amy Vincent,0
Ana Bento,0
Ananya Renuka Balakrishna,1
Anat Shahar,1
Andrea  Hicks,1
Andrea Hicks,0
Andrew,0
Andrew Fegyveresi,0
Andrew Feig,0
Andrew Ferg,0
Andrew Hsu,0
Andrew Skemer,0
Andrew Teixeira,1
Andrew Vanderburg,1
Andrew Walker R,0
Andro C. Rios,1
Andro Rios,0
Andy Skemer,0
Andy skemer,0
Angad Mehta,0
Angela Arenas,0
Anil Ousmane,0
Anila Das,0
Aniruddha Ray,0
Aniruddha Ray _ Utoledo,0
Aniruddha Ray _U.toledo,0
Anna Moore,1
Anna Sokac,1
Anna-Karin Gustavsson,0
Anne Hultgren,0
Annika Barber,1
Arenas,0
Arida Ebrahimi,0
Aris Thorne,0
Arne Bakker,0
Arnold Hayer,0
Arnold Mayer-Mcgill,0
Aseema Mohanty,0
Aseema Mohery,0
Ashleigh Baber,0
Ashley Harris,0
Ashley Marie Gorey,0
Ashley Ross,0
Audrey Ruple,0
Avery E. Strait,0
Avery Strait,0
BG,0
Banerjee Sarbajit,0
Barbara Bendlin,2
Barbara Smith,0
Benjamin Bartelle,1
Betar Gallant,0
Beth Lautner,0
Bethany McGregor,1
Betül Kaçar,0
Bill Mccleskey,0
Bishakha Mona,0
Bob Bryan,1
Bot 4,0
Bot 5,0
Bot 6,0
BotB1,0
BotB1 [Unidentified female speaker],0
BotB6,0
Brad Foley,1
Brad Smith,1
Bradford Foley,0
Brenda Marilyn Rubenstein,1
Brenda Rubenstein,0
Brian Pogue,1
Brian Pogue-DARTMOUTH,0
Brian Zid,1
Bryan Spring,0
Bryan Spring | Northeastern U,0
Burcu  Gurkan,1
Burcu Gurkan,0
CG,0
CH,0
CJ,0
CL,0
CM,0
CMc,0
CaM,0
Caitlin Davis,1
Caleb Hill,0
Camille Carole Habousha,0
Camille Nebeker,0
Candace Fleischer,0
Carl Bryan Agee,0
Carl Bryan Bates,0
Carl Ed Mccauley,0
Carlos Moral,0
Carlos Morales Guio,0
Carlos Morales-Guio,0
Carol F Huseboe,0
Carolina Tropini,0
Carolina Tropini-UBC,0
Caroline D. Sinders,0
Caroline Saouma,1
Caroline Sinders,0
Carolyn Bayer,1
Carolyn Bertozzi,0
Cathy Murphy,2
Cesar De,0
Cesar de la Fuente,0
Cesar de la Fuente U Penn,0
Cesar de la Fuente UPenn,0
Cesar de la Fuente Ureña,0
ChM,0
Chang,0
Chang Liu,0
Charles E. Lewis,1
Charles McCrory,0
Charles Mccrory,0
Cheemeng Tan,1
Cheryl Andam,0
Child,0
Chloe Davis,0
Chong Liu,1
Chris  Whidbey,1
Chris Gorski,0
Chris Jones,1
Chris Martin,0
Chris Reinhard,1
Chris Whidbey,0
Chris Whitbey,0
Chris Whitbey-Scott,0
Chris Whitlatch,0
Chris Whtibey,0
Chris Windey,0
Christine Johnson,1
Christine K Johnson,0
Christoph Thaiss,1
Christopher Gorski,0
Christopher Hamilton,1
Christopher Jones,1
Christopher Martin,0
Christopher Reinhard,0
Christopher Whidbey,0
Chuck Lewis,0
Claudia Herrera,0
Claudia P Herrera,0
Coco Zhang,0
Colin Basler,0
Cori Bargmann,0
Corinne Maurice,1
Courtney Dressing,1
Courtney Robinson,0
Crystal Hepp,0
Crystal Rogers,1
Crystal Rogers- UC Davis,0
Curt Horvath,1
DK,0
DY,0
Dan Huber,1
Dan Linzer,0
Dana Mitzel,0
Dana N Mitzel,0
Danae Schulz,0
Daniel,0
Daniel Apai,1
Daniel Apai / Univ Arizona,0
Daniel Becker,0
Daniel Hawkin,0
Daniel Huber,0
Daniel Yawitz,0
Daren Ginete,0
Dave Durgan,1
David  Kwabi,1
David Bryman,0
David Chen,0
David Durgan,0
David Koweek,0
David Kwabi,0
David Van Valen,1
Davide Donadio,1
Diane Matar,0
Diego Huet,0
Dimitar Sasselov,1
Dmitri Kosenkov,0
Domenico (Nick) Galati,0
Douglas Shepherd,1
Dr. Ali Keshavarzi,0
Dr. Ali Keshavarzian,0
Dr. Ali Keshavarziyan,0
Dr. Anna Moore,0
Dylan Burnette,1
Dylan McCreedy,0
Dylan McCreedy | Texas A&M,0
EM,0
EN,0
ER,0
Ed McCleskey,0
Ed McCleskey CZI,0
Eddie Schwieterman,1
Edward Schwieterman,0
Edwin Kite,1
Efrem Lim,0
Elaine Hsiao,0
Eliza Kempton,1
Elizabeth Bess,1
Elizabeth McCormack,0
Elizabeth Read,1
Elizabeth Weiss,0
Elizabeth Weiss- Science Philanthropy Alliance,0
Ellen B Stechel Arizona State University,0
Ellen Matson,0
Ellen Sletten,0
Ellen Stechel,2
Emily  Ryan,1
Emily Balakus,0
Emily Baleikus,0
Emily Balskus,0
Emily Carter,2
Emily Ryan,0
Erik Procko,0
Erik Sperling,0
Erika Matunis,2
Erika Matunis JHU,0
Erin Longbrake,1
Eva Nichols,0
Evan Michelson,0
FB,0
FJ,0
FL,0
FR,0
FY,0
Fanny Chapelin,0
Faranak Fattahi,1
Fateme Rezaei,0
Fateme Rezazadeh,0
Feng Jiao,1
Feng Lin,1
"Feng Lin, Virginia Tech",0
Ferdinand Schweser,0
Fik Brushett,0
Fikile Brushett,1
Flavio Frohlich,0
France Cordova,0
G.W. Gant Luxton,1
GG,0
GM,0
GS,0
Gabriela Schlau-Cohen,0
Gail Mckee,0
Gail Robertson,0
Gail Robertson-Steele,0
Gang-yu Liu,2
Gary F. Moore,1
Gary Greenburg,0
Gary Moore,0
Gary Moore (ASU),0
Gayle Jackson,0
George Shields,0
George Shields laptop,0
George Weinstock,1
Gergis Obaid,0
Gianna Hammer,1
Gillian Zuberberg,0
Gillian Zybertberg,0
Girgis Obaid,0
Girgis Obaid | UT Dallas,0
Gisselle Medina,0
Gongjie Li,0
Gonzalo Vazquez Prokopec,0
Gonzalo Vazquez-Prokopec,1
Grace Stokes,0
Greeshma Gadikota,1
Greeshma Gaokota,0
Greg Fournier,1
Gregory Fournier,0
Guillaume Bastille-Rousseau,0
Gulcin Pekkurnaz,1
HW,0
Haike Qi,0
Hannah Frank,0
Hannah Frank Tulane,0
Haoran Zhang,0
Haotian Wang,0
Harris Wang,0
Heather Bean,1
Heather D S Walden,0
Heather Walden,0
Helene Gerasimo,0
Hilke Schlichting,0
Holly Goodson,2
Hongfu Liu,0
Huanyu Cheng,0
Iliyan Iliev,1
Irene Yang,0
Isabella Gee,0
JB,0
JC,0
JJ,0
JL,0
JM,0
JP Bryson,0
JP Yu,1
JV,0
JW,0
JY,0
JZ,0
Jae,0
Jae Hwan Song,0
Jae Seungh,0
Jae Sung,1
Jae Sung Kim,0
Jae-Sung Moon,0
Jaehyun,0
Jaeyun,0
Jaeyun Sung,0
Jali Zilberberg,0
Jamie Bender,0
Jan Spille,1
Jane Zelikova,0
Jane Zeltikova,0
Jarad Mason,0
Jarad Masun,0
Jarad Viston,0
Jared Mason,0
Jarrad Horowitz,0
Jason Ladner,1
Jav Forsythe,0
Jay Forsythe,1
Jay Forsythe(he/him),0
Jeff Albert Finefield,0
Jeff Andrew Donahue,0
Jeff Baird Parente,0
Jeff Balser,0
Jeff Bleich,0
Jeff Bodwin,0
Jeff Boyd Farinha,0
Jeff Brian Harman,0
Jeff Brian Marcum,0
Jeff Brian Norman,0
Jeff Brian Thurman,0
Jeff Brian Thurman-Galley,0
Jeff Bryan Kottkamp,0
Jeff Dongga,0
Jeff Douglas Winkler,0
Jeff Elam,0
Jeff Errington,0
Jeff Levenson,0
Jeff Levenson-King,0
Jeff Miller,0
Jeff Miller-Coorey,0
Jeff Miller-Olsen,0
Jeff Squier,0
Jeff Stine,0
Jeff Tannebaum,0
Jeff Thomas,0
Jeff Thomas-Yakin,0
Jeff Thompson,0
Jeff Wheeler,0
Jeff Winkler,0
Jeffrey Long,1
Jeffrey Marlow,0
Jell Barone,0
Jell Barone-Vales,0
Jen Wilcox,0
Jennifer B. Glass,1
Jennifer Glass,0
Jennifer Wilcox,0
Jenny G Maloney,1
Jenny Maloney,0
Jenny Yang,1
Jenny Yang (UC Irvine),0
Jesus Velazquez,0
Jesús Velázquez,0
Ji Wang,0
Jia Li,0
Jia Li Zhu,0
Jial Rongge Xue,0
Jiali Ping,0
Jill Marburger,0
Jill Marburger-Goodwin,0
Jill Panzer Codding,0
Jill Panzer Godager,0
Jill Sarah MacEachern,0
Jill Sean McEachern,0
Jim Mitchel,0
Jim Mitchell,0
Jimmy Jiang,0
Jimmy Jiang@U Cincinnati,0
Jin Zhang,1
Jinha Choi,0
Joan Brennecke,1
