term,coef,se,p
Intercept,-1.3575076484296837,0.1799445942822424,4.556617613937042e-14
C(conference)[T.2021ABI],-0.3758961016531463,0.22545411921118516,0.09545789727891328
C(conference)[T.2021CMC],0.4464940471746182,0.22229894639403347,0.04458702797105403
C(conference)[T.2021MND],-0.9948461421335528,0.25854394874339043,0.0001191442854641314
C(conference)[T.2021MZT],0.29210465499185756,0.22489313041177794,0.19399203466061787
C(conference)[T.2021NES],-0.1581869316208417,0.23870352821112406,0.5075277993028444
C(conference)[T.2021SLU],-0.004206204506694169,0.23264018351705038,0.9855747930319624
C(conference)[T.2022MND],-0.4468039890159638,0.2732805289432402,0.10205647007915948
C(conference)[T.v1-data],-0.04925055300771312,0.19009967554378743,0.7955754271341042
C(segment)[T.middle],-0.048712877836340235,0.11925566637380701,0.6829254763741204
C(segment)[T.last],-0.28478261366465196,0.12365655235654653,0.021278127115390504
ann_knowledge_sharing_score,0.03729625314041463,0.007136974233712675,1.734229976298442e-07
ann_evaluation_practices_score,-0.01593073626880877,0.01948377427457016,0.413562103820051
ann_idea_management_score,0.0014723794688000914,0.012423957900790893,0.9056625378264993
ann_coordination_and_decision_practices_score,-0.038193016994517597,0.02010137396141152,0.05743046606156256
ann_information_seeking_score,0.0434349980867199,0.011119515039153182,9.376071695637693e-05
ann_relational_climate_score,-0.047499096735660926,0.01924106108915416,0.013563066581821435
ann_participation_dynamics_score,-0.11245608328086952,0.033131626351701575,0.0006882396586891007
ann_integration_practices_score,0.018008350967837615,0.030184311314975062,0.5507658242830167
p_speaking_duration_sec,-2.6397020359915323e-06,7.594589785099932e-06,0.7281581486713681
