term,coef,se,p
Intercept,-3.9441928498390864,0.4293436276772777,4.055886380457734e-20
C(segment)[T.middle],0.03190137936898913,0.24926803914584875,0.8981646236642407
C(segment)[T.last],-0.01452014330720033,0.24024633178415455,0.9518063451235345
C(conference)[T.2021ABI],0.10129408639728751,0.4940462241505625,0.8375490198622614
C(conference)[T.2021CMC],-0.770315205942197,0.5980562581350393,0.19773505253922685
C(conference)[T.2021MND],-0.37114056892638553,0.5171451972625949,0.47295962213030274
C(conference)[T.2021MZT],0.6238655534226798,0.48432541632789916,0.19770685457096993
C(conference)[T.2021NES],0.05295155666193251,0.4904702415966246,0.9140267923212991
C(conference)[T.2021SLU],-0.4928689668412084,0.5401108543269981,0.3614882170819912
C(conference)[T.2022MND],-0.14484458029099023,0.5864170888879495,0.8049088056323628
C(conference)[T.v1-data],1.2579964772846608,0.423878150471503,0.002999143285552778
ann_knowledge_sharing_score,-0.0251587580851008,0.02811946146872738,0.37094223215659916
ann_knowledge_sharing_score:C(segment)[T.middle],0.028395927421736532,0.03765739789525414,0.4508133546112839
ann_knowledge_sharing_score:C(segment)[T.last],-0.017078350355274687,0.0344843071515157,0.6204237168602447
ann_evaluation_practices_score,0.0758970031620625,0.09227579784144495,0.4107914037036876
ann_evaluation_practices_score:C(segment)[T.middle],-0.09234172967644211,0.11634708022193589,0.42738485416070704
ann_evaluation_practices_score:C(segment)[T.last],-0.026239099971625858,0.10410107210853493,0.8009992629459356
ann_idea_management_score,0.05530055290092832,0.06131854040815769,0.3671328532995449
ann_idea_management_score:C(segment)[T.middle],-0.047621599895828925,0.07412386720188512,0.520574726592688
ann_idea_management_score:C(segment)[T.last],-0.0163813896317264,0.06754612502546442,0.8083760756751306
ann_coordination_and_decision_practices_score,0.06305614551577135,0.029315477005888747,0.03148009187652606
ann_coordination_and_decision_practices_score:C(segment)[T.middle],0.3770265351989823,0.09813967114141582,0.00012216807064428868
ann_coordination_and_decision_practices_score:C(segment)[T.last],-0.0507890645355588,0.03790832553078063,0.18031475083856807
ann_information_seeking_score,0.05431502490743496,0.041233657948330726,0.18775492861851883
ann_information_seeking_score:C(segment)[T.middle],-0.028846654129747677,0.05375248302949363,0.5915044626407315
ann_information_seeking_score:C(segment)[T.last],-0.03842874129947626,0.04597283510567518,0.403210569683057
ann_relational_climate_score,0.03921768994237504,0.0424487953309129,0.355547608340709
ann_relational_climate_score:C(segment)[T.middle],0.0006829949245832857,0.0750839457268464,0.9927422089377853
ann_relational_climate_score:C(segment)[T.last],0.010831911253319523,0.052459295539580876,0.8364142600648603
ann_participation_dynamics_score,0.09093455902143316,0.05421522682167087,0.09348614317278382
ann_participation_dynamics_score:C(segment)[T.middle],0.10150202521931308,0.08909421736823209,0.25459216605664614
ann_participation_dynamics_score:C(segment)[T.last],0.075211771501611,0.06991211908118031,0.28201470450343813
ann_integration_practices_score,-0.10438175254497725,0.1622143781656278,0.5199125102813892
ann_integration_practices_score:C(segment)[T.middle],0.29435047814592336,0.19302341278760013,0.12727231260536012
ann_integration_practices_score:C(segment)[T.last],0.2105597390656325,0.17130430223752416,0.21901326071932192
p_speaking_duration_sec,-6.179187068900037e-05,2.7014738176655885e-05,0.022176029785182752
