n,m,density,transitivity,avg_clustering,giant,conference_year,segment
64,641,0.3179563492063492,0.7386313708260105,0.6455771504081558,49,2020NES_2020,first
53,402,0.29172714078374457,0.7151293890260926,0.6148160102898969,39,2020NES_2020,middle
72,774,0.3028169014084507,0.8353373413493654,0.5591397977454181,46,2020NES_2020,last
5,2,0.2,0.0,0.0,3,2021ABI_-1,first
4,2,0.3333333333333333,0.0,0.0,2,2021ABI_-1,middle
6,6,0.4,0.0,0.0,6,2021ABI_-1,last
96,1353,0.2967105263157895,0.8262931863342093,0.5514730748739737,61,2021ABI_2021,first
85,1247,0.34929971988795516,0.7979202519131485,0.6049890466808625,60,2021ABI_2021,middle
113,1959,0.30957648546144123,0.835139403180135,0.568374403699397,73,2021ABI_2021,last
65,623,0.29951923076923076,0.7865021694808929,0.5655182912065876,43,2021CMC_2021,first
55,458,0.3084175084175084,0.7839453458582408,0.5875093607457071,38,2021CMC_2021,middle
63,501,0.2565284178187404,0.8616369906397354,0.5115725991777944,36,2021CMC_2021,last
102,1411,0.2739273927392739,0.7892802450229709,0.5557664596661781,66,2021MND_2021,first
89,1336,0.3411644535240041,0.8044283507466405,0.6081945342546828,63,2021MND_2021,middle
133,2839,0.3234221918432445,0.827259108745121,0.5784759373687417,88,2021MND_2021,last
64,578,0.2867063492063492,0.7339079405831652,0.5846373389314555,45,2021MZT_2021,first
60,628,0.35480225988700564,0.7438763767877692,0.6521815874871315,47,2021MZT_2021,middle
63,633,0.3241167434715822,0.8259397736459175,0.5791935027363574,42,2021MZT_2021,last
83,1121,0.329415221863062,0.7771620560258312,0.6203543189403222,60,2021NES_2021,first
71,907,0.36498993963782694,0.7970532746383973,0.6235549802477625,52,2021NES_2021,middle
88,1325,0.3461337513061651,0.8424801551726948,0.5887015037018243,59,2021NES_2021,last
74,770,0.2850796001480933,0.8085516615628898,0.5642543077968128,48,2021SLU_2021,first
62,636,0.3363299841353781,0.7732376793512165,0.6128448496854936,45,2021SLU_2021,middle
66,761,0.3547785547785548,0.8235564757303888,0.6033213077112553,46,2021SLU_2021,last
51,398,0.312156862745098,0.7549185529934419,0.5991302967969,36,2022MND_2022,first
49,454,0.38605442176870747,0.7919733013862742,0.6445934199236796,37,2022MND_2022,middle
52,433,0.32654600301659126,0.8104162912236439,0.5806003005242049,35,2022MND_2022,last
135,0,0.0,0.0,0.0,1,v1-data_2020,first
119,0,0.0,0.0,0.0,1,v1-data_2020,middle
105,0,0.0,0.0,0.0,1,v1-data_2020,last
351,0,0.0,0.0,0.0,1,v1-data_2021,first
315,0,0.0,0.0,0.0,1,v1-data_2021,middle
396,0,0.0,0.0,0.0,1,v1-data_2021,last
