column_name,description
person_name,Full name of the individual participant (string).
conference,"Conference abbreviation (e.g., MZT, SLU)."
year,Year of the conference (integer).
facilitator,Number of sessions in this conference-year where the person acted as a facilitator (integer).
member,Number of sessions in this conference-year where the person was assigned as a team member (integer).
participant,Number of sessions in this conference-year where the person spoke but was not a facilitator or team member (integer).
unknown,Number of sessions where the person appeared but did not fit facilitator/member/participant (integer).
sessions_total,Total number of sessions attended by the person in this conference-year (integer).
role_primary,Primary role classification for the year (facilitator > member > participant > unknown).
p_speaking_duration_sec,Average speaking duration (in seconds) per session for the person (float).
p_turns,Average number of speaking turns per session for the person (float).
p_smile_self_total,Average number of smiles made by the speaker themselves per session (float).
p_smile_other_total,Average number of smiles from others while the person was speaking per session (float).
p_nods_received,Average number of nods from others during the person's speaking turns per session (float).
p_interruptions_made,Average number of interruptions made by the person per session (float).
p_screenshare_segments,Average number of segments where the person shared their screen per session (float).
teams_funded,Number of funded teams this person belonged to during the conference-year (integer).
teams_unfunded,Number of unfunded teams this person belonged to during the conference-year (integer).
team_ids,Comma-separated list of team IDs the person belonged to in this conference-year (string).
teams_total,Total number of teams the person belonged to in this conference-year (integer).
p_overlaps,Average number of overlapping speech events made by the person per session (float).
role_facilitator,"Binary flag (1 if facilitator, else 0)."
role_nonfacilitator,"Binary flag (1 if non-facilitator, else 0)."
role_on_team,"Binary flag (1 if the person is on at least one team in this conference-year, else 0)."
role_in_funded,"Binary flag (1 if the person is in at least one funded team in this conference-year, else 0)."
role_member,"Binary flag (1 if the person’s primary role is member, else 0)."
role_participant,"Binary flag (1 if the person’s primary role is participant, else 0)."
