Term,Coef (SE),CI 2.5%,CI 97.5%,p-value,N,Pseudo R2,LLR p
Intercept,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
Conf_FE[T.CMC],0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
Conf_FE[T.MND],0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
Conf_FE[T.MZT],0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
Conf_FE[T.NES],0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
Conf_FE[T.SLU],0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
Year_FE[T.2021],0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
Year_FE[T.2022],0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
sessions_total,-1.638 (0.617),-2.8471144240265183,-0.4287198189442769,0.00793,273,0.9145517800700922,1.830508401482674e-42
ann_coordination_and_decision_practices_count,0.795 (0.404),0.004082594907774628,1.5858278879856895,0.0488,273,0.9145517800700922,1.830508401482674e-42
ann_coordination_and_decision_practices_mean_score,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_coordination_and_decision_practices_sum_score,-0.487 (0.282),-1.0401838472952019,0.06529706006157027,0.0839,273,0.9145517800700922,1.830508401482674e-42
ann_evaluation_practices_count,-0.058 (0.441),-0.9229625248651003,0.8071032491032599,0.896,273,0.9145517800700922,1.830508401482674e-42
ann_evaluation_practices_mean_score,-1.005 (1.21),-3.3763909595879054,1.3672712973772119,0.406,273,0.9145517800700922,1.830508401482674e-42
ann_evaluation_practices_sum_score,0.022 (0.299),-0.5633764979388317,0.6081974292896463,0.94,273,0.9145517800700922,1.830508401482674e-42
ann_idea_management_count,-0.38 (0.483),-1.3268817482057835,0.5665937597130837,0.431,273,0.9145517800700922,1.830508401482674e-42
ann_idea_management_mean_score,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_idea_management_sum_score,0.274 (0.277),-0.2682726132857232,0.8160333787117111,0.322,273,0.9145517800700922,1.830508401482674e-42
ann_information_seeking_count,-0.877 (0.625),-2.1020225316914383,0.3482171399083176,0.161,273,0.9145517800700922,1.830508401482674e-42
ann_information_seeking_mean_score,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_information_seeking_sum_score,0.36 (0.336),-0.2982232358875806,1.0174441325626535,0.284,273,0.9145517800700922,1.830508401482674e-42
ann_integration_practices_count,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_integration_practices_mean_score,-0.698 (1.373),-3.3893877083266055,1.9924021152946203,0.611,273,0.9145517800700922,1.830508401482674e-42
ann_integration_practices_sum_score,-0.292 (0.186),-0.6563702716033419,0.07138779023074426,0.115,273,0.9145517800700922,1.830508401482674e-42
ann_knowledge_sharing_count,-0.321 (0.199),-0.7107977842399242,0.06822702517267742,0.106,273,0.9145517800700922,1.830508401482674e-42
ann_knowledge_sharing_mean_score,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_knowledge_sharing_sum_score,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_none_count,-0.417 (0.328),-1.0590433886971868,0.22509239763243177,0.203,273,0.9145517800700922,1.830508401482674e-42
ann_participation_dynamics_count,-0.139 (0.271),-0.6701570588243173,0.39275110366513905,0.609,273,0.9145517800700922,1.830508401482674e-42
ann_participation_dynamics_mean_score,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_participation_dynamics_sum_score,0.221 (0.225),-0.2209079046996828,0.6621907435127046,0.327,273,0.9145517800700922,1.830508401482674e-42
ann_relational_climate_count,-0.513 (0.209),-0.9232234740534048,-0.1026723964679942,0.0143,273,0.9145517800700922,1.830508401482674e-42
ann_relational_climate_mean_score,0.0 (nan),,,nan,273,0.9145517800700922,1.830508401482674e-42
ann_relational_climate_sum_score,0.438 (0.139),0.16507585722219537,0.7105314727173233,0.00165,273,0.9145517800700922,1.830508401482674e-42
p_interruptions_made,0.05 (0.115),-0.17612946836376633,0.27547196563566806,0.666,273,0.9145517800700922,1.830508401482674e-42
p_nods_received,0.149 (0.219),-0.27972288933303124,0.5784434150989077,0.495,273,0.9145517800700922,1.830508401482674e-42
p_overlaps,-0.212 (0.409),-1.0131789293563007,0.5884525015741392,0.603,273,0.9145517800700922,1.830508401482674e-42
p_screenshare_segments,0.036 (0.036),-0.03492194139664194,0.10610411094976101,0.323,273,0.9145517800700922,1.830508401482674e-42
p_smile_other_total,0.002 (0.002),-0.001170854877723011,0.004876254574691081,0.23,273,0.9145517800700922,1.830508401482674e-42
p_smile_self_total,-0.0 (0.001),-0.0029700627103040338,0.0020538124563464267,0.721,273,0.9145517800700922,1.830508401482674e-42
p_speaking_duration_sec,0.001 (0.003),-0.003937567407388567,0.006448137842497455,0.636,273,0.9145517800700922,1.830508401482674e-42
p_turns,0.217 (0.165),-0.1058788786230567,0.5390740963513337,0.188,273,0.9145517800700922,1.830508401482674e-42
