Term,Coef (SE),CI 2.5%,CI 97.5%,p-value,N,Pseudo R2,LLR p
Intercept,10.741 (5.232),0.4860219358195419,20.995315126350157,0.0401,273,0.4455179498917352,2.6252123985744337e-17
Conf_FE[T.CMC],1.263 (1.164),-1.018539650955293,3.5438543349758618,0.278,273,0.4455179498917352,2.6252123985744337e-17
Conf_FE[T.MND],0.27 (0.623),-0.9515850471962641,1.4913232755468349,0.665,273,0.4455179498917352,2.6252123985744337e-17
Conf_FE[T.MZT],1.764 (0.822),0.15340860251500077,3.373747416611115,0.0318,273,0.4455179498917352,2.6252123985744337e-17
Conf_FE[T.NES],2.003 (0.877),0.28403792724973664,3.7225409809590526,0.0224,273,0.4455179498917352,2.6252123985744337e-17
Conf_FE[T.SLU],1.61 (0.783),0.0754690353091414,3.1438743543415786,0.0397,273,0.4455179498917352,2.6252123985744337e-17
Year_FE[T.2021],-0.382 (0.969),-2.282649139378169,1.5176799324166197,0.693,273,0.4455179498917352,2.6252123985744337e-17
Year_FE[T.2022],-0.991 (1.422),-3.7789921198621115,1.796658979867337,0.486,273,0.4455179498917352,2.6252123985744337e-17
sessions_total,0.795 (0.306),0.19570801991998021,1.3945066601603346,0.00932,273,0.4455179498917352,2.6252123985744337e-17
ann_coordination_and_decision_practices_count,0.035 (0.204),-0.3638261811178012,0.43394915129348244,0.863,273,0.4455179498917352,2.6252123985744337e-17
ann_coordination_and_decision_practices_mean_score,0.013 (0.692),-1.3439153094538472,1.3691011034398286,0.985,273,0.4455179498917352,2.6252123985744337e-17
ann_coordination_and_decision_practices_sum_score,-0.136 (0.156),-0.44182152844490313,0.16977884355714673,0.383,273,0.4455179498917352,2.6252123985744337e-17
ann_evaluation_practices_count,0.186 (0.217),-0.23879296498817087,0.6106444404750853,0.391,273,0.4455179498917352,2.6252123985744337e-17
ann_evaluation_practices_mean_score,1.022 (0.944),-0.8276779705230595,2.87264618343509,0.279,273,0.4455179498917352,2.6252123985744337e-17
ann_evaluation_practices_sum_score,-0.138 (0.137),-0.40629494878041905,0.12966233378613892,0.312,273,0.4455179498917352,2.6252123985744337e-17
ann_idea_management_count,0.612 (0.261),0.10001369872684729,1.1234689170332275,0.0191,273,0.4455179498917352,2.6252123985744337e-17
ann_idea_management_mean_score,0.002 (1.576),-3.087385898206664,3.092126200898522,0.999,273,0.4455179498917352,2.6252123985744337e-17
ann_idea_management_sum_score,-0.368 (0.152),-0.6671254352761442,-0.06956779522233486,0.0157,273,0.4455179498917352,2.6252123985744337e-17
ann_information_seeking_count,-0.085 (0.287),-0.6476082162488885,0.4776782514321167,0.767,273,0.4455179498917352,2.6252123985744337e-17
ann_information_seeking_mean_score,-0.333 (1.39),-3.0579829622441315,2.392522365833826,0.811,273,0.4455179498917352,2.6252123985744337e-17
ann_information_seeking_sum_score,0.062 (0.157),-0.24589610307484386,0.36904158197343784,0.695,273,0.4455179498917352,2.6252123985744337e-17
ann_integration_practices_count,-0.237 (0.398),-1.0164106075522361,0.5429151991194351,0.552,273,0.4455179498917352,2.6252123985744337e-17
ann_integration_practices_mean_score,0.869 (0.751),-0.603135548309083,2.340487981757934,0.247,273,0.4455179498917352,2.6252123985744337e-17
ann_integration_practices_sum_score,0.192 (0.274),-0.34578549782512,0.7292745765234656,0.484,273,0.4455179498917352,2.6252123985744337e-17
ann_knowledge_sharing_count,-0.525 (0.244),-1.0025446038942518,-0.04741411295172482,0.0312,273,0.4455179498917352,2.6252123985744337e-17
