predictor,coef,std_err,p_value,ci_low,ci_high,model,n_obs,llf,llnull,pseudo_r2,llr_pvalue
Intercept,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
C(conference)[T.CMC],0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
C(conference)[T.MND],0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
C(conference)[T.MZT],0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
C(conference)[T.NES],0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
C(conference)[T.SLU],0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
C(year)[T.2021],0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
C(year)[T.2022],0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
sessions_total,-1.6379171214853976,0.6169487358334719,0.007933957563699794,-2.8471144240265183,-0.4287198189442769,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_coordination_and_decision_practices_count,0.7949552414467321,0.40351386697779146,0.048829020251289594,0.004082594907774628,1.5858278879856895,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_coordination_and_decision_practices_mean_score,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_coordination_and_decision_practices_sum_score,-0.4874433936168158,0.2820156176533509,0.08391170740821846,-1.0401838472952019,0.06529706006157027,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_evaluation_practices_count,-0.05792963788092018,0.44135141962171204,0.8955734858412245,-0.9229625248651003,0.8071032491032599,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_evaluation_practices_mean_score,-1.0045598311053467,1.2101401593045893,0.4064717429160565,-3.3763909595879054,1.3672712973772119,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_evaluation_practices_sum_score,0.022410465675407238,0.29887639172701735,0.9402287244951018,-0.5633764979388317,0.6081974292896463,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_idea_management_count,-0.38014399424634987,0.4830383422487251,0.43129056893778617,-1.3268817482057835,0.5665937597130837,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_idea_management_mean_score,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_idea_management_sum_score,0.2738803827129939,0.27661375427056356,0.32211622442348853,-0.2682726132857232,0.8160333787117111,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_information_seeking_count,-0.8769026958915602,0.6250726265704201,0.16065223951889895,-2.1020225316914383,0.3482171399083176,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_information_seeking_mean_score,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_information_seeking_sum_score,0.3596104483375365,0.33563559810997823,0.28397559481849466,-0.2982232358875806,1.0174441325626535,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_integration_practices_count,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_integration_practices_mean_score,-0.6984927965159927,1.3729307951758547,0.6109201920287134,-3.3893877083266055,1.9924021152946203,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_integration_practices_sum_score,-0.29249124068629884,0.1856559782665776,0.11515319525150582,-0.6563702716033419,0.07138779023074426,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_knowledge_sharing_count,-0.3212853795336234,0.1987344705202366,0.10595244211334362,-0.7107977842399242,0.06822702517267742,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_knowledge_sharing_mean_score,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_knowledge_sharing_sum_score,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_none_count,-0.4169754955323775,0.3275916793519467,0.20307081262159343,-1.0590433886971868,0.22509239763243177,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_participation_dynamics_count,-0.1387029775795891,0.27115502398858865,0.6089824445101567,-0.6701570588243173,0.39275110366513905,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_participation_dynamics_mean_score,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_participation_dynamics_sum_score,0.22064141940651089,0.22528440705496552,0.32738704441813793,-0.2209079046996828,0.6621907435127046,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_relational_climate_count,-0.5129479352606995,0.20932810093905113,0.014267798456556312,-0.9232234740534048,-0.1026723964679942,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_relational_climate_mean_score,0.0,,,,,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
ann_relational_climate_sum_score,0.43780366496975937,0.13914939759036704,0.0016535877654227295,0.16507585722219537,0.7105314727173233,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
p_interruptions_made,0.049671248635950856,0.11520656439649118,0.6663596956746398,-0.17612946836376633,0.27547196563566806,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
p_nods_received,0.14936026288293822,0.2189239984002373,0.49508271718903596,-0.27972288933303124,0.5784434150989077,Facilitator vs Non-facilitator,273,-12.497776450971724,-146.26140206575994,0.9145517800700922,1.830508401482674e-42
