Model (Role Contrast),Outcome,N,Coef (SE),p,R2,R2_adj,Controls
role_on_team,ann_participation_dynamics_count,455,-3.584 (0.499)***,2.98e-12,0.1604160833167632,0.1567011102340941,sessions_total
role_on_team,ann_coordination_and_decision_practices_count,518,-3.016 (0.462)***,1.59e-10,0.1109659226144659,0.1075133630906386,sessions_total
role_on_team,ann_relational_climate_count,677,-1.988 (0.469)***,2.55e-05,0.0523153220355675,0.0495032013294416,sessions_total
role_on_team,ann_knowledge_sharing_mean_score,711,0.066 (0.016)***,5.64e-05,0.0166408426597576,0.0138629919328078,sessions_total
role_on_team,p_speaking_duration_sec,790,60.254 (17.355)***,0.000545,0.1302038706863416,0.1279934612090514,sessions_total
role_on_team,ann_idea_management_mean_score,617,0.072 (0.022)**,0.0013,0.0218791849892032,0.0186931237025231,sessions_total
role_on_team,ann_integration_practices_count,385,-0.421 (0.134)**,0.00178,0.0406277431070486,0.0356048517097034,sessions_total
role_on_team,ann_evaluation_practices_mean_score,527,0.106 (0.034)**,0.00197,0.0205326964067963,0.0167942715839215,sessions_total
role_on_team,ann_knowledge_sharing_count,711,1.272 (0.433)**,0.00343,0.0709496931772973,0.068325257282318,sessions_total
role_on_team,ann_coordination_and_decision_practices_mean_score,510,-0.068 (0.025)**,0.00739,0.0133140851543208,0.009421833024752,sessions_total
role_on_team,ann_relational_climate_mean_score,640,-0.071 (0.026)**,0.00761,0.0132263273954552,0.0101281369006215,sessions_total
role_on_team,ann_information_seeking_mean_score,602,0.058 (0.022)**,0.0081,0.0150022399690271,0.0117134327569037,sessions_total
role_on_team,ann_information_seeking_count,602,-0.574 (0.276)*,0.0381,0.0296680943122419,0.0264282548942528,sessions_total
role_on_team,p_nods_received,790,0.107 (0.075),0.155,0.0235646728878561,0.0210832616372533,sessions_total
role_on_team,ann_idea_management_count,618,0.219 (0.251),0.385,0.0395956474933022,0.0364723813062887,sessions_total
role_on_team,p_smile_other_total,790,7.993 (9.944),0.422,0.0240153390285523,0.0215350730540377,sessions_total
role_on_team,p_turns,790,-0.737 (1.213),0.543,0.0757792632011427,0.0734305446832294,sessions_total
role_on_team,p_interruptions_made,391,-0.118 (0.221),0.593,0.0056616754291591,0.0005362201478662,sessions_total
role_on_team,ann_evaluation_practices_count,544,-0.089 (0.178),0.618,0.0132555338289324,0.0096076799798711,sessions_total
role_on_team,p_smile_self_total,790,5.905 (13.616),0.665,0.0394286792917112,0.0369875831780941,sessions_total
role_on_team,ann_none_count,447,-0.079 (0.228),0.729,0.005228138808202,0.0007471844785092,sessions_total
role_on_team,ann_integration_practices_mean_score,381,-0.012 (0.04),0.757,0.0002551815593351,-0.0050344735646896,sessions_total
role_on_team,ann_participation_dynamics_mean_score,436,-0.003 (0.032),0.937,0.0033958005973315,-0.0012074520557985,sessions_total
role_on_team,p_overlaps,213,-0.011 (0.151),0.943,0.0075979999809728,-0.0018534476382559,sessions_total
role_on_team,p_screenshare_segments,519,-0.007 (0.578),0.99,0.0033137626555531,-0.0005493622953942,sessions_total
