term,coef,se,p,or,lo95,hi95,which_delta
Intercept,-5.504918552694119,0.28966091056460125,1.5593655999199297e-80,0.004066719790762448,0.002305047633623252,0.007174780084949016,end
C(conference)[T.2021ABI],-0.29863243528209793,0.42986478499673286,0.4872354989035719,0.7418320306100404,0.3194458785012447,1.7227167375611379,end
C(conference)[T.2021CMC],-0.13487782023311912,0.4096902939951387,0.7419901787547831,0.87382266861608,0.39146044761291005,1.950557357310256,end
C(conference)[T.2021MND],-1.1778081128565097,0.5567335173586704,0.034381489543333504,0.3079529975976028,0.10341494341663748,0.9170342853380318,end
C(conference)[T.2021MZT],0.12403919522893896,0.39274417969061326,0.7521338634266223,1.1320602414899517,0.5242747515987164,2.4444442278677627,end
C(conference)[T.2021NES],-0.10786985030074472,0.419181774624243,0.7969207129760931,0.8977444299949152,0.3947644075650356,2.041584920378415,end
C(conference)[T.2021SLU],-0.06619180088401572,0.4065282410087386,0.8706584704347035,0.9359513307821866,0.4218999184006246,2.0763334036986376,end
C(conference)[T.2022MND],-0.8945919661687542,0.5110871623728716,0.08005437791417953,0.4087743583842928,0.15011962474486465,1.1130888207086753,end
C(conference)[T.v1-data],1.2826377529394273,0.329721035954171,0.00010021550666033248,3.6061392958291894,1.8896365754672437,6.881873895623517,end
ann_knowledge_sharing_score_dend,0.028878783604603286,0.027115569847654848,0.286864219038356,1.0292998188990314,0.9760243605537201,1.0854832727581973,end
ann_evaluation_practices_score_dend,-0.04602781307614182,0.060793217150154774,0.44897745553498036,0.9550153999052927,0.847738961761522,1.0758670477538308,end
ann_idea_management_score_dend,0.06327489266584457,0.037597134609448975,0.09238067755482862,1.0653196475419224,0.9896385622324548,1.1467883273249708,end
ann_coordination_and_decision_practices_score_dend,0.014326885775192954,0.0329552279743319,0.6637527033448267,1.014430007485664,0.9509770387457155,1.0821168105642665,end
ann_information_seeking_score_dend,0.12489790173273518,0.030991922789373055,5.577338546188108e-05,1.133032766479015,1.0662563050127238,1.2039912391418597,end
ann_relational_climate_score_dend,0.034544204301586987,0.037258363831351615,0.3538470945309452,1.03514778534967,0.9622488433862212,1.1135694730933987,end
ann_participation_dynamics_score_dend,-0.08688538407860381,0.056647076751257575,0.12507843832387258,0.9167821674444273,0.8204406914321443,1.0244366854561548,end
ann_integration_practices_score_dend,0.06896582652057896,0.06530614131726294,0.2909504368765986,1.0713995950707207,0.9426745192753422,1.2177024718989136,end
speaking_dend,2.910972279638619e-05,1.3335533143497698e-05,0.029045453567539573,1.0000291101464884,1.0000029720822519,1.0000552488939216,end
