term,coef,se,p,or,lo95,hi95,which_delta
Intercept,-4.592785530177363,0.1801375515430715,2.1837099550895843e-143,0.010124616632356236,0.007112829660121764,0.014411685201305624,end
C(conference)[T.2021ABI],-0.38248461546939966,0.27732250268639747,0.16783152005504787,0.6821643856745898,0.39612053975122047,1.1747642507380402,end
C(conference)[T.2021CMC],-0.7406609395073572,0.3034431227707591,0.014652499748225651,0.476798676273269,0.2630504447304029,0.8642333904013597,end
C(conference)[T.2021MND],-0.6970963554869944,0.3000765282081452,0.0201758263387071,0.49802930640458465,0.27658243894039625,0.896778519229426,end
C(conference)[T.2021MZT],-0.2445215890665157,0.2700073260736271,0.36514181488321995,0.7830790822364782,0.4612865026736542,1.3293535481356886,end
C(conference)[T.2021NES],0.05778377844018165,0.25173574665940124,0.8184481385136415,1.059485887250939,0.6468645967269204,1.7353096010567217,end
C(conference)[T.2021SLU],-0.23028500975020086,0.26367487970934245,0.3824629251431255,0.7943071849468966,0.4737441959371675,1.3317818127780137,end
C(conference)[T.2022MND],-0.987743506015861,0.33287162336187487,0.003003879251651039,0.37241609829253924,0.1939467023526289,0.7151127015053284,end
C(conference)[T.v1-data],1.3397051072090778,0.20572363387226336,7.407801984125486e-11,3.817917463007432,2.551003432780376,5.71402357481345,end
ann_knowledge_sharing_score_dend,0.038305127554766887,0.019029972315853988,0.04412682997488534,1.0390482267589702,1.0010068883877932,1.078535252908981,end
ann_evaluation_practices_score_dend,0.022142049488594828,0.045831387897164365,0.6290106987610391,1.0223890039911767,0.9345525028965668,1.1184810615158753,end
ann_idea_management_score_dend,0.17352313035596656,0.02778352928382559,4.2233970688124057e-10,1.189488199736893,1.1264458527776817,1.2560587566853594,end
ann_coordination_and_decision_practices_score_dend,-0.01529400237965771,0.026038416269949374,0.5569599357018311,0.984822356919675,0.9358226487688804,1.0363876915831658,end
ann_information_seeking_score_dend,0.114824695106665,0.023759069663059403,1.3457297753755022e-06,1.1216767849062204,1.070640340528976,1.1751460898399657,end
ann_relational_climate_score_dend,0.07188095251335365,0.03078607555988503,0.019551115558623045,1.0745274166609606,1.0116070899269378,1.1413612860695432,end
ann_participation_dynamics_score_dend,-0.16830882115330933,0.05203721624683989,0.0012190147993858041,0.8450928118452385,0.7631491678799257,0.9358352084908014,end
ann_integration_practices_score_dend,0.08250755845079587,0.05491003060166355,0.13294341476477806,1.0860068819376159,0.9751966836299417,1.2094082839020546,end
speaking_dend,3.126741350445723e-05,1.0132430177724961e-05,0.002029540876009188,1.000031267902335,1.0000114079154259,1.000051128283659,end
