term,coef,se,p,or,lo95,hi95,which_delta
Intercept,-6.9069639705152435,0.5782064624064936,6.853882763426722e-33,0.001000791621634037,0.00032222882220453376,0.0031083000678850943,end
C(conference)[T.2021ABI],-0.18451744780049886,0.783025646757765,0.813706794579576,0.8315054318319491,0.1792009072911063,3.8582465547614455,end
C(conference)[T.2021CMC],-0.3370331238596002,0.8005696098941262,0.6737611765947649,0.7138851928781823,0.14865166047227935,3.4283644527856185,end
C(conference)[T.2021MND],-0.5183844081845214,0.8366453892523285,0.5355220128969074,0.5954818268096524,0.11553181052734614,3.069272475190963,end
C(conference)[T.2021MZT],0.7085039851629956,0.695652814077717,0.30845296854109583,2.030950652508514,0.5194547732668197,7.940557610019425,end
C(conference)[T.2021NES],0.7572154450427605,0.6816499296296189,0.266630002098149,2.1323303549836257,0.5605603239413082,8.111228263205902,end
C(conference)[T.2021SLU],-0.05425183103396456,0.7532963397804736,0.9425865950904304,0.9471935437348217,0.2163814066301529,4.146269419656815,end
C(conference)[T.2022MND],-0.6882015421734079,0.8673799846063356,0.4275298619187581,0.5024789441210945,0.09178867894481585,2.750721463557029,end
C(conference)[T.v1-data],2.252685796169448,0.6100545106824813,0.00022197514535554074,9.5132522114773,2.877664291575418,31.44980041769609,end
ann_knowledge_sharing_score_dend,-0.05487378768519046,0.0306350026897612,0.07325926425684369,0.9466046135737975,0.8914388886301573,1.0051842093361474,end
ann_evaluation_practices_score_dend,0.045065698122909566,0.06488900509311328,0.4873659562041548,1.046096584233129,0.9211644047606636,1.1879725897881874,end
ann_idea_management_score_dend,0.11375080981484055,0.04208243483243487,0.0068706978364482555,1.1204728792487162,1.0317632558984626,1.2168096372443986,end
ann_coordination_and_decision_practices_score_dend,0.12161046330523018,0.029530882938727236,3.820462968076347e-05,1.1293141068042665,1.0658045209890712,1.1966081272047784,end
ann_information_seeking_score_dend,-0.008558592113641818,0.027859778281109214,0.7586892816497356,0.9914779283735913,0.9387897272002661,1.0471231778213577,end
ann_relational_climate_score_dend,0.18363688477133303,0.040769580305205166,6.6603891163351605e-06,1.2015794320807431,1.1092992474629537,1.3015362039607787,end
ann_participation_dynamics_score_dend,-0.032082450808738824,0.05906781349031866,0.5870292342431964,0.9684267312201654,0.8625558614720755,1.0872922852106046,end
ann_integration_practices_score_dend,0.20470745384125177,0.06599818463428904,0.0019240413561675918,1.227166009743329,1.0782625675214765,1.3966323795612698,end
speaking_dend,1.750548344664834e-05,2.2730626418387516e-05,0.4412241877682259,1.0000175056366685,0.999972953821421,1.000062059436834,end
