term,coef,se,p,or,lo95,hi95
Intercept,-5.520946013332234,0.28994814710233174,7.780125507926334e-81,0.0040020601484644204,0.0022671213462450825,0.007064679382272301
C(conference)[T.2021ABI],-0.4937377322795919,0.43190022307645975,0.25296575265262655,0.610340834800979,0.2617770296277553,1.4230275863213455
C(conference)[T.2021CMC],-0.2746089257425728,0.4205621663897742,0.5137841301921415,0.7598692304207225,0.33323385378108583,1.7327208529043934
C(conference)[T.2021MND],-2.3108620298272426,0.6777232628899066,0.0006502416491734682,0.09917572226980764,0.02627336409395797,0.374364845421525
C(conference)[T.2021MZT],-0.10125518000383918,0.4022316491897434,0.8012470630368663,0.9037023966791875,0.41080804703954316,1.9879796115218176
C(conference)[T.2021NES],-0.6382218902239631,0.4511807616445151,0.1571977830134356,0.528230841914818,0.21815789638000074,1.2790177526465039
C(conference)[T.2021SLU],-0.3434572010712975,0.4240292983496992,0.4179490274934057,0.7093138383671858,0.3089565503156347,1.6284688600555284
C(conference)[T.2022MND],-2.2090033115484853,0.7194253682849105,0.00213693008982508,0.10981004039076415,0.026807407420004585,0.44981018797151523
C(conference)[T.v1-data],1.251362632276872,0.3318785567360313,0.00016289221330650854,3.495102253281673,1.8237241762829464,6.698238648013287
ann_knowledge_sharing_score_first,0.21511870397649252,0.02681570678278581,1.0393911799229453e-15,1.240009082239099,1.1765188117935594,1.3069255745187822
ann_evaluation_practices_score_first,-0.12218651699731868,0.08293412836223996,0.1406712471963426,0.8849832886823272,0.7522117527343471,1.0411900882962972
ann_idea_management_score_first,0.125322395184762,0.06303655061331646,0.0468016331634105,1.1335138335670076,1.0017723246968369,1.28258046185954
ann_coordination_and_decision_practices_score_first,-0.13968642126766306,0.083728292002586,0.09525023600029725,0.8696308903993794,0.7380129747362852,1.0247216667255092
ann_information_seeking_score_first,0.1207615672374076,0.04442912214325364,0.006566348344154659,1.128355843290274,1.0342540971659577,1.231019449259197
ann_relational_climate_score_first,-0.18263342599005555,0.06635088558180302,0.005913503237808214,0.833073482858368,0.7314831001982529,0.9487730169756138
ann_participation_dynamics_score_first,0.09432036655697477,0.09250303753878739,0.30789630691669667,1.098911744101817,0.9166903077778833,1.317355502811211
ann_integration_practices_score_first,0.1210645134174746,0.1255056072721084,0.33473799465417486,1.128697726166196,0.8825617889345146,1.4434780352214724
speaking_first,5.13455627874248e-05,1.6451133674457268e-05,0.001801794617438775,1.0000513468809933,1.0000191015232172,1.0000835932785128
