term,coef,se,p,or,lo95,hi95
Intercept,-6.941908185487244,0.5789245389039772,3.958957010678187e-33,0.0009664237208656345,0.0003107256213243608,0.0030057862762363514
C(conference)[T.2021ABI],-0.3126482518189248,0.8226047463595756,0.7038926729708365,0.7315071736384436,0.14588253225923775,3.66803850192023
C(conference)[T.2021CMC],-3.570397441446421,1.3649246917976257,0.008901344324112496,0.02814466560053876,0.0019388702180607508,0.40854833623594833
C(conference)[T.2021MND],-0.8186370249985758,0.8927298683476902,0.35914044733137307,0.4410323611219828,0.07665905341350582,2.537332968457477
C(conference)[T.2021MZT],0.0466327997989658,0.7636502182512036,0.9513069224339459,1.0477372091208481,0.23454175952001,4.6804170891482055
C(conference)[T.2021NES],-0.45082220957845065,0.8239702715110695,0.5842866259550311,0.6371041031163931,0.126716377022559,3.203229509438089
C(conference)[T.2021SLU],-1.5919835713138872,1.0209127087758887,0.11890815584165458,0.20352151165377047,0.02751641672757534,1.5053197556906501
C(conference)[T.2022MND],-2.1047762030872947,1.3146971189642662,0.1093859973385815,0.12187294600635974,0.009264340939021818,1.6032457209889073
C(conference)[T.v1-data],2.2454553642332997,0.6122687969361661,0.0002449968212266689,9.444715362966999,2.844560352481654,31.35902819205175
ann_knowledge_sharing_score_first,-0.0011802586195178454,0.025619115677508606,0.9632548939332929,0.9988204376117487,0.9499045953789791,1.050255227150365
ann_evaluation_practices_score_first,0.13268538048746972,0.1254776167126549,0.29030962640147173,1.1418906807203613,0.8929267322096778,1.4602702323507366
ann_idea_management_score_first,0.16422548325212127,0.07676040923672717,0.032398792496565444,1.1784800126422332,1.0138703947263628,1.3698152618136863
ann_coordination_and_decision_practices_score_first,0.09742724362738651,0.03421562003143475,0.0044071112204510975,1.1023312370234415,1.03083033541601,1.1787916152343747
ann_information_seeking_score_first,0.13533207016721166,0.048707035933682724,0.005461199443110415,1.1449169139840363,1.040671606007142,1.2596045979923978
ann_relational_climate_score_first,0.12056463278761385,0.05708599066187509,0.034687921011390045,1.1281336530322803,1.0087138374532987,1.2616913656276476
ann_participation_dynamics_score_first,0.06298079011250819,0.06674364633239001,0.34536271506205907,1.0650063803820549,0.9344129977898756,1.2138514692510152
ann_integration_practices_score_first,-0.3399028526614426,0.2160025370878989,0.1155786035246751,0.7118394727139428,0.46614066911556273,1.087044037318362
speaking_first,4.2014458418902076e-05,2.2722511756611822e-05,0.06445441818962072,1.0000420153410385,0.9999974783385553,1.0000865543270716
