term,coef,se,p,or,lo95,hi95
Intercept,-5.550365051286654,0.2920963123283818,1.6469426090675107e-80,0.0038860383812020912,0.0021921470584225777,0.006888814435215099
C(conference)[T.2021ABI],-0.8510838713884145,0.48097831279299685,0.07681298513759532,0.42695192010098143,0.16632669800254568,1.0959632113608415
C(conference)[T.2021CMC],-0.48128100005261365,0.4337540657101503,0.2671838664063869,0.6179912377317107,0.26409696044689407,1.4461096760330525
C(conference)[T.2021MND],-2.161103055352781,0.6726248179567109,0.0013138381977728967,0.11519798118003312,0.03082443071016249,0.4305213287712106
C(conference)[T.2021MZT],-0.03106943506216163,0.4041144167117828,0.9387168058813908,0.9694082598163225,0.4390536377018846,2.1404044825115376
C(conference)[T.2021NES],-0.6848942039211615,0.45138644694796987,0.12918785648283349,0.504143563165688,0.20812599448777977,1.221186872437115
C(conference)[T.2021SLU],-0.7403099217352965,0.45457317930693264,0.10340143281770064,0.47696607045978434,0.1956802453567291,1.1625937608322034
C(conference)[T.2022MND],-1.8384044005634994,0.6356152967523463,0.0038240523800466236,0.1590710373797188,0.04576615740907336,0.5528887799534453
C(conference)[T.v1-data],1.2812746018450463,0.33369019743735917,0.00012317820247490676,3.60122693200932,1.8724389171600135,6.9261727562784765
ann_knowledge_sharing_score_middle,0.0693444652652284,0.024424836743357086,0.004524149159273581,1.0718053452799434,1.021703962807029,1.1243635534255323
ann_evaluation_practices_score_middle,0.1266422386416016,0.05983486103209327,0.034299812971544774,1.1350108821010145,1.0094099084145947,1.2762403972347383
ann_idea_management_score_middle,0.16051844969278228,0.03715643473065519,1.5597875000907877e-05,1.1741194350836546,1.0916516642148266,1.2628171540714779
ann_coordination_and_decision_practices_score_middle,-0.5009281962100425,0.1526448199413552,0.0010319844573056468,0.6059679414498937,0.4492786226397638,0.8173038456793976
ann_information_seeking_score_middle,0.1312799850298836,0.03604423903643998,0.00027032789819855075,1.1402869999114364,1.0625091956606958,1.2237582954362032
ann_relational_climate_score_middle,0.03614805267653229,0.07736037621031643,0.6403079223115902,1.0368093375257383,0.8909399190584825,1.2065612724105563
ann_participation_dynamics_score_middle,-0.4777808592188604,0.13578581920902566,0.00043377157103724305,0.6201580840192165,0.4752467838729662,0.8092554483802427
ann_integration_practices_score_middle,0.38475493180519343,0.12069184806905735,0.0014330438412574309,1.4692542098400792,1.1597435575372042,1.8613666091122432
speaking_middle,4.798492817352909e-05,1.470779409188194e-05,0.0011041430761572727,1.0000479860794687,1.0000191578352624,1.0000768151547266
