outcome,contrast,n_used,controls_used,coef_role,se_role,t_role,p_role,r2,r2_adj
p_interruptions_made,role_facilitator,391,sessions_total,1.7173685217773829,0.4541379396115475,3.7816010775192117,0.00018037307317848156,0.07843576589701229,0.07368543479338863
p_nods_received,role_facilitator,790,sessions_total,0.3421446002383589,0.14087661351981237,2.428682743642478,0.015376791356875915,0.032424681228783725,0.029965785882478113
p_overlaps,role_facilitator,213,sessions_total,0.31270776220959756,0.1817657789844332,1.7203885349418744,0.08683489845222962,0.016708445293091123,0.00734376381969204
p_screenshare_segments,role_facilitator,519,sessions_total,4.865716659926305,1.1140025278813792,4.367778831866721,1.517681663072128e-05,0.0725522950378229,0.06895753649145786
p_smile_other_total,role_facilitator,790,sessions_total,81.47794121194939,24.147907752957742,3.374120111998921,0.0007767605958301154,0.06499724150577657,0.06262112267859932
p_smile_self_total,role_facilitator,790,sessions_total,132.05033301165844,36.06524649487285,3.6614288226320904,0.0002675767813563789,0.10083719580709227,0.09855215691460706
p_speaking_duration_sec,role_facilitator,790,sessions_total,296.12118882429354,40.04405359468212,7.394885438461671,3.6282574982555097e-13,0.2751405852447082,0.2732985028692182
p_turns,role_facilitator,790,sessions_total,29.11126696641605,2.7885734738253967,10.439483570960347,5.540261032345304e-24,0.4116312779273207,0.41013605881150694
p_interruptions_made,role_in_funded,229,sessions_total,-0.3360428070237156,0.27624971196982784,-1.2164458186310014,0.22508405150783128,0.01703389189513005,0.00833507677915768
p_nods_received,role_in_funded,334,sessions_total,-0.04127438371690471,0.09930251034019219,-0.41564290344228194,0.6779406526785329,0.0006113797598721327,-0.005427222175113489
p_overlaps,role_in_funded,123,sessions_total,-0.10204717610580827,0.22822011754601873,-0.4471436488732475,0.6555773720446469,0.0018620888302647298,-0.014773543022564173
p_screenshare_segments,role_in_funded,277,sessions_total,0.9096313691563713,0.7334330341845893,1.2402377950806027,0.21594846277716317,0.01415935757592457,0.0069634404779385095
p_smile_other_total,role_in_funded,334,sessions_total,-1.0390577411401876,13.22167173720727,-0.07858747076711656,0.9374082403933868,0.0010363409861452455,-0.004999693207291989
p_smile_self_total,role_in_funded,334,sessions_total,6.1416572360556385,16.821280359100204,0.3651123520293175,0.7152607233043775,0.0056613090115529285,-0.00034677975574881614
p_speaking_duration_sec,role_in_funded,334,sessions_total,32.949071133255,16.660222213326204,1.9777089831910915,0.04879068482273687,0.019780017170635045,0.013857237818191814
p_turns,role_in_funded,334,sessions_total,1.8819672493040338,1.0357738915890693,1.816967259540349,0.07012634520937848,0.010895761303204687,0.004919300646426539
p_interruptions_made,role_on_team,391,sessions_total,-0.11810222742446598,0.22088221083441123,-0.5346841965150543,0.5931745108700617,0.005661675429159296,0.000536220147866362
p_nods_received,role_on_team,790,sessions_total,0.10701299666413108,0.07510630202643061,1.424820471476178,0.15460552949545453,0.023564672887855576,0.021083261637252826
p_overlaps,role_on_team,213,sessions_total,-0.010841150920075607,0.1508417497701739,-0.0718710233512502,0.9427729525183592,0.007597999980972658,-0.0018534476382561227
p_screenshare_segments,role_on_team,519,sessions_total,-0.006922079093025418,0.5784318654380528,-0.011966973997504878,0.9904565894061164,0.003313762655553165,-0.0005493622953942623
p_smile_other_total,role_on_team,790,sessions_total,7.993044753495587,9.943832828428848,0.803819301008755,0.42174406130196196,0.02401533902855113,0.02153507305403657
p_smile_self_total,role_on_team,790,sessions_total,5.905166283812672,13.61633047502699,0.43368265000934236,0.6646377579633416,0.03942867929171123,0.03698758317809414
p_speaking_duration_sec,role_on_team,790,sessions_total,60.25398023273613,17.3550697118232,3.471837407353535,0.0005450992857494625,0.13020387068634165,0.12799346120905142
p_turns,role_on_team,790,sessions_total,-0.7373302541193989,1.2129056498476858,-0.6079040477814506,0.5434264932429208,0.0757792632011427,0.0734305446832294
