outcome,contrast,n_used,controls,coef_role,se_role,p_role,r2,r2_adj,formula
ann_coordination_and_decision_practices_count,role_facilitator,518,sessions_total,10.363849894799777,0.8910363570785196,6.30474230058269e-28,0.5388896907864673,0.5370989711390362,ann_coordination_and_decision_practices_count ~ role_facilitator + sessions_total
ann_coordination_and_decision_practices_mean_score,role_facilitator,510,sessions_total,0.06993126520290713,0.022078698406415995,0.0016309751471638011,0.007222555875399217,0.0033062740445328753,ann_coordination_and_decision_practices_mean_score ~ role_facilitator + sessions_total
ann_evaluation_practices_count,role_facilitator,544,sessions_total,1.757205165134888,0.3715816163845723,2.8823925149895834e-06,0.10558523690280597,0.1022787128248126,ann_evaluation_practices_count ~ role_facilitator + sessions_total
ann_evaluation_practices_mean_score,role_facilitator,527,sessions_total,-0.18155393729805244,0.04567695467271035,8.034082266192002e-05,0.02673364698709768,0.023018889914529383,ann_evaluation_practices_mean_score ~ role_facilitator + sessions_total
ann_idea_management_count,role_facilitator,618,sessions_total,3.443474481122812,0.5924415608120503,9.896477646670767e-09,0.1797710328639347,0.17710362158869553,ann_idea_management_count ~ role_facilitator + sessions_total
ann_idea_management_mean_score,role_facilitator,617,sessions_total,-0.11353293563822449,0.0278830409194248,5.276677169888472e-05,0.02179516013040661,0.018608825147118035,ann_idea_management_mean_score ~ role_facilitator + sessions_total
ann_information_seeking_count,role_facilitator,602,sessions_total,5.003159999928347,0.5750868099786924,3.204071239185231e-17,0.2990153275820847,0.29667481114663263,ann_information_seeking_count ~ role_facilitator + sessions_total
ann_information_seeking_mean_score,role_facilitator,602,sessions_total,-0.05419318614619323,0.02717583366186958,0.04658651879119896,0.008045922747426881,0.004733889100506761,ann_information_seeking_mean_score ~ role_facilitator + sessions_total
ann_integration_practices_count,role_facilitator,385,sessions_total,1.082095718564624,0.19644226637971277,6.662776582171536e-08,0.12734023243613113,0.12277133312951405,ann_integration_practices_count ~ role_facilitator + sessions_total
ann_integration_practices_mean_score,role_facilitator,381,sessions_total,-0.08275207675611547,0.04093003549249304,0.04390177612759322,0.006427308469648341,0.0011703101017628281,ann_integration_practices_mean_score ~ role_facilitator + sessions_total
ann_knowledge_sharing_count,role_facilitator,711,sessions_total,5.190102570783073,1.0694044798003295,1.4949042856211094e-06,0.14582617255395613,0.14341325213744194,ann_knowledge_sharing_count ~ role_facilitator + sessions_total
ann_knowledge_sharing_mean_score,role_facilitator,711,sessions_total,-0.04084586755759413,0.019064664896958308,0.0324943961506286,0.002352962313232565,-0.0004652496576338372,ann_knowledge_sharing_mean_score ~ role_facilitator + sessions_total
ann_none_count,role_facilitator,447,sessions_total,0.5318317129526583,0.23909086953268788,0.026624180615621964,0.011566928989104497,0.007114527768334766,ann_none_count ~ role_facilitator + sessions_total
ann_participation_dynamics_count,role_facilitator,455,sessions_total,10.092056314599363,0.940519071824165,4.4062152313943765e-24,0.5902212830409204,0.5884081028773847,ann_participation_dynamics_count ~ role_facilitator + sessions_total
ann_participation_dynamics_mean_score,role_facilitator,436,sessions_total,-0.0021007072289541346,0.03345181706042781,0.9499563357561822,0.0033872407697279616,-0.0012160514207120166,ann_participation_dynamics_mean_score ~ role_facilitator + sessions_total
ann_relational_climate_count,role_facilitator,677,sessions_total,11.89980775468554,1.0327036383525714,3.615767602571318e-28,0.430062537725586,0.4283713286387183,ann_relational_climate_count ~ role_facilitator + sessions_total
ann_relational_climate_mean_score,role_facilitator,640,sessions_total,0.042890254337862976,0.028358098238751555,0.13091492985030442,0.00474704574569651,0.0016222327025118277,ann_relational_climate_mean_score ~ role_facilitator + sessions_total
p_interruptions_made,role_facilitator,391,sessions_total,1.7173685217773798,0.454137939611547,0.00018037307317848376,0.07843576589701218,0.07368543479338852,p_interruptions_made ~ role_facilitator + sessions_total
p_nods_received,role_facilitator,790,sessions_total,0.3421446002383572,0.14087661351981204,0.0153767913568762,0.03242468122878395,0.029965785882478335,p_nods_received ~ role_facilitator + sessions_total
p_overlaps,role_facilitator,213,sessions_total,0.3127077622095959,0.18176577898443283,0.08683489845223065,0.016708445293091345,0.007343763819692262,p_overlaps ~ role_facilitator + sessions_total
p_screenshare_segments,role_facilitator,519,sessions_total,4.865716659926298,1.1140025278813777,1.5176816630721192e-05,0.0725522950378229,0.06895753649145786,p_screenshare_segments ~ role_facilitator + sessions_total
p_smile_other_total,role_facilitator,790,sessions_total,81.47794121194904,24.147907752957714,0.0007767605958301437,0.06499724150577657,0.06262112267859932,p_smile_other_total ~ role_facilitator + sessions_total
p_smile_self_total,role_facilitator,790,sessions_total,132.05033301165787,36.06524649487276,0.00026757678135638546,0.10083719580709227,0.09855215691460706,p_smile_self_total ~ role_facilitator + sessions_total
p_speaking_duration_sec,role_facilitator,790,sessions_total,296.1211888242922,40.04405359468197,3.62825749825568e-13,0.2751405852447083,0.2732985028692183,p_speaking_duration_sec ~ role_facilitator + sessions_total
p_turns,role_facilitator,790,sessions_total,29.111266966415936,2.7885734738253882,5.540261032345821e-24,0.4116312779273207,0.41013605881150694,p_turns ~ role_facilitator + sessions_total
ann_coordination_and_decision_practices_count,role_in_funded,518,sessions_total,-2.0753418433728643,0.3355356117674045,1.26508849676986e-09,0.04879427752943355,0.04510027472372269,ann_coordination_and_decision_practices_count ~ role_in_funded + sessions_total
ann_coordination_and_decision_practices_mean_score,role_in_funded,510,sessions_total,-0.016472698454076506,0.03271494687516829,0.6148159481345417,0.0015971296800395551,-0.0023413431811831753,ann_coordination_and_decision_practices_mean_score ~ role_in_funded + sessions_total
ann_evaluation_practices_count,role_in_funded,544,sessions_total,0.13839044496182823,0.181683690919248,0.44656449778485696,0.013795699712094045,0.010149842779421547,ann_evaluation_practices_count ~ role_in_funded + sessions_total
ann_evaluation_practices_mean_score,role_in_funded,527,sessions_total,0.03131842348933678,0.036392657046370354,0.3898685724937475,0.003194173598446093,-0.0006104287923995866,ann_evaluation_practices_mean_score ~ role_in_funded + sessions_total
ann_idea_management_count,role_in_funded,618,sessions_total,0.42351774710707946,0.24818564045880376,0.08842813774700231,0.04222615659291673,0.039111444907040105,ann_idea_management_count ~ role_in_funded + sessions_total
ann_idea_management_mean_score,role_in_funded,617,sessions_total,-0.002330529942965465,0.02200957498485733,0.9157065175427994,0.004879495227252284,0.0016380603582857312,ann_idea_management_mean_score ~ role_in_funded + sessions_total
ann_information_seeking_count,role_in_funded,602,sessions_total,-0.054732296793405535,0.23406922831658292,0.8151972184001324,0.020908453236990976,0.0176393662695018,ann_information_seeking_count ~ role_in_funded + sessions_total
ann_information_seeking_mean_score,role_in_funded,602,sessions_total,0.04404439999880978,0.022333796394464936,0.049058210981631545,0.008861080118878095,0.005551768199408613,ann_information_seeking_mean_score ~ role_in_funded + sessions_total
ann_integration_practices_count,role_in_funded,385,sessions_total,-0.34309609568062666,0.11388149460620471,0.002761398794837628,0.027087193849647306,0.021993409524252883,ann_integration_practices_count ~ role_in_funded + sessions_total
ann_integration_practices_mean_score,role_in_funded,381,sessions_total,0.04948865887635345,0.04337032266741377,0.2545623722559513,0.0033671116412224977,-0.00190607824427369,ann_integration_practices_mean_score ~ role_in_funded + sessions_total
ann_knowledge_sharing_count,role_in_funded,711,sessions_total,1.8348558581844086,0.49858209930128944,0.0002508042689124926,0.07786317503751017,0.07525826875230546,ann_knowledge_sharing_count ~ role_in_funded + sessions_total
