conference,session,n_utterances,n_speakers,max_time,Beginning,Middle,End,Idea_Management,Information_Seeking,Knowledge_Sharing,Evaluation_Practices,Relational_Climate,Participation_Dynamics,Coordination_and_Decision_Practices,Integration_Practices,KS_total_utterances,KS_streak_count,KS_max_streak_len,KS_mean_streak_len,KS_beginning,KS_middle,KS_end,KS_first_minute,KS_last_minute,KS_mean_minute,n_transitions,n_unique_pairs,transition_entropy,KS_to_KS,KS_to_Idea,Idea_to_KS,KS_to_Eval,Eval_to_KS,KS_to_Info,Info_to_KS,KS_to_Rel,Rel_to_KS,n_teams,n_funded,funded_any
2020NES,2020_11_05_NES_S1,82,12,3120,33.0,25.0,24.0,21,30,44,17,13,6,10,3,44,18,10,2.4444444444444446,24,13,7,0.18333333333333332,51.78333333333333,20.292992424242424,266,54,5.215981866630492,26,9,8,12,9,16,18,8,2,0,0,0
2020NES,2020_11_05_NES_S2,67,11,3596,20.0,34.0,13.0,25,18,32,12,24,10,5,2,32,19,6,1.6842105263157894,8,15,9,0.5166666666666667,59.641666666666666,30.74375,268,51,5.294364180014914,15,13,13,8,6,11,9,12,15,0,0,0
2020NES,2020_11_05_NES_S3,45,10,3095,11.0,19.0,15.0,18,12,22,14,9,9,11,3,22,13,4,1.6923076923076923,6,10,6,0.058333333333333334,47.35,24.611742424242422,218,58,5.561907135697654,10,8,9,6,9,8,7,4,5,0,0,0
2020NES,2020_11_05_NES_S4,41,9,3073,17.0,8.0,16.0,8,13,18,5,11,8,10,1,18,13,4,1.3846153846153846,8,5,5,1.2166666666666666,51.083333333333336,20.673148148148144,133,43,5.0770366661856094,5,5,3,1,2,8,8,6,7,0,0,0
2020NES,2020_11_05_NES_S5,28,11,3063,10.0,11.0,7.0,9,5,13,3,5,3,7,1,13,6,4,2.1666666666666665,6,6,1,0.125,50.15833333333333,19.467948717948715,71,35,4.811218071058803,7,6,4,2,0,4,3,1,2,0,0,0
2020NES,2020_11_05_NES_S6,23,9,1469,10.0,5.0,8.0,10,7,11,8,5,4,3,0,11,7,2,1.5714285714285714,6,2,3,0.30833333333333335,24.333333333333332,10.606818181818182,113,42,5.212550564538291,4,5,5,3,4,3,6,3,3,0,0,0
2020NES,2020_11_06_NES_S1,56,10,2810,6.0,30.0,20.0,30,17,33,20,10,3,4,4,33,13,5,2.5384615384615383,3,20,10,10.483333333333333,46.416666666666664,26.836616161616163,270,52,5.1239283000708005,20,19,17,13,12,11,9,6,4,0,0,0
2020NES,2020_11_06_NES_S10,71,11,2907,28.0,29.0,14.0,24,25,39,14,12,6,5,5,39,24,5,1.625,18,13,8,0.475,47.90833333333333,20.349358974358974,233,52,5.245185580785816,15,9,12,7,6,16,19,5,7,0,0,0
2020NES,2020_11_06_NES_S11,86,10,3000,20.0,24.0,42.0,40,28,38,23,18,9,8,4,38,25,3,1.52,9,15,14,0.21666666666666667,48.175,26.54627192982456,334,56,5.272719748940214,13,15,13,12,15,16,15,10,9,0,0,0
2020NES,2020_11_06_NES_S12,89,11,2944,26.0,38.0,25.0,23,23,35,13,22,9,9,6,35,22,7,1.5909090909090908,11,10,14,0.5833333333333334,47.708333333333336,26.264761904761908,262,58,5.450863493105572,16,10,7,9,6,13,14,11,7,0,0,0
2020NES,2020_11_06_NES_S2,77,15,4241,26.0,18.0,33.0,24,15,36,11,15,6,21,4,36,16,5,2.25,10,12,14,10.2,66.4,39.98981481481482,237,51,5.256636698401906,20,15,8,5,8,10,9,6,8,0,0,0
2020NES,2020_11_06_NES_S3,38,13,1953,15.0,5.0,18.0,15,4,24,6,6,5,2,1,24,10,8,2.4,8,3,13,0.7,32.34166666666667,19.851041666666667,109,31,4.537167019095343,15,6,8,5,3,3,4,5,5,0,0,0
2020NES,2020_11_06_NES_S4,88,13,3730,31.0,30.0,27.0,23,25,53,20,18,15,8,1,53,23,8,2.3043478260869565,21,15,17,0.21666666666666667,61.68333333333333,29.896226415094343,319,47,5.051934870805154,31,18,17,15,11,19,20,10,10,0,0,0
